year,payer_sic2digit,payer_ITL1,payee_sic2digit,payee_ITL1,pounds,num_transactions,payer_ITL1name,payee_ITL1name,sectioncode_payer,sectionname_payer,sectioncode_payee,sectionname_payee
2019-01-01,69,E12000007,69,E12000003,4992000,1200,London,Yorkshire and The Humber,M (69-75),"Professional, scientific and technical activities",M (69-75),"Professional, scientific and technical activities"
2024-01-01,42,E12000005,25,E12000003,198000,0,West Midlands,Yorkshire and The Humber,F (41-43),Construction,C (10-33),Manufacturing
2020-01-01,70,E12000006,73,E12000006,1214000,0,East of England,East of England,M (69-75),"Professional, scientific and technical activities",M (69-75),"Professional, scientific and technical activities"
2021-01-01,81,E12000007,20,E12000003,273000,0,London,Yorkshire and The Humber,N (77-82),Administrative and support service activities,C (10-33),Manufacturing
2024-01-01,96,E12000008,28,E12000007,1678000,3100,South East,London,S (94-96),Other service activities,C (10-33),Manufacturing
2025-01-01,0,E12000006,33,E12000002,1549000,0,East of England,North West,NA,NA,C (10-33),Manufacturing
2021-01-01,0,E12000001,87,E12000009,231000,0,North East,South West,NA,NA,Q (86-88),Human health and social work activities
2022-01-01,35,E12000007,81,E12000005,371000,0,London,West Midlands,D (35),"Electricity, gas, steam and air conditioning supply",N (77-82),Administrative and support service activities
2021-01-01,49,E12000004,62,E12000009,856000,1200,East Midlands,South West,H (49-53),Transportation and storage,J (58-63),Information and communication
2023-01-01,49,W99999999,56,E12000009,21000,0,Wales,South West,H (49-53),Transportation and storage,I (55-56),Accommodation and food service activities
2020-01-01,27,E12000005,25,E12000003,22000,0,West Midlands,Yorkshire and The Humber,C (10-33),Manufacturing,C (10-33),Manufacturing
2022-01-01,85,E12000001,85,E12000006,386000,300,North East,East of England,P (85),Education,P (85),Education
2020-01-01,75,E12000005,62,E12000002,82000,0,West Midlands,North West,M (69-75),"Professional, scientific and technical activities",J (58-63),Information and communication
2021-01-01,45,E12000004,66,E12000004,35000,0,East Midlands,East Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,K (64-66),Financial and insurance activities
2021-01-01,33,E12000003,25,E12000005,1758000,0,Yorkshire and The Humber,West Midlands,C (10-33),Manufacturing,C (10-33),Manufacturing
2025-01-01,61,E12000006,68,E12000005,264000,0,East of England,West Midlands,J (58-63),Information and communication,L (68),Real estate activities
2025-01-01,51,E12000007,64,E12000007,54208000,1200,London,London,H (49-53),Transportation and storage,K (64-66),Financial and insurance activities
2020-01-01,31,E12000004,68,E12000007,200000,0,East Midlands,London,C (10-33),Manufacturing,L (68),Real estate activities
2023-01-01,43,E12000005,43,E12000003,26878000,5000,West Midlands,Yorkshire and The Humber,F (41-43),Construction,F (41-43),Construction
2024-01-01,55,E12000004,0,E12000003,154000,0,East Midlands,Yorkshire and The Humber,I (55-56),Accommodation and food service activities,NA,NA
2025-01-01,64,E12000002,13,E12000002,1768000,0,North West,North West,K (64-66),Financial and insurance activities,C (10-33),Manufacturing
2021-01-01,78,W99999999,62,E12000009,1317000,500,Wales,South West,N (77-82),Administrative and support service activities,J (58-63),Information and communication
2025-01-01,50,E12000003,61,E12000006,0,0,Yorkshire and The Humber,East of England,H (49-53),Transportation and storage,J (58-63),Information and communication
2025-01-01,82,E12000003,82,E12000009,20529000,3900,Yorkshire and The Humber,South West,N (77-82),Administrative and support service activities,N (77-82),Administrative and support service activities
2025-01-01,90,S99999999,62,E12000002,65000,0,Scotland,North West,R (90-93),"Arts, entertainment and recreation",J (58-63),Information and communication
2022-01-01,42,E12000005,32,E12000001,177000,0,West Midlands,North East,F (41-43),Construction,C (10-33),Manufacturing
2021-01-01,82,E12000006,45,W99999999,1582000,1100,East of England,Wales,N (77-82),Administrative and support service activities,G (45-47),Wholesale and retail trade; repair of motor vehicles
2021-01-01,62,E12000009,62,E12000008,28532000,5500,South West,South East,J (58-63),Information and communication,J (58-63),Information and communication
2023-01-01,70,E12000006,55,E12000007,3124000,200,East of England,London,M (69-75),"Professional, scientific and technical activities",I (55-56),Accommodation and food service activities
2022-01-01,46,E12000005,73,E12000006,497000,0,West Midlands,East of England,G (45-47),Wholesale and retail trade; repair of motor vehicles,M (69-75),"Professional, scientific and technical activities"
2023-01-01,0,E12000003,38,E12000007,811000,0,Yorkshire and The Humber,London,NA,NA,E (36-39),Water supply; sewerage and waste management
2021-01-01,68,E12000008,81,E12000009,3877000,500,South East,South West,L (68),Real estate activities,N (77-82),Administrative and support service activities
2020-01-01,74,W99999999,95,E12000009,3000,0,Wales,South West,M (69-75),"Professional, scientific and technical activities",S (94-96),Other service activities
2020-01-01,77,E12000003,70,E12000005,838000,0,Yorkshire and The Humber,West Midlands,N (77-82),Administrative and support service activities,M (69-75),"Professional, scientific and technical activities"
2025-01-01,64,E12000008,0,E12000009,165159000,4400,South East,South West,K (64-66),Financial and insurance activities,NA,NA
2023-01-01,9,E12000007,62,S99999999,2255000,0,London,Scotland,B (5-9),Mining and quarrying,J (58-63),Information and communication
2022-01-01,96,E12000002,74,W99999999,344000,0,North West,Wales,S (94-96),Other service activities,M (69-75),"Professional, scientific and technical activities"
2020-01-01,52,E12000006,81,E12000003,1000,0,East of England,Yorkshire and The Humber,H (49-53),Transportation and storage,N (77-82),Administrative and support service activities
2022-01-01,47,E12000004,80,E12000004,2528000,1200,East Midlands,East Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,N (77-82),Administrative and support service activities
2025-01-01,27,E12000009,35,E12000007,3000000,0,South West,London,C (10-33),Manufacturing,D (35),"Electricity, gas, steam and air conditioning supply"
2021-01-01,82,E12000007,13,E12000007,6948000,3100,London,London,N (77-82),Administrative and support service activities,C (10-33),Manufacturing
2022-01-01,58,N99999999,64,E12000007,15000,0,Northern Ireland,London,J (58-63),Information and communication,K (64-66),Financial and insurance activities
2024-01-01,18,E12000002,93,E12000002,120000,0,North West,North West,C (10-33),Manufacturing,R (90-93),"Arts, entertainment and recreation"
2019-01-01,33,E12000001,82,E12000007,1260000,1200,North East,London,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2021-01-01,45,S99999999,96,E12000009,47000,0,Scotland,South West,G (45-47),Wholesale and retail trade; repair of motor vehicles,S (94-96),Other service activities
2022-01-01,93,E12000007,43,E12000005,3028000,200,London,West Midlands,R (90-93),"Arts, entertainment and recreation",F (41-43),Construction
2020-01-01,24,E12000004,46,E12000004,3886000,1200,East Midlands,East Midlands,C (10-33),Manufacturing,G (45-47),Wholesale and retail trade; repair of motor vehicles
2023-01-01,28,E12000003,71,E12000003,2976000,200,Yorkshire and The Humber,Yorkshire and The Humber,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2025-01-01,14,E12000002,61,E12000006,3000,0,North West,East of England,C (10-33),Manufacturing,J (58-63),Information and communication
2023-01-01,49,W99999999,66,E12000007,134000,0,Wales,London,H (49-53),Transportation and storage,K (64-66),Financial and insurance activities
2025-01-01,62,E12000005,16,E12000005,69000,0,West Midlands,West Midlands,J (58-63),Information and communication,C (10-33),Manufacturing
2020-01-01,52,E12000002,62,E12000001,277000,0,North West,North East,H (49-53),Transportation and storage,J (58-63),Information and communication
2022-01-01,94,E12000006,47,E12000002,143000,0,East of England,North West,S (94-96),Other service activities,G (45-47),Wholesale and retail trade; repair of motor vehicles
2024-01-01,46,E12000008,10,E12000005,110640000,3900,South East,West Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2024-01-01,70,E12000003,1,E12000003,2494000,0,Yorkshire and The Humber,Yorkshire and The Humber,M (69-75),"Professional, scientific and technical activities",A (1-3),"Agriculture, forestry and fishing"
2024-01-01,42,E12000002,86,E12000009,26000,0,North West,South West,F (41-43),Construction,Q (86-88),Human health and social work activities
2023-01-01,24,E12000001,47,E12000004,29000,0,North East,East Midlands,C (10-33),Manufacturing,G (45-47),Wholesale and retail trade; repair of motor vehicles
2021-01-01,62,E12000007,50,E12000008,45000,0,London,South East,J (58-63),Information and communication,H (49-53),Transportation and storage
2019-01-01,25,E12000005,43,E12000007,3230000,1200,West Midlands,London,C (10-33),Manufacturing,F (41-43),Construction
2023-01-01,50,E12000008,50,E12000008,1327000,0,South East,South East,H (49-53),Transportation and storage,H (49-53),Transportation and storage
2023-01-01,96,E12000001,86,E12000008,825000,1200,North East,South East,S (94-96),Other service activities,Q (86-88),Human health and social work activities
2025-01-01,41,W99999999,18,W99999999,103000,0,Wales,Wales,F (41-43),Construction,C (10-33),Manufacturing
2022-01-01,68,E12000008,49,E12000003,1036000,700,South East,Yorkshire and The Humber,L (68),Real estate activities,H (49-53),Transportation and storage
2024-01-01,43,E12000007,82,E12000008,70710000,28700,London,South East,F (41-43),Construction,N (77-82),Administrative and support service activities
2022-01-01,32,W99999999,28,E12000006,634000,0,Wales,East of England,C (10-33),Manufacturing,C (10-33),Manufacturing
2025-01-01,30,E12000009,64,E12000007,3350000,600,South West,London,C (10-33),Manufacturing,K (64-66),Financial and insurance activities
2022-01-01,68,E12000006,66,E12000003,320000,1200,East of England,Yorkshire and The Humber,L (68),Real estate activities,K (64-66),Financial and insurance activities
2019-01-01,42,E12000002,58,E12000002,4000,0,North West,North West,F (41-43),Construction,J (58-63),Information and communication
2024-01-01,47,E12000008,22,W99999999,301000,0,South East,Wales,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2021-01-01,86,E12000007,86,E12000004,17926000,4900,London,East Midlands,Q (86-88),Human health and social work activities,Q (86-88),Human health and social work activities
2022-01-01,42,E12000007,41,E12000008,17151000,1200,London,South East,F (41-43),Construction,F (41-43),Construction
2025-01-01,85,E12000007,0,E12000006,11896000,3800,London,East of England,P (85),Education,NA,NA
2023-01-01,49,E12000005,68,E12000003,2601000,100,West Midlands,Yorkshire and The Humber,H (49-53),Transportation and storage,L (68),Real estate activities
2022-01-01,79,E12000004,61,E12000002,46000,0,East Midlands,North West,N (77-82),Administrative and support service activities,J (58-63),Information and communication
2020-01-01,31,E12000009,71,E12000009,430000,0,South West,South West,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2025-01-01,35,E12000009,49,E12000004,80000,0,South West,East Midlands,D (35),"Electricity, gas, steam and air conditioning supply",H (49-53),Transportation and storage
2019-01-01,88,E12000002,46,N99999999,19000,0,North West,Northern Ireland,Q (86-88),Human health and social work activities,G (45-47),Wholesale and retail trade; repair of motor vehicles
2022-01-01,39,E12000003,77,E12000002,392000,0,Yorkshire and The Humber,North West,E (36-39),Water supply; sewerage and waste management,N (77-82),Administrative and support service activities
2019-01-01,69,E12000004,46,E12000009,162000,0,East Midlands,South West,M (69-75),"Professional, scientific and technical activities",G (45-47),Wholesale and retail trade; repair of motor vehicles
2024-01-01,62,E12000008,93,E12000005,2627000,1200,South East,West Midlands,J (58-63),Information and communication,R (90-93),"Arts, entertainment and recreation"
2020-01-01,90,E12000004,43,E12000008,46000,0,East Midlands,South East,R (90-93),"Arts, entertainment and recreation",F (41-43),Construction
2023-01-01,23,E12000006,71,E12000006,58000,0,East of England,East of England,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2021-01-01,85,E12000005,22,E12000005,120000,0,West Midlands,West Midlands,P (85),Education,C (10-33),Manufacturing
2023-01-01,17,E12000008,61,E12000006,0,0,South East,East of England,C (10-33),Manufacturing,J (58-63),Information and communication
2025-01-01,87,E12000008,58,E12000006,60000,0,South East,East of England,Q (86-88),Human health and social work activities,J (58-63),Information and communication
2021-01-01,32,E12000008,59,E12000007,518000,0,South East,London,C (10-33),Manufacturing,J (58-63),Information and communication
2021-01-01,82,E12000008,60,E12000008,604000,0,South East,South East,N (77-82),Administrative and support service activities,J (58-63),Information and communication
2022-01-01,86,E12000005,82,E12000006,13331000,4800,West Midlands,East of England,Q (86-88),Human health and social work activities,N (77-82),Administrative and support service activities
2024-01-01,42,E12000003,46,W99999999,3803000,1100,Yorkshire and The Humber,Wales,F (41-43),Construction,G (45-47),Wholesale and retail trade; repair of motor vehicles
2021-01-01,27,E12000002,82,E12000008,972000,500,North West,South East,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2019-01-01,70,E12000009,61,N99999999,23000,0,South West,Northern Ireland,M (69-75),"Professional, scientific and technical activities",J (58-63),Information and communication
2025-01-01,52,E12000009,66,E12000006,265000,0,South West,East of England,H (49-53),Transportation and storage,K (64-66),Financial and insurance activities
2023-01-01,88,E12000003,68,E12000009,0,0,Yorkshire and The Humber,South West,Q (86-88),Human health and social work activities,L (68),Real estate activities
2025-01-01,73,S99999999,63,E12000008,29000,0,Scotland,South East,M (69-75),"Professional, scientific and technical activities",J (58-63),Information and communication
2022-01-01,66,E12000008,81,E12000008,149000,0,South East,South East,K (64-66),Financial and insurance activities,N (77-82),Administrative and support service activities
2023-01-01,41,E12000005,0,E12000005,58481000,6300,West Midlands,West Midlands,F (41-43),Construction,NA,NA
2021-01-01,90,E12000004,82,E12000004,359000,100,East Midlands,East Midlands,R (90-93),"Arts, entertainment and recreation",N (77-82),Administrative and support service activities
