ITL_code,Region_name,SIC07_code,SIC07_description,year,value,CoV100,SE,gva_min95,gva_max95,growth,growth_min95,growth_max95,growth_bound_low,growth_bound_high,excludes_zero,excludes_zero_conservative
TLG,West Midlands,62,Computer programming and consultancy,2012,2555,4.832159138002487,123.46166597596354,2313.0151346871116,2796.9848653128884,NA,NA,NA,NA,NA,NA,NA
TLG,West Midlands,62,Computer programming and consultancy,2013,2596,10.781981981981982,279.90025225225224,2047.3955055855856,3144.604494414414,0.016046966731898316,-0.11483696112410313,0.12428370042775994,-0.26799907608490003,0.35952612123300876,FALSE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2014,2780,5.12280701754386,142.4140350877193,2500.86849122807,3059.13150877193,0.07087827426810467,0.2214877313178356,-0.027180838097224935,-0.2047112774690033,0.49415757748133404,FALSE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2015,2865,5.233363444745559,149.93586269196027,2571.125709123758,3158.874290876242,0.030575539568345356,0.028093127704283072,0.032604934380331185,-0.15952429578422367,0.2631109160502292,TRUE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2016,3089,11.33843717001056,350.2443241816262,2402.5211246040126,3775.4788753959874,0.07818499127399647,-0.06557617308303687,0.19519756968508717,-0.23943756434271535,0.4684147344482328,FALSE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2017,3126,8.999077490774908,281.31116236162364,2574.6301217712175,3677.3698782287825,0.011977986403366891,0.0716368299136485,-0.025985841903807483,-0.31806528211572105,0.5306295709823956,FALSE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2018,3511,4.845122515025428,170.11225150254276,3177.5799870550163,3844.420012944984,0.12316058861164425,0.23418892686185133,0.04542652500233735,-0.1359096059748256,0.4931931310972988,TRUE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2019,3880,5.173860911270983,200.74580335731412,3486.5382254196643,4273.461774580335,0.10509826260324684,0.09723067227994187,0.11160116745586479,-0.09309122996973673,0.34487937109050804,TRUE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2020,3691,7.022950819672132,259.21711475409836,3182.9344550819674,4199.065544918033,-0.048711340206185616,-0.08707885894500789,-0.017408890868014892,-0.25518593052244176,0.20436526819166145,TRUE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2021,3226,5.98326359832636,193.02008368200836,2847.6806359832635,3604.319364016737,-0.1259821186670279,-0.10532853372567186,-0.14163774643172566,-0.3218299153654075,0.13238881129392222,TRUE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2022,3191,8.769179410724098,279.824514996206,2642.5439506074363,3739.456049392564,-0.010849349039057654,-0.0720364084313817,0.03749298320369365,-0.26683967658667074,0.3131585059577382,FALSE,FALSE
TLG,West Midlands,62,Computer programming and consultancy,2023,2871,6.749188887843091,193.76921296997511,2491.2123425788486,3250.7876574211514,-0.10028204324663115,-0.05726739492593924,-0.13067900398262255,-0.3338035506571817,0.23017354419929292,TRUE,FALSE
