DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Aberdeen City and Aberdeenshire,Production sector,A-E,47065
2022,Aberdeen City and Aberdeenshire,Construction,F (41-43),11880
2022,Aberdeen City and Aberdeenshire,Services sector,G-T,119430
2022,Angus and Dundee City,Production sector,A-E,9860
2022,Angus and Dundee City,Construction,F (41-43),4970
2022,Angus and Dundee City,Services sector,G-T,56490
2022,Barking & Dagenham and Havering,Production sector,A-E,8360
2022,Barking & Dagenham and Havering,Construction,F (41-43),7875
2022,Barking & Dagenham and Havering,Services sector,G-T,81085
2022,Barnet,Production sector,A-E,3165
2022,Barnet,Construction,F (41-43),6520
2022,Barnet,Services sector,G-T,85580
2022,"Barnsley, Doncaster and Rotherham",Production sector,A-E,39455
2022,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),18760
2022,"Barnsley, Doncaster and Rotherham",Services sector,G-T,157540
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Production sector,A-E,32725
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),16280
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Services sector,G-T,181980
2022,Bedford,Production sector,A-E,6270
2022,Bedford,Construction,F (41-43),4040
2022,Bedford,Services sector,G-T,45720
2022,Berkshire,Production sector,A-E,35505
2022,Berkshire,Construction,F (41-43),15960
2022,Berkshire,Services sector,G-T,350005
2022,Bexley and Greenwich,Production sector,A-E,9135
2022,Bexley and Greenwich,Construction,F (41-43),7440
2022,Bexley and Greenwich,Services sector,G-T,86745
2022,Birmingham,Production sector,A-E,31040
2022,Birmingham,Construction,F (41-43),16065
2022,Birmingham,Services sector,G-T,334035
2022,Blackburn with Darwen,Production sector,A-E,9725
2022,Blackburn with Darwen,Construction,F (41-43),2975
2022,Blackburn with Darwen,Services sector,G-T,36980
2022,Blackpool,Production sector,A-E,3940
2022,Blackpool,Construction,F (41-43),1550
2022,Blackpool,Services sector,G-T,33190
2022,"Bournemouth, Christchurch and Poole",Production sector,A-E,11645
2022,"Bournemouth, Christchurch and Poole",Construction,F (41-43),2995
2022,"Bournemouth, Christchurch and Poole",Services sector,G-T,29005
