DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Aberdeen City and Aberdeenshire,Production sector,A-E,5190
2022,Aberdeen City and Aberdeenshire,Construction,F (41-43),1525
2022,Aberdeen City and Aberdeenshire,Services sector,G-T,75045
2022,Angus and Dundee City,Production sector,A-E,3175
2022,Angus and Dundee City,Construction,F (41-43),745
2022,Angus and Dundee City,Services sector,G-T,38295
2022,Barking & Dagenham and Havering,Production sector,A-E,1085
2022,Barking & Dagenham and Havering,Construction,F (41-43),3360
2022,Barking & Dagenham and Havering,Services sector,G-T,45190
2022,Barnet,Production sector,A-E,455
2022,Barnet,Construction,F (41-43),2440
2022,Barnet,Services sector,G-T,44185
2022,"Barnsley, Doncaster and Rotherham",Production sector,A-E,4035
2022,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),2155
2022,"Barnsley, Doncaster and Rotherham",Services sector,G-T,98670
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Production sector,A-E,2720
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),3065
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Services sector,G-T,109125
2022,Bedford,Production sector,A-E,580
2022,Bedford,Construction,F (41-43),795
2022,Bedford,Services sector,G-T,22285
2022,Berkshire,Production sector,A-E,3445
2022,Berkshire,Construction,F (41-43),3345
2022,Berkshire,Services sector,G-T,139435
2022,Bexley and Greenwich,Production sector,A-E,855
2022,Bexley and Greenwich,Construction,F (41-43),2365
2022,Bexley and Greenwich,Services sector,G-T,56325
2022,Birmingham,Production sector,A-E,4760
2022,Birmingham,Construction,F (41-43),2200
2022,Birmingham,Services sector,G-T,156825
2022,Blackburn with Darwen,Production sector,A-E,1075
2022,Blackburn with Darwen,Construction,F (41-43),330
2022,Blackburn with Darwen,Services sector,G-T,20995
2022,Blackpool,Production sector,A-E,330
2022,Blackpool,Construction,F (41-43),255
2022,Blackpool,Services sector,G-T,23165
2022,"Bournemouth, Christchurch and Poole",Production sector,A-E,950
2022,"Bournemouth, Christchurch and Poole",Construction,F (41-43),625
2022,"Bournemouth, Christchurch and Poole",Services sector,G-T,21145
