DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,Aberdeen City and Aberdeenshire,"Agriculture, forestry and fishing",A (1-3),2180
2022,Aberdeen City and Aberdeenshire,Mining and quarrying,B (5-9),555
2022,Aberdeen City and Aberdeenshire,Manufacturing,C (10-33),2270
2022,Aberdeen City and Aberdeenshire,"Electricity, gas, steam and air conditioning supply",D (35),60
2022,Aberdeen City and Aberdeenshire,Water supply; sewerage and waste management,E (36-39),125
2022,Aberdeen City and Aberdeenshire,Construction,F (41-43),1525
2022,Aberdeen City and Aberdeenshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),13185
2022,Aberdeen City and Aberdeenshire,Transportation and storage,H (49-53),1525
2022,Aberdeen City and Aberdeenshire,Accommodation and food service activities,I (55-56),11585
2022,Aberdeen City and Aberdeenshire,Information and communication,J (58-63),750
2022,Aberdeen City and Aberdeenshire,Financial and insurance activities,K (64-66),460
2022,Aberdeen City and Aberdeenshire,Real estate activities,L (68),790
2022,Aberdeen City and Aberdeenshire,"Professional, scientific and technical activities",M (69-75),4720
2022,Aberdeen City and Aberdeenshire,Administrative and support service activities,N (77-82),5150
2022,Aberdeen City and Aberdeenshire,Public administration and defence,O (84),2870
2022,Aberdeen City and Aberdeenshire,Education,P (85),8580
2022,Aberdeen City and Aberdeenshire,Human health and social work activities,Q (86-88),20650
2022,Aberdeen City and Aberdeenshire,"Arts, entertainment and recreation",R (90-93),3455
2022,Aberdeen City and Aberdeenshire,Other service activities,S (94-96),1325
2022,Aberdeen City and Aberdeenshire,Activities of households,T (97-98),0
2022,Aberdeen City and Aberdeenshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,Angus and Dundee City,"Agriculture, forestry and fishing",A (1-3),2320
2022,Angus and Dundee City,Mining and quarrying,B (5-9),0
2022,Angus and Dundee City,Manufacturing,C (10-33),740
2022,Angus and Dundee City,"Electricity, gas, steam and air conditioning supply",D (35),20
2022,Angus and Dundee City,Water supply; sewerage and waste management,E (36-39),95
2022,Angus and Dundee City,Construction,F (41-43),745
2022,Angus and Dundee City,Wholesale and retail trade; repair of motor vehicles,G (45-47),8070
2022,Angus and Dundee City,Transportation and storage,H (49-53),520
2022,Angus and Dundee City,Accommodation and food service activities,I (55-56),7285
2022,Angus and Dundee City,Information and communication,J (58-63),620
2022,Angus and Dundee City,Financial and insurance activities,K (64-66),260
2022,Angus and Dundee City,Real estate activities,L (68),380
2022,Angus and Dundee City,"Professional, scientific and technical activities",M (69-75),970
2022,Angus and Dundee City,Administrative and support service activities,N (77-82),1445
2022,Angus and Dundee City,Public administration and defence,O (84),1110
2022,Angus and Dundee City,Education,P (85),5670
2022,Angus and Dundee City,Human health and social work activities,Q (86-88),9240
2022,Angus and Dundee City,"Arts, entertainment and recreation",R (90-93),2010
2022,Angus and Dundee City,Other service activities,S (94-96),715
2022,Angus and Dundee City,Activities of households,T (97-98),0
2022,Angus and Dundee City,Activities of extraterritorial organisations and bodies,U (99),0
2022,Barking & Dagenham and Havering,"Agriculture, forestry and fishing",A (1-3),30
2022,Barking & Dagenham and Havering,Mining and quarrying,B (5-9),10
2022,Barking & Dagenham and Havering,Manufacturing,C (10-33),705
2022,Barking & Dagenham and Havering,"Electricity, gas, steam and air conditioning supply",D (35),5
2022,Barking & Dagenham and Havering,Water supply; sewerage and waste management,E (36-39),335
2022,Barking & Dagenham and Havering,Construction,F (41-43),3360
2022,Barking & Dagenham and Havering,Wholesale and retail trade; repair of motor vehicles,G (45-47),10420
2022,Barking & Dagenham and Havering,Transportation and storage,H (49-53),1775
2022,Barking & Dagenham and Havering,Accommodation and food service activities,I (55-56),5510
2022,Barking & Dagenham and Havering,Information and communication,J (58-63),350
2022,Barking & Dagenham and Havering,Financial and insurance activities,K (64-66),330
2022,Barking & Dagenham and Havering,Real estate activities,L (68),560
2022,Barking & Dagenham and Havering,"Professional, scientific and technical activities",M (69-75),1290
2022,Barking & Dagenham and Havering,Administrative and support service activities,N (77-82),5450
2022,Barking & Dagenham and Havering,Public administration and defence,O (84),975
2022,Barking & Dagenham and Havering,Education,P (85),7840
2022,Barking & Dagenham and Havering,Human health and social work activities,Q (86-88),8060
2022,Barking & Dagenham and Havering,"Arts, entertainment and recreation",R (90-93),1645
2022,Barking & Dagenham and Havering,Other service activities,S (94-96),985
2022,Barking & Dagenham and Havering,Activities of households,T (97-98),0
2022,Barking & Dagenham and Havering,Activities of extraterritorial organisations and bodies,U (99),0
2022,Barnet,"Agriculture, forestry and fishing",A (1-3),40
2022,Barnet,Mining and quarrying,B (5-9),0
2022,Barnet,Manufacturing,C (10-33),380
2022,Barnet,"Electricity, gas, steam and air conditioning supply",D (35),5
2022,Barnet,Water supply; sewerage and waste management,E (36-39),30
2022,Barnet,Construction,F (41-43),2440
2022,Barnet,Wholesale and retail trade; repair of motor vehicles,G (45-47),9565
2022,Barnet,Transportation and storage,H (49-53),585
2022,Barnet,Accommodation and food service activities,I (55-56),5740
2022,Barnet,Information and communication,J (58-63),815
2022,Barnet,Financial and insurance activities,K (64-66),260
2022,Barnet,Real estate activities,L (68),1995
2022,Barnet,"Professional, scientific and technical activities",M (69-75),2300
2022,Barnet,Administrative and support service activities,N (77-82),3765
2022,Barnet,Public administration and defence,O (84),1010
2022,Barnet,Education,P (85),7620
2022,Barnet,Human health and social work activities,Q (86-88),7860
2022,Barnet,"Arts, entertainment and recreation",R (90-93),1210
2022,Barnet,Other service activities,S (94-96),1460
2022,Barnet,Activities of households,T (97-98),0
2022,Barnet,Activities of extraterritorial organisations and bodies,U (99),0
2022,"Barnsley, Doncaster and Rotherham","Agriculture, forestry and fishing",A (1-3),160
2022,"Barnsley, Doncaster and Rotherham",Mining and quarrying,B (5-9),0
2022,"Barnsley, Doncaster and Rotherham",Manufacturing,C (10-33),3405
2022,"Barnsley, Doncaster and Rotherham","Electricity, gas, steam and air conditioning supply",D (35),30
2022,"Barnsley, Doncaster and Rotherham",Water supply; sewerage and waste management,E (36-39),440
2022,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),2155
2022,"Barnsley, Doncaster and Rotherham",Wholesale and retail trade; repair of motor vehicles,G (45-47),22080
2022,"Barnsley, Doncaster and Rotherham",Transportation and storage,H (49-53),4640
2022,"Barnsley, Doncaster and Rotherham",Accommodation and food service activities,I (55-56),12905
