DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Aberdeen City and Aberdeenshire,Production sector,A-E,58085
2022,Aberdeen City and Aberdeenshire,Construction,F (41-43),13895
2022,Aberdeen City and Aberdeenshire,Services sector,G-T,198100
2022,Angus and Dundee City,Production sector,A-E,13990
2022,Angus and Dundee City,Construction,F (41-43),5775
2022,Angus and Dundee City,Services sector,G-T,96900
2022,Barking & Dagenham and Havering,Production sector,A-E,9735
2022,Barking & Dagenham and Havering,Construction,F (41-43),11710
2022,Barking & Dagenham and Havering,Services sector,G-T,127400
2022,Barnet,Production sector,A-E,3935
2022,Barnet,Construction,F (41-43),9195
2022,Barnet,Services sector,G-T,132125
2022,"Barnsley, Doncaster and Rotherham",Production sector,A-E,45375
2022,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),22765
2022,"Barnsley, Doncaster and Rotherham",Services sector,G-T,261465
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Production sector,A-E,37895
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),20375
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Services sector,G-T,294370
2022,Bedford,Production sector,A-E,7375
2022,Bedford,Construction,F (41-43),5145
2022,Bedford,Services sector,G-T,69855
2022,Berkshire,Production sector,A-E,39825
2022,Berkshire,Construction,F (41-43),21865
2022,Berkshire,Services sector,G-T,496995
2022,Bexley and Greenwich,Production sector,A-E,10145
2022,Bexley and Greenwich,Construction,F (41-43),10115
2022,Bexley and Greenwich,Services sector,G-T,144525
2022,Birmingham,Production sector,A-E,36335
2022,Birmingham,Construction,F (41-43),18895
2022,Birmingham,Services sector,G-T,501970
2022,Blackburn with Darwen,Production sector,A-E,11115
2022,Blackburn with Darwen,Construction,F (41-43),3325
2022,Blackburn with Darwen,Services sector,G-T,59510
2022,Blackpool,Production sector,A-E,4420
2022,Blackpool,Construction,F (41-43),1900
2022,Blackpool,Services sector,G-T,58550
2022,"Bournemouth, Christchurch and Poole",Production sector,A-E,13715
2022,"Bournemouth, Christchurch and Poole",Construction,F (41-43),3915
2022,"Bournemouth, Christchurch and Poole",Services sector,G-T,51845
2022,Bradford,Production sector,A-E,28820
2022,Bradford,Construction,F (41-43),8940
2022,Bradford,Services sector,G-T,173130
2022,Breckland and South Norfolk,Production sector,A-E,21215
2022,Breckland and South Norfolk,Construction,F (41-43),8385
2022,Breckland and South Norfolk,Services sector,G-T,84930
2022,Brent,Production sector,A-E,9880
2022,Brent,Construction,F (41-43),7835
2022,Brent,Services sector,G-T,105330
2022,Bridgend and Neath Port Talbot,Production sector,A-E,18255
2022,Bridgend and Neath Port Talbot,Construction,F (41-43),6105
2022,Bridgend and Neath Port Talbot,Services sector,G-T,86245
2022,Brighton and Hove,Production sector,A-E,4625
2022,Brighton and Hove,Construction,F (41-43),4520
