DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,Bedfordshire and Hertfordshire,"Agriculture, forestry and fishing",A (1-3),2775
2022,Bedfordshire and Hertfordshire,Mining and quarrying,B (5-9),185
2022,Bedfordshire and Hertfordshire,Manufacturing,C (10-33),50420
2022,Bedfordshire and Hertfordshire,"Electricity, gas, steam and air conditioning supply",D (35),1915
2022,Bedfordshire and Hertfordshire,Water supply; sewerage and waste management,E (36-39),5110
2022,Bedfordshire and Hertfordshire,Construction,F (41-43),53840
2022,Bedfordshire and Hertfordshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),89825
2022,Bedfordshire and Hertfordshire,Transportation and storage,H (49-53),41980
2022,Bedfordshire and Hertfordshire,Accommodation and food service activities,I (55-56),26875
2022,Bedfordshire and Hertfordshire,Information and communication,J (58-63),31215
2022,Bedfordshire and Hertfordshire,Financial and insurance activities,K (64-66),10960
2022,Bedfordshire and Hertfordshire,Real estate activities,L (68),14350
2022,Bedfordshire and Hertfordshire,"Professional, scientific and technical activities",M (69-75),65175
2022,Bedfordshire and Hertfordshire,Administrative and support service activities,N (77-82),113575
2022,Bedfordshire and Hertfordshire,Public administration and defence,O (84),21000
2022,Bedfordshire and Hertfordshire,Education,P (85),39425
2022,Bedfordshire and Hertfordshire,Human health and social work activities,Q (86-88),59975
2022,Bedfordshire and Hertfordshire,"Arts, entertainment and recreation",R (90-93),8140
2022,Bedfordshire and Hertfordshire,Other service activities,S (94-96),12440
2022,Bedfordshire and Hertfordshire,Activities of households,T (97-98),0
2022,Bedfordshire and Hertfordshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,"Berkshire, Buckinghamshire and Oxfordshire","Agriculture, forestry and fishing",A (1-3),4670
2022,"Berkshire, Buckinghamshire and Oxfordshire",Mining and quarrying,B (5-9),560
2022,"Berkshire, Buckinghamshire and Oxfordshire",Manufacturing,C (10-33),67670
2022,"Berkshire, Buckinghamshire and Oxfordshire","Electricity, gas, steam and air conditioning supply",D (35),3400
2022,"Berkshire, Buckinghamshire and Oxfordshire",Water supply; sewerage and waste management,E (36-39),11860
