DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,Bedfordshire and Hertfordshire,"Agriculture, forestry and fishing",A (1-3),6190
2022,Bedfordshire and Hertfordshire,Mining and quarrying,B (5-9),185
2022,Bedfordshire and Hertfordshire,Manufacturing,C (10-33),57050
2022,Bedfordshire and Hertfordshire,"Electricity, gas, steam and air conditioning supply",D (35),1915
2022,Bedfordshire and Hertfordshire,Water supply; sewerage and waste management,E (36-39),5610
2022,Bedfordshire and Hertfordshire,Construction,F (41-43),67020
2022,Bedfordshire and Hertfordshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),142840
2022,Bedfordshire and Hertfordshire,Transportation and storage,H (49-53),48235
2022,Bedfordshire and Hertfordshire,Accommodation and food service activities,I (55-56),67735
2022,Bedfordshire and Hertfordshire,Information and communication,J (58-63),39165
2022,Bedfordshire and Hertfordshire,Financial and insurance activities,K (64-66),13995
2022,Bedfordshire and Hertfordshire,Real estate activities,L (68),21675
2022,Bedfordshire and Hertfordshire,"Professional, scientific and technical activities",M (69-75),86855
2022,Bedfordshire and Hertfordshire,Administrative and support service activities,N (77-82),152090
2022,Bedfordshire and Hertfordshire,Public administration and defence,O (84),23750
2022,Bedfordshire and Hertfordshire,Education,P (85),74925
2022,Bedfordshire and Hertfordshire,Human health and social work activities,Q (86-88),94900
2022,Bedfordshire and Hertfordshire,"Arts, entertainment and recreation",R (90-93),21425
2022,Bedfordshire and Hertfordshire,Other service activities,S (94-96),17235
2022,Bedfordshire and Hertfordshire,Activities of households,T (97-98),0
2022,Bedfordshire and Hertfordshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,"Berkshire, Buckinghamshire and Oxfordshire","Agriculture, forestry and fishing",A (1-3),12215
2022,"Berkshire, Buckinghamshire and Oxfordshire",Mining and quarrying,B (5-9),610
2022,"Berkshire, Buckinghamshire and Oxfordshire",Manufacturing,C (10-33),74725
2022,"Berkshire, Buckinghamshire and Oxfordshire","Electricity, gas, steam and air conditioning supply",D (35),3700
2022,"Berkshire, Buckinghamshire and Oxfordshire",Water supply; sewerage and waste management,E (36-39),12385
2022,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),50860
2022,"Berkshire, Buckinghamshire and Oxfordshire",Wholesale and retail trade; repair of motor vehicles,G (45-47),189935
2022,"Berkshire, Buckinghamshire and Oxfordshire",Transportation and storage,H (49-53),72170
