DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2015,Aberdeen City and Aberdeenshire,Production sector,A-E,5300
2015,Aberdeen City and Aberdeenshire,Construction,F (41-43),1570
2015,Aberdeen City and Aberdeenshire,Services sector,G-T,160800
2015,Angus and Dundee City,Production sector,A-E,1860
2015,Angus and Dundee City,Construction,F (41-43),870
2015,Angus and Dundee City,Services sector,G-T,73220
2015,Barking & Dagenham and Havering,Production sector,A-E,1390
2015,Barking & Dagenham and Havering,Construction,F (41-43),2730
2015,Barking & Dagenham and Havering,Services sector,G-T,80690
2015,Barnet,Production sector,A-E,850
2015,Barnet,Construction,F (41-43),1960
2015,Barnet,Services sector,G-T,82230
2015,"Barnsley, Doncaster and Rotherham",Production sector,A-E,5870
2015,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),4600
2015,"Barnsley, Doncaster and Rotherham",Services sector,G-T,172300
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Production sector,A-E,4440
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),3430
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Services sector,G-T,203950
2015,Bedford,Production sector,A-E,1340
2015,Bedford,Construction,F (41-43),680
2015,Bedford,Services sector,G-T,44390
2015,Berkshire,Production sector,A-E,5540
2015,Berkshire,Construction,F (41-43),3930
2015,Berkshire,Services sector,G-T,260350
2015,Bexley and Greenwich,Production sector,A-E,2200
2015,Bexley and Greenwich,Construction,F (41-43),2210
2015,Bexley and Greenwich,Services sector,G-T,105800
2015,Birmingham,Production sector,A-E,6810
2015,Birmingham,Construction,F (41-43),5320
2015,Birmingham,Services sector,G-T,267740
2015,Blackburn with Darwen,Production sector,A-E,1820
2015,Blackburn with Darwen,Construction,F (41-43),240
2015,Blackburn with Darwen,Services sector,G-T,45870
2015,Blackpool,Production sector,A-E,380
2015,Blackpool,Construction,F (41-43),230
2015,Blackpool,Services sector,G-T,43990
2015,Bournemouth and Poole,Production sector,A-E,1590
2015,Bournemouth and Poole,Construction,F (41-43),1380
2015,Bournemouth and Poole,Services sector,G-T,105370
2015,Bradford,Production sector,A-E,4640
2015,Bradford,Construction,F (41-43),1410
2015,Bradford,Services sector,G-T,122660
2015,Breckland and South Norfolk,Production sector,A-E,3470
2015,Breckland and South Norfolk,Construction,F (41-43),1510
2015,Breckland and South Norfolk,Services sector,G-T,58120
2015,Brent,Production sector,A-E,970
2015,Brent,Construction,F (41-43),1580
2015,Brent,Services sector,G-T,59800
2015,Bridgend and Neath Port Talbot,Production sector,A-E,1810
2015,Bridgend and Neath Port Talbot,Construction,F (41-43),860
2015,Bridgend and Neath Port Talbot,Services sector,G-T,65260
2015,Brighton and Hove,Production sector,A-E,660
2015,Brighton and Hove,Construction,F (41-43),930
2015,Brighton and Hove,Services sector,G-T,97380
2015,"Bristol, City of",Production sector,A-E,1850
2015,"Bristol, City of",Construction,F (41-43),1890
2015,"Bristol, City of",Services sector,G-T,155700
2015,Bromley,Production sector,A-E,550
2015,Bromley,Construction,F (41-43),1940
2015,Bromley,Services sector,G-T,73440
2015,Buckinghamshire CC,Production sector,A-E,3850
2015,Buckinghamshire CC,Construction,F (41-43),2670
2015,Buckinghamshire CC,Services sector,G-T,133520
2015,Caithness & Sutherland and Ross & Cromarty,Production sector,A-E,760
2015,Caithness & Sutherland and Ross & Cromarty,Construction,F (41-43),320
2015,Caithness & Sutherland and Ross & Cromarty,Services sector,G-T,26430
2015,Calderdale and Kirklees,Production sector,A-E,6240
2015,Calderdale and Kirklees,Construction,F (41-43),3140
2015,Calderdale and Kirklees,Services sector,G-T,159570
2015,Cambridgeshire CC,Production sector,A-E,6220
2015,Cambridgeshire CC,Construction,F (41-43),2960
2015,Cambridgeshire CC,Services sector,G-T,171830
2015,Camden and City of London,Production sector,A-E,1100
2015,Camden and City of London,Construction,F (41-43),3030
2015,Camden and City of London,Services sector,G-T,272340
2015,Cardiff and Vale of Glamorgan,Production sector,A-E,3500
2015,Cardiff and Vale of Glamorgan,Construction,F (41-43),1500
2015,Cardiff and Vale of Glamorgan,Services sector,G-T,156470
2015,Central Bedfordshire,Production sector,A-E,2310
2015,Central Bedfordshire,Construction,F (41-43),1420
2015,Central Bedfordshire,Services sector,G-T,53660
2015,Central Hampshire,Production sector,A-E,5780
2015,Central Hampshire,Construction,F (41-43),3150
2015,Central Hampshire,Services sector,G-T,160670
2015,Central Valleys,Production sector,A-E,2070
2015,Central Valleys,Construction,F (41-43),840
2015,Central Valleys,Services sector,G-T,59910
2015,Cheshire East,Production sector,A-E,3490
2015,Cheshire East,Construction,F (41-43),1010
2015,Cheshire East,Services sector,G-T,108110
2015,Cheshire West and Chester,Production sector,A-E,2270
2015,Cheshire West and Chester,Construction,F (41-43),900
2015,Cheshire West and Chester,Services sector,G-T,109730
2015,Chorley and West Lancashire,Production sector,A-E,1980
2015,Chorley and West Lancashire,Construction,F (41-43),580
2015,Chorley and West Lancashire,Services sector,G-T,50370
2015,Clackmannanshire and Fife,Production sector,A-E,2340
2015,Clackmannanshire and Fife,Construction,F (41-43),1120
2015,Clackmannanshire and Fife,Services sector,G-T,94440
2015,Conwy and Denbighshire,Production sector,A-E,3180
2015,Conwy and Denbighshire,Construction,F (41-43),1140
2015,Conwy and Denbighshire,Services sector,G-T,66850
2015,Cornwall and Isles of Scilly,Production sector,A-E,6630
2015,Cornwall and Isles of Scilly,Construction,F (41-43),2490
2015,Cornwall and Isles of Scilly,Services sector,G-T,154490
2015,Coventry,Production sector,A-E,2420
2015,Coventry,Construction,F (41-43),1290
2015,Coventry,Services sector,G-T,94050
2015,Croydon,Production sector,A-E,390
2015,Croydon,Construction,F (41-43),2460
2015,Croydon,Services sector,G-T,73370
2015,Darlington,Production sector,A-E,660
2015,Darlington,Construction,F (41-43),360
2015,Darlington,Services sector,G-T,34680
2015,Derby,Production sector,A-E,2820
2015,Derby,Construction,F (41-43),990
2015,Derby,Services sector,G-T,70900
2015,Devon CC,Production sector,A-E,9760
2015,Devon CC,Construction,F (41-43),3560
2015,Devon CC,Services sector,G-T,216460
2015,Dorset CC,Production sector,A-E,4930
2015,Dorset CC,Construction,F (41-43),2080
2015,Dorset CC,Services sector,G-T,108710
2015,Dudley,Production sector,A-E,3150
2015,Dudley,Construction,F (41-43),2220
2015,Dudley,Services sector,G-T,70920
2015,Dumfries & Galloway,Production sector,A-E,1380
2015,Dumfries & Galloway,Construction,F (41-43),460
2015,Dumfries & Galloway,Services sector,G-T,40180
2015,Durham CC,Production sector,A-E,3940
2015,Durham CC,Construction,F (41-43),1880
2015,Durham CC,Services sector,G-T,108230
2015,Ealing,Production sector,A-E,2990
2015,Ealing,Construction,F (41-43),1620
2015,Ealing,Services sector,G-T,67210
2015,East Ayrshire and North Ayrshire mainland,Production sector,A-E,1140
2015,East Ayrshire and North Ayrshire mainland,Construction,F (41-43),500
2015,East Ayrshire and North Ayrshire mainland,Services sector,G-T,52560
2015,East Cumbria,Production sector,A-E,3240
2015,East Cumbria,Construction,F (41-43),1190
2015,East Cumbria,Services sector,G-T,91100
2015,East Derbyshire,Production sector,A-E,2330
2015,East Derbyshire,Construction,F (41-43),1730
2015,East Derbyshire,Services sector,G-T,63450
2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",Production sector,A-E,470
2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",Construction,F (41-43),490
2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",Services sector,G-T,46040
2015,East Kent,Production sector,A-E,2390
2015,East Kent,Construction,F (41-43),1790
2015,East Kent,Services sector,G-T,122450
2015,East Lancashire,Production sector,A-E,2860
2015,East Lancashire,Construction,F (41-43),890
2015,East Lancashire,Services sector,G-T,62430
2015,East Lothian and Midlothian,Production sector,A-E,500
2015,East Lothian and Midlothian,Construction,F (41-43),1040
2015,East Lothian and Midlothian,Services sector,G-T,38470
2015,East Merseyside,Production sector,A-E,2930
2015,East Merseyside,Construction,F (41-43),970
2015,East Merseyside,Services sector,G-T,98370
2015,East Riding of Yorkshire,Production sector,A-E,3220
2015,East Riding of Yorkshire,Construction,F (41-43),1320
2015,East Riding of Yorkshire,Services sector,G-T,79290
2015,East Surrey,Production sector,A-E,1660
2015,East Surrey,Construction,F (41-43),2700
2015,East Surrey,Services sector,G-T,106220
2015,East Sussex CC,Production sector,A-E,3500
2015,East Sussex CC,Construction,F (41-43),2440
2015,East Sussex CC,Services sector,G-T,126140
2015,"Edinburgh, City of",Production sector,A-E,2890
2015,"Edinburgh, City of",Construction,F (41-43),1010
2015,"Edinburgh, City of",Services sector,G-T,197680
2015,Enfield,Production sector,A-E,1560
2015,Enfield,Construction,F (41-43),1840
2015,Enfield,Services sector,G-T,63160
2015,Essex Haven Gateway,Production sector,A-E,3530
2015,Essex Haven Gateway,Construction,F (41-43),2300
2015,Essex Haven Gateway,Services sector,G-T,115630
2015,Essex Thames Gateway,Production sector,A-E,1920
2015,Essex Thames Gateway,Construction,F (41-43),2030
2015,Essex Thames Gateway,Services sector,G-T,75270
2015,Falkirk,Production sector,A-E,1060
2015,Falkirk,Construction,F (41-43),1040
2015,Falkirk,Services sector,G-T,39990
2015,Flintshire and Wrexham,Production sector,A-E,4530
2015,Flintshire and Wrexham,Construction,F (41-43),810
2015,Flintshire and Wrexham,Services sector,G-T,73510
2015,Glasgow City,Production sector,A-E,8810
2015,Glasgow City,Construction,F (41-43),1710
2015,Glasgow City,Services sector,G-T,266780
2015,Gloucestershire,Production sector,A-E,7280
2015,Gloucestershire,Construction,F (41-43),2870
2015,Gloucestershire,Services sector,G-T,177500
2015,Greater Manchester North East,Production sector,A-E,4550
2015,Greater Manchester North East,Construction,F (41-43),1450
2015,Greater Manchester North East,Services sector,G-T,133660
2015,Greater Manchester North West,Production sector,A-E,4460
2015,Greater Manchester North West,Construction,F (41-43),1470
2015,Greater Manchester North West,Services sector,G-T,132900
2015,Greater Manchester South East,Production sector,A-E,3670
2015,Greater Manchester South East,Construction,F (41-43),1210
2015,Greater Manchester South East,Services sector,G-T,115540
2015,Greater Manchester South West,Production sector,A-E,2560
2015,Greater Manchester South West,Construction,F (41-43),2570
2015,Greater Manchester South West,Services sector,G-T,143880
2015,Gwent Valleys,Production sector,A-E,3840
2015,Gwent Valleys,Construction,F (41-43),1080
2015,Gwent Valleys,Services sector,G-T,65350
2015,Gwynedd,Production sector,A-E,2580
2015,Gwynedd,Construction,F (41-43),400
2015,Gwynedd,Services sector,G-T,38840
2015,Hackney and Newham,Production sector,A-E,1550
2015,Hackney and Newham,Construction,F (41-43),1920
2015,Hackney and Newham,Services sector,G-T,118900
2015,Haringey and Islington,Production sector,A-E,1990
2015,Haringey and Islington,Construction,F (41-43),2000
2015,Haringey and Islington,Services sector,G-T,130760
2015,Harrow and Hillingdon,Production sector,A-E,1470
2015,Harrow and Hillingdon,Construction,F (41-43),2970
2015,Harrow and Hillingdon,Services sector,G-T,131770
2015,Hartlepool and Stockton-on-Tees,Production sector,A-E,2800
2015,Hartlepool and Stockton-on-Tees,Construction,F (41-43),1370
2015,Hartlepool and Stockton-on-Tees,Services sector,G-T,71710
2015,Heart of Essex,Production sector,A-E,2080
2015,Heart of Essex,Construction,F (41-43),2800
2015,Heart of Essex,Services sector,G-T,88000
2015,"Herefordshire, County of",Production sector,A-E,3450
2015,"Herefordshire, County of",Construction,F (41-43),1610
2015,"Herefordshire, County of",Services sector,G-T,45060
2015,Hertfordshire,Production sector,A-E,6500
2015,Hertfordshire,Construction,F (41-43),6810
2015,Hertfordshire,Services sector,G-T,389650
2015,Hounslow and Richmond upon Thames,Production sector,A-E,1400
2015,Hounslow and Richmond upon Thames,Construction,F (41-43),1520
2015,Hounslow and Richmond upon Thames,Services sector,G-T,136740
2015,"Inverclyde, East Renfrewshire and Renfrewshire",Production sector,A-E,1190
2015,"Inverclyde, East Renfrewshire and Renfrewshire",Construction,F (41-43),700
2015,"Inverclyde, East Renfrewshire and Renfrewshire",Services sector,G-T,91170
2015,"Inverness & Nairn and Moray, Badenoch & Strathspey",Production sector,A-E,2760
2015,"Inverness & Nairn and Moray, Badenoch & Strathspey",Construction,F (41-43),890
2015,"Inverness & Nairn and Moray, Badenoch & Strathspey",Services sector,G-T,66590
2015,Isle of Anglesey,Production sector,A-E,1330
2015,Isle of Anglesey,Construction,F (41-43),230
2015,Isle of Anglesey,Services sector,G-T,13470
2015,Isle of Wight,Production sector,A-E,830
2015,Isle of Wight,Construction,F (41-43),450
2015,Isle of Wight,Services sector,G-T,36680
2015,Kensington & Chelsea and Hammersmith & Fulham,Production sector,A-E,660
2015,Kensington & Chelsea and Hammersmith & Fulham,Construction,F (41-43),1490
2015,Kensington & Chelsea and Hammersmith & Fulham,Services sector,G-T,139910
2015,Kent Thames Gateway,Production sector,A-E,2230
2015,Kent Thames Gateway,Construction,F (41-43),2030
2015,Kent Thames Gateway,Services sector,G-T,86270
2015,"Kingston upon Hull, City of",Production sector,A-E,3070
2015,"Kingston upon Hull, City of",Construction,F (41-43),1440
2015,"Kingston upon Hull, City of",Services sector,G-T,74340
2015,Lambeth,Production sector,A-E,440
2015,Lambeth,Construction,F (41-43),990
2015,Lambeth,Services sector,G-T,89720
2015,Lancaster and Wyre,Production sector,A-E,1980
2015,Lancaster and Wyre,Construction,F (41-43),720
2015,Lancaster and Wyre,Services sector,G-T,57830
2015,Leeds,Production sector,A-E,6770
2015,Leeds,Construction,F (41-43),3220
2015,Leeds,Services sector,G-T,244920
2015,Leicester,Production sector,A-E,4890
2015,Leicester,Construction,F (41-43),970
2015,Leicester,Services sector,G-T,104510
2015,Leicestershire CC and Rutland,Production sector,A-E,9690
2015,Leicestershire CC and Rutland,Construction,F (41-43),4040
2015,Leicestershire CC and Rutland,Services sector,G-T,162980
2015,Lewisham and Southwark,Production sector,A-E,850
2015,Lewisham and Southwark,Construction,F (41-43),2610
2015,Lewisham and Southwark,Services sector,G-T,135440
2015,Lincolnshire,Production sector,A-E,8500
2015,Lincolnshire,Construction,F (41-43),3810
2015,Lincolnshire,Services sector,G-T,166410
2015,Liverpool,Production sector,A-E,1270
2015,Liverpool,Construction,F (41-43),960
2015,Liverpool,Services sector,G-T,155740
2015,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",Production sector,A-E,1060
2015,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",Construction,F (41-43),370
2015,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",Services sector,G-T,33310
2015,Luton,Production sector,A-E,930
2015,Luton,Construction,F (41-43),960
2015,Luton,Services sector,G-T,49700
2015,Manchester,Production sector,A-E,2670
2015,Manchester,Construction,F (41-43),780
2015,Manchester,Services sector,G-T,198560
2015,Medway,Production sector,A-E,890
2015,Medway,Construction,F (41-43),1180
2015,Medway,Services sector,G-T,56600
2015,"Merton, Kingston upon Thames and Sutton",Production sector,A-E,1180
2015,"Merton, Kingston upon Thames and Sutton",Construction,F (41-43),3020
2015,"Merton, Kingston upon Thames and Sutton",Services sector,G-T,154400
2015,Mid Kent,Production sector,A-E,2890
2015,Mid Kent,Construction,F (41-43),1520
2015,Mid Kent,Services sector,G-T,78710
2015,Mid Lancashire,Production sector,A-E,3690
2015,Mid Lancashire,Construction,F (41-43),1830
2015,Mid Lancashire,Services sector,G-T,109010
2015,Milton Keynes,Production sector,A-E,1150
2015,Milton Keynes,Construction,F (41-43),1020
2015,Milton Keynes,Services sector,G-T,90670
2015,Monmouthshire and Newport,Production sector,A-E,2620
2015,Monmouthshire and Newport,Construction,F (41-43),580
2015,Monmouthshire and Newport,Services sector,G-T,67600
2015,Na h-Eileanan Siar (Western Isles),Production sector,A-E,390
2015,Na h-Eileanan Siar (Western Isles),Construction,F (41-43),70
2015,Na h-Eileanan Siar (Western Isles),Services sector,G-T,7540
2015,North Hampshire,Production sector,A-E,2370
2015,North Hampshire,Construction,F (41-43),2130
2015,North Hampshire,Services sector,G-T,98020
2015,North Lanarkshire,Production sector,A-E,1980
2015,North Lanarkshire,Construction,F (41-43),1650
2015,North Lanarkshire,Services sector,G-T,79060
2015,North Northamptonshire,Production sector,A-E,4220
2015,North Northamptonshire,Construction,F (41-43),1660
2015,North Northamptonshire,Services sector,G-T,75970
2015,North Nottinghamshire,Production sector,A-E,5390
2015,North Nottinghamshire,Construction,F (41-43),2650
2015,North Nottinghamshire,Services sector,G-T,114060
2015,North Yorkshire CC,Production sector,A-E,8830
2015,North Yorkshire CC,Construction,F (41-43),2550
2015,North Yorkshire CC,Services sector,G-T,188280
2015,North and North East Lincolnshire,Production sector,A-E,4290
2015,North and North East Lincolnshire,Construction,F (41-43),1510
2015,North and North East Lincolnshire,Services sector,G-T,79680
2015,North and West Norfolk,Production sector,A-E,2500
2015,North and West Norfolk,Construction,F (41-43),1350
2015,North and West Norfolk,Services sector,G-T,54970
2015,Northumberland,Production sector,A-E,2640
2015,Northumberland,Construction,F (41-43),1110
2015,Northumberland,Services sector,G-T,71550
2015,Norwich and East Norfolk,Production sector,A-E,3220
2015,Norwich and East Norfolk,Construction,F (41-43),2060
2015,Norwich and East Norfolk,Services sector,G-T,114020
2015,Nottingham,Production sector,A-E,2360
2015,Nottingham,Construction,F (41-43),1450
2015,Nottingham,Services sector,G-T,136920
2015,Orkney Islands,Production sector,A-E,160
2015,Orkney Islands,Construction,F (41-43),150
