DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Aberdeen City and Aberdeenshire,"Agriculture, forestry and fishing",A (1-3),360
2015,Aberdeen City and Aberdeenshire,Mining and quarrying,B (5-9),1570
2015,Aberdeen City and Aberdeenshire,Manufacturing,C (10-33),3120
2015,Aberdeen City and Aberdeenshire,"Electricity, gas, steam and air conditioning supply",D (35),170
2015,Aberdeen City and Aberdeenshire,Water supply; sewerage and waste management,E (36-39),80
2015,Aberdeen City and Aberdeenshire,Construction,F (41-43),1570
2015,Aberdeen City and Aberdeenshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),32590
2015,Aberdeen City and Aberdeenshire,Transportation and storage,H (49-53),3780
2015,Aberdeen City and Aberdeenshire,Accommodation and food service activities,I (55-56),23940
2015,Aberdeen City and Aberdeenshire,Information and communication,J (58-63),1340
2015,Aberdeen City and Aberdeenshire,Financial and insurance activities,K (64-66),860
2015,Aberdeen City and Aberdeenshire,Real estate activities,L (68),1970
2015,Aberdeen City and Aberdeenshire,"Professional, scientific and technical activities",M (69-75),14510
2015,Aberdeen City and Aberdeenshire,Administrative and support service activities,N (77-82),11850
2015,Aberdeen City and Aberdeenshire,Public administration and defence,O (84),8700
2015,Aberdeen City and Aberdeenshire,Education,P (85),14780
2015,Aberdeen City and Aberdeenshire,Human health and social work activities,Q (86-88),37000
2015,Aberdeen City and Aberdeenshire,"Arts, entertainment and recreation",R (90-93),5970
2015,Aberdeen City and Aberdeenshire,Other service activities,S (94-96),3510
2015,Aberdeen City and Aberdeenshire,Activities of households,T (97-98),0
2015,Aberdeen City and Aberdeenshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Angus and Dundee City,"Agriculture, forestry and fishing",A (1-3),120
2015,Angus and Dundee City,Mining and quarrying,B (5-9),0
2015,Angus and Dundee City,Manufacturing,C (10-33),1680
2015,Angus and Dundee City,"Electricity, gas, steam and air conditioning supply",D (35),30
2015,Angus and Dundee City,Water supply; sewerage and waste management,E (36-39),30
2015,Angus and Dundee City,Construction,F (41-43),870
2015,Angus and Dundee City,Wholesale and retail trade; repair of motor vehicles,G (45-47),17540
2015,Angus and Dundee City,Transportation and storage,H (49-53),1360
2015,Angus and Dundee City,Accommodation and food service activities,I (55-56),11220
2015,Angus and Dundee City,Information and communication,J (58-63),950
2015,Angus and Dundee City,Financial and insurance activities,K (64-66),720
2015,Angus and Dundee City,Real estate activities,L (68),730
2015,Angus and Dundee City,"Professional, scientific and technical activities",M (69-75),1930
2015,Angus and Dundee City,Administrative and support service activities,N (77-82),3580
2015,Angus and Dundee City,Public administration and defence,O (84),3000
2015,Angus and Dundee City,Education,P (85),8040
2015,Angus and Dundee City,Human health and social work activities,Q (86-88),18620
2015,Angus and Dundee City,"Arts, entertainment and recreation",R (90-93),3500
2015,Angus and Dundee City,Other service activities,S (94-96),2030
2015,Angus and Dundee City,Activities of households,T (97-98),0
2015,Angus and Dundee City,Activities of extraterritorial organisations and bodies,U (99),0
2015,Barking & Dagenham and Havering,"Agriculture, forestry and fishing",A (1-3),40
2015,Barking & Dagenham and Havering,Mining and quarrying,B (5-9),0
2015,Barking & Dagenham and Havering,Manufacturing,C (10-33),1250
2015,Barking & Dagenham and Havering,"Electricity, gas, steam and air conditioning supply",D (35),0
2015,Barking & Dagenham and Havering,Water supply; sewerage and waste management,E (36-39),100
2015,Barking & Dagenham and Havering,Construction,F (41-43),2730
2015,Barking & Dagenham and Havering,Wholesale and retail trade; repair of motor vehicles,G (45-47),22040
2015,Barking & Dagenham and Havering,Transportation and storage,H (49-53),2210
2015,Barking & Dagenham and Havering,Accommodation and food service activities,I (55-56),7400
2015,Barking & Dagenham and Havering,Information and communication,J (58-63),740
2015,Barking & Dagenham and Havering,Financial and insurance activities,K (64-66),1210
2015,Barking & Dagenham and Havering,Real estate activities,L (68),520
2015,Barking & Dagenham and Havering,"Professional, scientific and technical activities",M (69-75),1730
2015,Barking & Dagenham and Havering,Administrative and support service activities,N (77-82),9440
2015,Barking & Dagenham and Havering,Public administration and defence,O (84),2280
2015,Barking & Dagenham and Havering,Education,P (85),14240
2015,Barking & Dagenham and Havering,Human health and social work activities,Q (86-88),13790
2015,Barking & Dagenham and Havering,"Arts, entertainment and recreation",R (90-93),3320
2015,Barking & Dagenham and Havering,Other service activities,S (94-96),1770
2015,Barking & Dagenham and Havering,Activities of households,T (97-98),0
2015,Barking & Dagenham and Havering,Activities of extraterritorial organisations and bodies,U (99),0
2015,Barnet,"Agriculture, forestry and fishing",A (1-3),40
2015,Barnet,Mining and quarrying,B (5-9),0
2015,Barnet,Manufacturing,C (10-33),810
2015,Barnet,"Electricity, gas, steam and air conditioning supply",D (35),0
2015,Barnet,Water supply; sewerage and waste management,E (36-39),0
2015,Barnet,Construction,F (41-43),1960
2015,Barnet,Wholesale and retail trade; repair of motor vehicles,G (45-47),19070
2015,Barnet,Transportation and storage,H (49-53),1110
2015,Barnet,Accommodation and food service activities,I (55-56),6960
2015,Barnet,Information and communication,J (58-63),1320
2015,Barnet,Financial and insurance activities,K (64-66),690
2015,Barnet,Real estate activities,L (68),2450
2015,Barnet,"Professional, scientific and technical activities",M (69-75),4010
2015,Barnet,Administrative and support service activities,N (77-82),8410
2015,Barnet,Public administration and defence,O (84),1580
2015,Barnet,Education,P (85),15940
2015,Barnet,Human health and social work activities,Q (86-88),15490
2015,Barnet,"Arts, entertainment and recreation",R (90-93),2730
2015,Barnet,Other service activities,S (94-96),2470
2015,Barnet,Activities of households,T (97-98),0
2015,Barnet,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Barnsley, Doncaster and Rotherham","Agriculture, forestry and fishing",A (1-3),400
2015,"Barnsley, Doncaster and Rotherham",Mining and quarrying,B (5-9),40
2015,"Barnsley, Doncaster and Rotherham",Manufacturing,C (10-33),4910
2015,"Barnsley, Doncaster and Rotherham","Electricity, gas, steam and air conditioning supply",D (35),100
2015,"Barnsley, Doncaster and Rotherham",Water supply; sewerage and waste management,E (36-39),420
2015,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),4600
2015,"Barnsley, Doncaster and Rotherham",Wholesale and retail trade; repair of motor vehicles,G (45-47),38530
2015,"Barnsley, Doncaster and Rotherham",Transportation and storage,H (49-53),5220
2015,"Barnsley, Doncaster and Rotherham",Accommodation and food service activities,I (55-56),20920
2015,"Barnsley, Doncaster and Rotherham",Information and communication,J (58-63),1150
2015,"Barnsley, Doncaster and Rotherham",Financial and insurance activities,K (64-66),2270
2015,"Barnsley, Doncaster and Rotherham",Real estate activities,L (68),1300
2015,"Barnsley, Doncaster and Rotherham","Professional, scientific and technical activities",M (69-75),4580
2015,"Barnsley, Doncaster and Rotherham",Administrative and support service activities,N (77-82),15950
2015,"Barnsley, Doncaster and Rotherham",Public administration and defence,O (84),7200
2015,"Barnsley, Doncaster and Rotherham",Education,P (85),20500
2015,"Barnsley, Doncaster and Rotherham",Human health and social work activities,Q (86-88),42100
2015,"Barnsley, Doncaster and Rotherham","Arts, entertainment and recreation",R (90-93),8970
2015,"Barnsley, Doncaster and Rotherham",Other service activities,S (94-96),3610
2015,"Barnsley, Doncaster and Rotherham",Activities of households,T (97-98),0
2015,"Barnsley, Doncaster and Rotherham",Activities of extraterritorial organisations and bodies,U (99),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Agriculture, forestry and fishing",A (1-3),970
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Mining and quarrying,B (5-9),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Manufacturing,C (10-33),3190
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Electricity, gas, steam and air conditioning supply",D (35),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Water supply; sewerage and waste management,E (36-39),280
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),3430
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Wholesale and retail trade; repair of motor vehicles,G (45-47),44600
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Transportation and storage,H (49-53),5560
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Accommodation and food service activities,I (55-56),25160
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Information and communication,J (58-63),3450
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Financial and insurance activities,K (64-66),3120
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Real estate activities,L (68),2380
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Professional, scientific and technical activities",M (69-75),9650
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Administrative and support service activities,N (77-82),20100
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Public administration and defence,O (84),8980
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Education,P (85),27750
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Human health and social work activities,Q (86-88),39350
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Arts, entertainment and recreation",R (90-93),7560
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Other service activities,S (94-96),6290
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of households,T (97-98),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of extraterritorial organisations and bodies,U (99),0
2015,Bedford,"Agriculture, forestry and fishing",A (1-3),210
2015,Bedford,Mining and quarrying,B (5-9),0
2015,Bedford,Manufacturing,C (10-33),710
2015,Bedford,"Electricity, gas, steam and air conditioning supply",D (35),300
2015,Bedford,Water supply; sewerage and waste management,E (36-39),120
2015,Bedford,Construction,F (41-43),680
2015,Bedford,Wholesale and retail trade; repair of motor vehicles,G (45-47),9590
2015,Bedford,Transportation and storage,H (49-53),850
