DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2015,Bedfordshire and Hertfordshire,Production sector,A-E,60360
2015,Bedfordshire and Hertfordshire,Construction,F (41-43),47325
2015,Bedfordshire and Hertfordshire,Services sector,G-T,451410
2015,"Berkshire, Buckinghamshire and Oxfordshire",Production sector,A-E,87085
2015,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),41715
2015,"Berkshire, Buckinghamshire and Oxfordshire",Services sector,G-T,756955
2015,Cheshire,Production sector,A-E,46335
2015,Cheshire,Construction,F (41-43),18315
2015,Cheshire,Services sector,G-T,265365
2015,Cornwall and Isles of Scilly,Production sector,A-E,19995
2015,Cornwall and Isles of Scilly,Construction,F (41-43),10210
2015,Cornwall and Isles of Scilly,Services sector,G-T,95415
2015,Cumbria,Production sector,A-E,40610
2015,Cumbria,Construction,F (41-43),10890
2015,Cumbria,Services sector,G-T,99185
2015,Derbyshire and Nottinghamshire,Production sector,A-E,134300
2015,Derbyshire and Nottinghamshire,Construction,F (41-43),41790
2015,Derbyshire and Nottinghamshire,Services sector,G-T,450275
2015,Devon,Production sector,A-E,44725
2015,Devon,Construction,F (41-43),22315
2015,Devon,Services sector,G-T,234165
2015,Dorset and Somerset,Production sector,A-E,62370
2015,Dorset and Somerset,Construction,F (41-43),25340
2015,Dorset and Somerset,Services sector,G-T,264305
2015,East Anglia,Production sector,A-E,120470
2015,East Anglia,Construction,F (41-43),49360
2015,East Anglia,Services sector,G-T,573430
2015,East Wales,Production sector,A-E,71950
2015,East Wales,Construction,F (41-43),16750
2015,East Wales,Services sector,G-T,258560
2015,East Yorkshire and Northern Lincolnshire,Production sector,A-E,65170
2015,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),17645
2015,East Yorkshire and Northern Lincolnshire,Services sector,G-T,172125
2015,Eastern Scotland,Production sector,A-E,68005
2015,Eastern Scotland,Construction,F (41-43),42135
2015,Eastern Scotland,Services sector,G-T,477125
2015,Essex,Production sector,A-E,53680
2015,Essex,Construction,F (41-43),43820
2015,Essex,Services sector,G-T,355815
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Production sector,A-E,110070
