DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Bedfordshire and Hertfordshire,"Agriculture, forestry and fishing",A (1-3),1935
2015,Bedfordshire and Hertfordshire,Mining and quarrying,B (5-9),140
2015,Bedfordshire and Hertfordshire,Manufacturing,C (10-33),52105
2015,Bedfordshire and Hertfordshire,"Electricity, gas, steam and air conditioning supply",D (35),1370
2015,Bedfordshire and Hertfordshire,Water supply; sewerage and waste management,E (36-39),4810
2015,Bedfordshire and Hertfordshire,Construction,F (41-43),47325
2015,Bedfordshire and Hertfordshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),98015
2015,Bedfordshire and Hertfordshire,Transportation and storage,H (49-53),28975
2015,Bedfordshire and Hertfordshire,Accommodation and food service activities,I (55-56),18725
2015,Bedfordshire and Hertfordshire,Information and communication,J (58-63),33515
2015,Bedfordshire and Hertfordshire,Financial and insurance activities,K (64-66),12315
2015,Bedfordshire and Hertfordshire,Real estate activities,L (68),9350
2015,Bedfordshire and Hertfordshire,"Professional, scientific and technical activities",M (69-75),69745
2015,Bedfordshire and Hertfordshire,Administrative and support service activities,N (77-82),55985
2015,Bedfordshire and Hertfordshire,Public administration and defence,O (84),17800
2015,Bedfordshire and Hertfordshire,Education,P (85),36695
2015,Bedfordshire and Hertfordshire,Human health and social work activities,Q (86-88),47075
2015,Bedfordshire and Hertfordshire,"Arts, entertainment and recreation",R (90-93),7340
2015,Bedfordshire and Hertfordshire,Other service activities,S (94-96),15875
2015,Bedfordshire and Hertfordshire,Activities of households,T (97-98),0
2015,Bedfordshire and Hertfordshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Berkshire, Buckinghamshire and Oxfordshire","Agriculture, forestry and fishing",A (1-3),4600
2015,"Berkshire, Buckinghamshire and Oxfordshire",Mining and quarrying,B (5-9),1080
2015,"Berkshire, Buckinghamshire and Oxfordshire",Manufacturing,C (10-33),69790
2015,"Berkshire, Buckinghamshire and Oxfordshire","Electricity, gas, steam and air conditioning supply",D (35),3950
2015,"Berkshire, Buckinghamshire and Oxfordshire",Water supply; sewerage and waste management,E (36-39),7665
2015,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),41715
2015,"Berkshire, Buckinghamshire and Oxfordshire",Wholesale and retail trade; repair of motor vehicles,G (45-47),135270
2015,"Berkshire, Buckinghamshire and Oxfordshire",Transportation and storage,H (49-53),45835
2015,"Berkshire, Buckinghamshire and Oxfordshire",Accommodation and food service activities,I (55-56),36990
2015,"Berkshire, Buckinghamshire and Oxfordshire",Information and communication,J (58-63),105575
2015,"Berkshire, Buckinghamshire and Oxfordshire",Financial and insurance activities,K (64-66),23145
2015,"Berkshire, Buckinghamshire and Oxfordshire",Real estate activities,L (68),15300
2015,"Berkshire, Buckinghamshire and Oxfordshire","Professional, scientific and technical activities",M (69-75),113545
2015,"Berkshire, Buckinghamshire and Oxfordshire",Administrative and support service activities,N (77-82),62805
2015,"Berkshire, Buckinghamshire and Oxfordshire",Public administration and defence,O (84),26400
2015,"Berkshire, Buckinghamshire and Oxfordshire",Education,P (85),80625
2015,"Berkshire, Buckinghamshire and Oxfordshire",Human health and social work activities,Q (86-88),75800
2015,"Berkshire, Buckinghamshire and Oxfordshire","Arts, entertainment and recreation",R (90-93),13120
2015,"Berkshire, Buckinghamshire and Oxfordshire",Other service activities,S (94-96),22545
2015,"Berkshire, Buckinghamshire and Oxfordshire",Activities of households,T (97-98),0
2015,"Berkshire, Buckinghamshire and Oxfordshire",Activities of extraterritorial organisations and bodies,U (99),0
2015,Cheshire,"Agriculture, forestry and fishing",A (1-3),3030
2015,Cheshire,Mining and quarrying,B (5-9),455
2015,Cheshire,Manufacturing,C (10-33),37840
2015,Cheshire,"Electricity, gas, steam and air conditioning supply",D (35),1535
2015,Cheshire,Water supply; sewerage and waste management,E (36-39),3475
2015,Cheshire,Construction,F (41-43),18315
2015,Cheshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),46580
2015,Cheshire,Transportation and storage,H (49-53),19650
