DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2015,Bedfordshire and Hertfordshire,Production sector,A-E,71040
2015,Bedfordshire and Hertfordshire,Construction,F (41-43),55405
2015,Bedfordshire and Hertfordshire,Services sector,G-T,742845
2015,"Berkshire, Buckinghamshire and Oxfordshire",Production sector,A-E,103595
2015,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),53200
2015,"Berkshire, Buckinghamshire and Oxfordshire",Services sector,G-T,1129335
2015,Cheshire,Production sector,A-E,55245
2015,Cheshire,Construction,F (41-43),20690
2015,Cheshire,Services sector,G-T,415990
2015,Cornwall and Isles of Scilly,Production sector,A-E,31615
2015,Cornwall and Isles of Scilly,Construction,F (41-43),13435
2015,Cornwall and Isles of Scilly,Services sector,G-T,181110
2015,Cumbria,Production sector,A-E,53010
2015,Cumbria,Construction,F (41-43),12980
2015,Cumbria,Services sector,G-T,183435
2015,Derbyshire and Nottinghamshire,Production sector,A-E,155685
2015,Derbyshire and Nottinghamshire,Construction,F (41-43),51105
2015,Derbyshire and Nottinghamshire,Services sector,G-T,755675
2015,Devon,Production sector,A-E,65285
2015,Devon,Construction,F (41-43),27270
2015,Devon,Services sector,G-T,413780
2015,Dorset and Somerset,Production sector,A-E,82155
2015,Dorset and Somerset,Construction,F (41-43),29490
2015,Dorset and Somerset,Services sector,G-T,460210
2015,East Anglia,Production sector,A-E,148265
2015,East Anglia,Construction,F (41-43),59435
2015,East Anglia,Services sector,G-T,933435
2015,East Wales,Production sector,A-E,96905
2015,East Wales,Construction,F (41-43),20530
2015,East Wales,Services sector,G-T,441235
2015,East Yorkshire and Northern Lincolnshire,Production sector,A-E,75485
2015,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),20115
2015,East Yorkshire and Northern Lincolnshire,Services sector,G-T,296205
2015,Eastern Scotland,Production sector,A-E,74520
2015,Eastern Scotland,Construction,F (41-43),48710
2015,Eastern Scotland,Services sector,G-T,775590
2015,Essex,Production sector,A-E,64725
2015,Essex,Construction,F (41-43),52900
2015,Essex,Services sector,G-T,595745
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Production sector,A-E,131510
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Construction,F (41-43),56920
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Services sector,G-T,1018110
2015,Greater Manchester,Production sector,A-E,119740
2015,Greater Manchester,Construction,F (41-43),53225
2015,Greater Manchester,Services sector,G-T,1078960
2015,Hampshire and Isle of Wight,Production sector,A-E,86545
2015,Hampshire and Isle of Wight,Construction,F (41-43),43495
2015,Hampshire and Isle of Wight,Services sector,G-T,759190
2015,"Herefordshire, Worcestershire and Warwickshire",Production sector,A-E,109320
2015,"Herefordshire, Worcestershire and Warwickshire",Construction,F (41-43),34215
2015,"Herefordshire, Worcestershire and Warwickshire",Services sector,G-T,480440
2015,Highlands and Islands,Production sector,A-E,24775
2015,Highlands and Islands,Construction,F (41-43),16340
2015,Highlands and Islands,Services sector,G-T,174745
2015,Inner London - East,Production sector,A-E,32065
2015,Inner London - East,Construction,F (41-43),30155
2015,Inner London - East,Services sector,G-T,1197140
2015,Inner London - West,Production sector,A-E,23140
2015,Inner London - West,Construction,F (41-43),35955
2015,Inner London - West,Services sector,G-T,1868050
2015,Kent,Production sector,A-E,71695
2015,Kent,Construction,F (41-43),43310
2015,Kent,Services sector,G-T,615590
2015,Lancashire,Production sector,A-E,100045
2015,Lancashire,Construction,F (41-43),34515
2015,Lancashire,Services sector,G-T,509515
2015,"Leicestershire, Rutland and Northamptonshire",Production sector,A-E,132675
2015,"Leicestershire, Rutland and Northamptonshire",Construction,F (41-43),40940
2015,"Leicestershire, Rutland and Northamptonshire",Services sector,G-T,659330
2015,Lincolnshire,Production sector,A-E,57145
2015,Lincolnshire,Construction,F (41-43),16430
2015,Lincolnshire,Services sector,G-T,226380
2015,Merseyside,Production sector,A-E,53505
2015,Merseyside,Construction,F (41-43),23925
2015,Merseyside,Services sector,G-T,541355
2015,North Eastern Scotland,Production sector,A-E,61415
2015,North Eastern Scotland,Construction,F (41-43),14090
2015,North Eastern Scotland,Services sector,G-T,215525
2015,North Yorkshire,Production sector,A-E,58610
2015,North Yorkshire,Construction,F (41-43),16700
2015,North Yorkshire,Services sector,G-T,323085
2015,Northumberland and Tyne and Wear,Production sector,A-E,79665
2015,Northumberland and Tyne and Wear,Construction,F (41-43),29230
2015,Northumberland and Tyne and Wear,Services sector,G-T,528275
2015,Outer London - East and North East,Production sector,A-E,33055
2015,Outer London - East and North East,Construction,F (41-43),29410
2015,Outer London - East and North East,Services sector,G-T,482030
2015,Outer London - South,Production sector,A-E,14445
2015,Outer London - South,Construction,F (41-43),21190
2015,Outer London - South,Services sector,G-T,427095
2015,Outer London - West and North West,Production sector,A-E,43805
2015,Outer London - West and North West,Construction,F (41-43),30610
2015,Outer London - West and North West,Services sector,G-T,812650
2015,Shropshire and Staffordshire,Production sector,A-E,112190
2015,Shropshire and Staffordshire,Construction,F (41-43),39240
2015,Shropshire and Staffordshire,Services sector,G-T,542380
2015,South Yorkshire,Production sector,A-E,66950
2015,South Yorkshire,Construction,F (41-43),27830
2015,South Yorkshire,Services sector,G-T,470985
2015,Southern Scotland,Production sector,A-E,45445
2015,Southern Scotland,Construction,F (41-43),21760
2015,Southern Scotland,Services sector,G-T,279945
2015,"Surrey, East and West Sussex",Production sector,A-E,96615
