DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Bedfordshire and Hertfordshire,"Agriculture, forestry and fishing",A (1-3),5170
2015,Bedfordshire and Hertfordshire,Mining and quarrying,B (5-9),145
2015,Bedfordshire and Hertfordshire,Manufacturing,C (10-33),58310
2015,Bedfordshire and Hertfordshire,"Electricity, gas, steam and air conditioning supply",D (35),1595
2015,Bedfordshire and Hertfordshire,Water supply; sewerage and waste management,E (36-39),5820
2015,Bedfordshire and Hertfordshire,Construction,F (41-43),55405
2015,Bedfordshire and Hertfordshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),155620
2015,Bedfordshire and Hertfordshire,Transportation and storage,H (49-53),35460
2015,Bedfordshire and Hertfordshire,Accommodation and food service activities,I (55-56),50320
2015,Bedfordshire and Hertfordshire,Information and communication,J (58-63),39280
2015,Bedfordshire and Hertfordshire,Financial and insurance activities,K (64-66),15195
2015,Bedfordshire and Hertfordshire,Real estate activities,L (68),14600
2015,Bedfordshire and Hertfordshire,"Professional, scientific and technical activities",M (69-75),99040
2015,Bedfordshire and Hertfordshire,Administrative and support service activities,N (77-82),110005
2015,Bedfordshire and Hertfordshire,Public administration and defence,O (84),23700
2015,Bedfordshire and Hertfordshire,Education,P (85),75125
2015,Bedfordshire and Hertfordshire,Human health and social work activities,Q (86-88),81850
2015,Bedfordshire and Hertfordshire,"Arts, entertainment and recreation",R (90-93),17575
2015,Bedfordshire and Hertfordshire,Other service activities,S (94-96),25075
2015,Bedfordshire and Hertfordshire,Activities of households,T (97-98),0
2015,Bedfordshire and Hertfordshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Berkshire, Buckinghamshire and Oxfordshire","Agriculture, forestry and fishing",A (1-3),12170
2015,"Berkshire, Buckinghamshire and Oxfordshire",Mining and quarrying,B (5-9),1105
2015,"Berkshire, Buckinghamshire and Oxfordshire",Manufacturing,C (10-33),77230
2015,"Berkshire, Buckinghamshire and Oxfordshire","Electricity, gas, steam and air conditioning supply",D (35),4150
2015,"Berkshire, Buckinghamshire and Oxfordshire",Water supply; sewerage and waste management,E (36-39),8940
2015,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),53200
2015,"Berkshire, Buckinghamshire and Oxfordshire",Wholesale and retail trade; repair of motor vehicles,G (45-47),214295
2015,"Berkshire, Buckinghamshire and Oxfordshire",Transportation and storage,H (49-53),54760
2015,"Berkshire, Buckinghamshire and Oxfordshire",Accommodation and food service activities,I (55-56),79925
2015,"Berkshire, Buckinghamshire and Oxfordshire",Information and communication,J (58-63),119585
2015,"Berkshire, Buckinghamshire and Oxfordshire",Financial and insurance activities,K (64-66),28050
2015,"Berkshire, Buckinghamshire and Oxfordshire",Real estate activities,L (68),24100
2015,"Berkshire, Buckinghamshire and Oxfordshire","Professional, scientific and technical activities",M (69-75),141775
2015,"Berkshire, Buckinghamshire and Oxfordshire",Administrative and support service activities,N (77-82),96170
2015,"Berkshire, Buckinghamshire and Oxfordshire",Public administration and defence,O (84),34150
2015,"Berkshire, Buckinghamshire and Oxfordshire",Education,P (85),144075
2015,"Berkshire, Buckinghamshire and Oxfordshire",Human health and social work activities,Q (86-88),128650
2015,"Berkshire, Buckinghamshire and Oxfordshire","Arts, entertainment and recreation",R (90-93),29125
2015,"Berkshire, Buckinghamshire and Oxfordshire",Other service activities,S (94-96),34675
2015,"Berkshire, Buckinghamshire and Oxfordshire",Activities of households,T (97-98),0
2015,"Berkshire, Buckinghamshire and Oxfordshire",Activities of extraterritorial organisations and bodies,U (99),0
2015,Cheshire,"Agriculture, forestry and fishing",A (1-3),8355
2015,Cheshire,Mining and quarrying,B (5-9),420
2015,Cheshire,Manufacturing,C (10-33),40930
2015,Cheshire,"Electricity, gas, steam and air conditioning supply",D (35),1740
2015,Cheshire,Water supply; sewerage and waste management,E (36-39),3800
2015,Cheshire,Construction,F (41-43),20690
2015,Cheshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),81040
2015,Cheshire,Transportation and storage,H (49-53),23945
2015,Cheshire,Accommodation and food service activities,I (55-56),38145
2015,Cheshire,Information and communication,J (58-63),18730
2015,Cheshire,Financial and insurance activities,K (64-66),17860
2015,Cheshire,Real estate activities,L (68),7250
2015,Cheshire,"Professional, scientific and technical activities",M (69-75),46035
2015,Cheshire,Administrative and support service activities,N (77-82),52500
2015,Cheshire,Public administration and defence,O (84),14050
2015,Cheshire,Education,P (85),35135
2015,Cheshire,Human health and social work activities,Q (86-88),55875
2015,Cheshire,"Arts, entertainment and recreation",R (90-93),12820
2015,Cheshire,Other service activities,S (94-96),12605
2015,Cheshire,Activities of households,T (97-98),0
2015,Cheshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Cornwall and Isles of Scilly,"Agriculture, forestry and fishing",A (1-3),12210
2015,Cornwall and Isles of Scilly,Mining and quarrying,B (5-9),910
2015,Cornwall and Isles of Scilly,Manufacturing,C (10-33),16565
2015,Cornwall and Isles of Scilly,"Electricity, gas, steam and air conditioning supply",D (35),520
2015,Cornwall and Isles of Scilly,Water supply; sewerage and waste management,E (36-39),1410
2015,Cornwall and Isles of Scilly,Construction,F (41-43),13435
2015,Cornwall and Isles of Scilly,Wholesale and retail trade; repair of motor vehicles,G (45-47),42955
2015,Cornwall and Isles of Scilly,Transportation and storage,H (49-53),7990
2015,Cornwall and Isles of Scilly,Accommodation and food service activities,I (55-56),29150
2015,Cornwall and Isles of Scilly,Information and communication,J (58-63),3035
2015,Cornwall and Isles of Scilly,Financial and insurance activities,K (64-66),2115
2015,Cornwall and Isles of Scilly,Real estate activities,L (68),4125
2015,Cornwall and Isles of Scilly,"Professional, scientific and technical activities",M (69-75),13185
2015,Cornwall and Isles of Scilly,Administrative and support service activities,N (77-82),12980
2015,Cornwall and Isles of Scilly,Public administration and defence,O (84),6025
2015,Cornwall and Isles of Scilly,Education,P (85),18405
2015,Cornwall and Isles of Scilly,Human health and social work activities,Q (86-88),30550
2015,Cornwall and Isles of Scilly,"Arts, entertainment and recreation",R (90-93),5820
2015,Cornwall and Isles of Scilly,Other service activities,S (94-96),4775
2015,Cornwall and Isles of Scilly,Activities of households,T (97-98),0
2015,Cornwall and Isles of Scilly,Activities of extraterritorial organisations and bodies,U (99),0
2015,Cumbria,"Agriculture, forestry and fishing",A (1-3),13185
2015,Cumbria,Mining and quarrying,B (5-9),320
2015,Cumbria,Manufacturing,C (10-33),37575
2015,Cumbria,"Electricity, gas, steam and air conditioning supply",D (35),535
2015,Cumbria,Water supply; sewerage and waste management,E (36-39),1395
2015,Cumbria,Construction,F (41-43),12980
2015,Cumbria,Wholesale and retail trade; repair of motor vehicles,G (45-47),38670
2015,Cumbria,Transportation and storage,H (49-53),10830
2015,Cumbria,Accommodation and food service activities,I (55-56),29775
2015,Cumbria,Information and communication,J (58-63),3265
2015,Cumbria,Financial and insurance activities,K (64-66),2240
2015,Cumbria,Real estate activities,L (68),3850
2015,Cumbria,"Professional, scientific and technical activities",M (69-75),11845
2015,Cumbria,Administrative and support service activities,N (77-82),11210
2015,Cumbria,Public administration and defence,O (84),9600
2015,Cumbria,Education,P (85),19360
2015,Cumbria,Human health and social work activities,Q (86-88),31575
2015,Cumbria,"Arts, entertainment and recreation",R (90-93),6200
2015,Cumbria,Other service activities,S (94-96),5015
2015,Cumbria,Activities of households,T (97-98),0
2015,Cumbria,Activities of extraterritorial organisations and bodies,U (99),0
2015,Derbyshire and Nottinghamshire,"Agriculture, forestry and fishing",A (1-3),12270
2015,Derbyshire and Nottinghamshire,Mining and quarrying,B (5-9),2265
2015,Derbyshire and Nottinghamshire,Manufacturing,C (10-33),127560
2015,Derbyshire and Nottinghamshire,"Electricity, gas, steam and air conditioning supply",D (35),7745
