ITL321CD,ITL321NM,ITL325CD,ITL325NM,ObjectId
TLC11,Hartlepool and Stockton-on-Tees,TLC31,Hartlepool and Stockton-on-Tees,1
TLC12,South Teesside,TLC32,South Teesside,2
TLC13,Darlington,TLC33,Darlington,3
TLC14,Durham,TLC41,Durham,4
TLC21,Northumberland,TLC42,Northumberland,5
TLC22,Tyneside,TLC43,Tyneside,6
TLC23,Sunderland,TLC44,Sunderland,7
TLD11,West Cumbria,TLD13,Cumberland,8
TLD12,East Cumbria,TLD13,Cumberland,9
TLD11,West Cumbria,TLD14,Westmorland and Furness,10
TLD12,East Cumbria,TLD14,Westmorland and Furness,11
TLD33,Manchester,TLD33,Manchester,12
TLD34,Greater Manchester South West,TLD34,Greater Manchester South West,13
TLD35,Greater Manchester South East,TLD35,Greater Manchester South East,14
TLD36,Greater Manchester North West,TLD36,Greater Manchester North West,15
TLD37,Greater Manchester North East,TLD37,Greater Manchester North East,16
TLD41,Blackburn with Darwen,TLD41,Blackburn with Darwen,17
TLD42,Blackpool,TLD42,Blackpool,18
TLD44,Lancaster and Wyre,TLD44,Lancaster and Wyre,19
TLD45,Mid Lancashire,TLD45,Mid Lancashire,20
TLD46,East Lancashire,TLD46,East Lancashire,21
TLD47,Chorley and West Lancashire,TLD47,Chorley and West Lancashire,22
TLD61,Warrington,TLD61,Warrington,23
TLD62,Cheshire East,TLD62,Cheshire East,24
TLD63,Cheshire West and Chester,TLD63,Cheshire West and Chester,25
TLD71,East Merseyside,TLD71,East Merseyside,26
TLD72,Liverpool,TLD72,Liverpool,27
TLD73,Sefton,TLD73,Sefton,28
TLD74,Wirral,TLD74,Wirral,29
TLE11,"Kingston upon Hull, City of",TLE11,"Kingston upon Hull, City of",30
TLE12,East Riding of Yorkshire,TLE12,East Riding of Yorkshire,31
TLE13,North and North East Lincolnshire,TLE13,North and North East Lincolnshire,32
TLE21,York,TLE21,York,33
TLE22,North Yorkshire CC,TLE22,North Yorkshire,34
TLE32,Sheffield,TLE32,Sheffield,35
TLE31,"Barnsley, Doncaster and Rotherham",TLE33,Barnsley,36
TLE31,"Barnsley, Doncaster and Rotherham",TLE34,Rotherham,37
TLE31,"Barnsley, Doncaster and Rotherham",TLE35,Doncaster,38
TLE41,Bradford,TLE41,Bradford,39
TLE42,Leeds,TLE42,Leeds,40
TLE44,Calderdale and Kirklees,TLE44,Calderdale and Kirklees,41
TLE45,Wakefield,TLE45,Wakefield,42
TLF11,Derby,TLF11,Derby,43
TLF12,East Derbyshire,TLF12,East Derbyshire,44
TLF13,South and West Derbyshire,TLF13,South and West Derbyshire,45
TLF14,Nottingham,TLF14,Nottingham,46
TLF15,North Nottinghamshire,TLF15,North Nottinghamshire,47
TLF16,South Nottinghamshire,TLF16,South Nottinghamshire,48
TLF21,Leicester,TLF21,Leicester,49
TLF22,Leicestershire CC and Rutland,TLF22,Leicestershire CC and Rutland,50
TLF24,West Northamptonshire,TLF24,West Northamptonshire,51
TLF25,North Northamptonshire,TLF25,North Northamptonshire,52
TLF30,Lincolnshire CC,TLF30,Lincolnshire CC,53
TLG11,"Herefordshire, County of",TLG11,"Herefordshire, County of",54
TLG12,Worcestershire CC,TLG12,Worcestershire CC,55
TLG13,Warwickshire CC,TLG13,Warwickshire CC,56
TLG21,Telford and Wrekin,TLG21,Telford and Wrekin,57
TLG22,Shropshire,TLG22,Shropshire,58
TLG23,Stoke-on-Trent,TLG23,Stoke-on-Trent,59
TLG24,Staffordshire CC,TLG24,Staffordshire CC,60
TLG31,Birmingham,TLG31,Birmingham,61
TLG32,Solihull,TLG32,Solihull,62
TLG33,Coventry,TLG33,Coventry,63
TLG36,Dudley,TLG36,Dudley,64
TLG37,Sandwell,TLG37,Sandwell,65
TLJ46,West Kent,TLJ46,West Kent,66
TLK30,Cornwall and Isles of Scilly,TLK30,Cornwall and Isles of Scilly,67
TLK41,Plymouth,TLK41,Plymouth,68
TLK42,Torbay,TLK42,Torbay,69
TLK43,Devon CC,TLK43,Devon CC,70
TLK11,"Bristol, City of",TLK51,"Bristol, City of",71
TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",TLK52,Bath & North East Somerset and South Gloucestershire,72
TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",TLK61,North Somerset,73
