GEOGRAPHY_NAME,GEOGRAPHY_CODE_NUTS2018,GEOGRAPHY_CODE_ITL321
Hartlepool and Stockton-on-Tees,UKC11,TLC11
South Teesside,UKC12,TLC12
Darlington,UKC13,TLC13
Durham,UKC14,TLC14
Northumberland,UKC21,TLC21
Tyneside,UKC22,TLC22
Sunderland,UKC23,TLC23
West Cumbria,UKD11,TLD11
East Cumbria,UKD12,TLD12
Manchester,UKD33,TLD33
Greater Manchester South West,UKD34,TLD34
Greater Manchester South East,UKD35,TLD35
Greater Manchester North West,UKD36,TLD36
Greater Manchester North East,UKD37,TLD37
Blackburn with Darwen,UKD41,TLD41
Blackpool,UKD42,TLD42
Lancaster and Wyre,UKD44,TLD44
Mid Lancashire,UKD45,TLD45
East Lancashire,UKD46,TLD46
Chorley and West Lancashire,UKD47,TLD47
Warrington,UKD61,TLD61
Cheshire East,UKD62,TLD62
Cheshire West and Chester,UKD63,TLD63
East Merseyside,UKD71,TLD71
Liverpool,UKD72,TLD72
Sefton,UKD73,TLD73
Wirral,UKD74,TLD74
"Kingston upon Hull, City of",UKE11,TLE11
East Riding of Yorkshire,UKE12,TLE12
North and North East Lincolnshire,UKE13,TLE13
York,UKE21,TLE21
North Yorkshire,UKE22,TLE22
"Barnsley, Doncaster and Rotherham",UKE31,TLE31
Sheffield,UKE32,TLE32
Bradford,UKE41,TLE41
Leeds,UKE42,TLE42
Calderdale and Kirklees,UKE44,TLE44
Wakefield,UKE45,TLE45
Derby,UKF11,TLF11
East Derbyshire,UKF12,TLF12
South and West Derbyshire,UKF13,TLF13
Nottingham,UKF14,TLF14
North Nottinghamshire,UKF15,TLF15
South Nottinghamshire,UKF16,TLF16
Leicester,UKF21,TLF21
Leicestershire and Rutland,UKF22,TLF22
West Northamptonshire,UKF24,TLF24
North Northamptonshire,UKF25,TLF25
Lincolnshire,UKF30,TLF30
"Herefordshire, County of",UKG11,TLG11
Worcestershire,UKG12,TLG12
Warwickshire,UKG13,TLG13
Telford and Wrekin,UKG21,TLG21
Shropshire,UKG22,TLG22
Stoke-on-Trent,UKG23,TLG23
Staffordshire,UKG24,TLG24
Birmingham,UKG31,TLG31
Solihull,UKG32,TLG32
Coventry,UKG33,TLG33
Dudley,UKG36,TLG36
Sandwell,UKG37,TLG37
Walsall,UKG38,TLG38
