SIC,Description,Country_Code,Country_and_Region,Year,GVA,GVA_SE,gva_min95,gva_max95,CoV100
01,"Crop and animal production, hunting and related service activities",TLD,North West,2012,62,5,52.2,71.8,8.064516129032258
01,"Crop and animal production, hunting and related service activities",TLD,North West,2013,70,8.7,52.948,87.05199999999999,12.428571428571427
01,"Crop and animal production, hunting and related service activities",TLD,North West,2014,68,9.1,50.164,85.836,13.382352941176471
01,"Crop and animal production, hunting and related service activities",TLD,North West,2015,85,10.7,64.028,105.972,12.588235294117647
01,"Crop and animal production, hunting and related service activities",TLD,North West,2016,90,13.7,63.148,116.852,15.22222222222222
01,"Crop and animal production, hunting and related service activities",TLD,North West,2017,83,8.2,66.928,99.072,9.879518072289157
01,"Crop and animal production, hunting and related service activities",TLD,North West,2018,91,14.6,62.384,119.616,16.043956043956044
01,"Crop and animal production, hunting and related service activities",TLD,North West,2019,84,11.5,61.46,106.53999999999999,13.690476190476192
01,"Crop and animal production, hunting and related service activities",TLD,North West,2020,92,14.6,63.384,120.616,15.869565217391305
01,"Crop and animal production, hunting and related service activities",TLD,North West,2021,102,24.6,53.784,150.216,24.11764705882353
01,"Crop and animal production, hunting and related service activities",TLD,North West,2022,104,13.48540624134775,77.5686037669584,130.4313962330416,12.966736770526682
01,"Crop and animal production, hunting and related service activities",TLD,North West,2023,121,39.61819069070446,43.348346246219265,198.65165375378075,32.7423063559541
02,Forestry and logging,TLD,North West,2012,14,3.8,6.5520000000000005,21.448,27.142857142857142
02,Forestry and logging,TLD,North West,2013,19,2,15.08,22.92,10.526315789473683
02,Forestry and logging,TLD,North West,2014,22,2.2,17.688,26.312,10
02,Forestry and logging,TLD,North West,2015,26,4.1,17.964,34.036,15.769230769230768
02,Forestry and logging,TLD,North West,2016,27,3.8,19.552,34.448,14.074074074074073
02,Forestry and logging,TLD,North West,2017,39,7.1,25.084000000000003,52.916,18.205128205128204
02,Forestry and logging,TLD,North West,2018,32,5,22.2,41.8,15.625
02,Forestry and logging,TLD,North West,2019,31,5.6,20.024,41.976,18.064516129032256
02,Forestry and logging,TLD,North West,2020,49,4.4,40.376,57.624,8.979591836734695
02,Forestry and logging,TLD,North West,2021,44,3.6,36.944,51.056,8.181818181818182
02,Forestry and logging,TLD,North West,2022,68,5.568539312357513,57.08566294777928,78.91433705222073,8.189028400525753
02,Forestry and logging,TLD,North West,2023,58,4.211877209567262,49.74472066924817,66.25527933075183,7.261857257874589
03,Fishing and aquaculture,TLD,North West,2012,25,1,23.04,26.96,4
03,Fishing and aquaculture,TLD,North West,2013,8,1.4,5.256,10.744,17.5
03,Fishing and aquaculture,TLD,North West,2014,13,2.8,7.5120000000000005,18.488,21.538461538461537
03,Fishing and aquaculture,TLD,North West,2015,8,1.1,5.843999999999999,10.156,13.750000000000002
03,Fishing and aquaculture,TLD,North West,2016,8,2,4.08,11.92,25
03,Fishing and aquaculture,TLD,North West,2017,16,3.8,8.552,23.448,23.75
03,Fishing and aquaculture,TLD,North West,2018,8,1.6,4.864,11.136,20
03,Fishing and aquaculture,TLD,North West,2019,13,5.9,1.436,24.564,45.38461538461539
03,Fishing and aquaculture,TLD,North West,2020,9,1.3,6.452,11.548,14.444444444444446
03,Fishing and aquaculture,TLD,North West,2021,10,2.2,5.688,14.312000000000001,22.000000000000004
03,Fishing and aquaculture,TLD,North West,2022,12,3.435034942616161,5.267331512472325,18.732668487527675,28.62529118846801
