ITL_code,Region_name,SIC07_code,SIC07_description,year,value,CoV100,SE,gva_min95,gva_max95
TLC,North East,1,Agriculture and hunting,2012,254,13.636363636363637,34.63636363636363,186.11272727272728,321.8872727272727
TLC,North East,1,Agriculture and hunting,2013,262,15,39.3,184.972,339.028
TLC,North East,1,Agriculture and hunting,2014,350,13,45.5,260.82,439.18
TLC,North East,1,Agriculture and hunting,2015,296,16.25,48.1,201.724,390.276
TLC,North East,1,Agriculture and hunting,2016,257,17.22222222222222,44.26111111111111,170.24822222222224,343.75177777777776
TLC,North East,1,Agriculture and hunting,2017,258,11.05263157894737,28.51578947368421,202.10905263157895,313.89094736842105
TLC,North East,1,Agriculture and hunting,2018,265,19.444444444444446,51.527777777777786,164.00555555555553,365.99444444444447
TLC,North East,1,Agriculture and hunting,2019,297,17.058823529411764,50.66470588235294,197.69717647058823,396.30282352941174
TLC,North East,1,Agriculture and hunting,2020,295,16.086956521739133,47.45652173913044,201.98521739130433,388.01478260869567
TLC,North East,1,Agriculture and hunting,2021,401,19.25925925925926,77.22962962962963,249.62992592592593,552.3700740740741
TLC,North East,1,Agriculture and hunting,2022,420,10.149578359283243,42.62822910898962,336.44867094638033,503.55132905361967
TLC,North East,1,Agriculture and hunting,2023,333,29.131281813510295,97.00716843898928,142.865949859581,523.134050140419
TLC,North East,2,Forestry and logging,2012,18,24,4.32,9.5328,26.4672
TLC,North East,2,Forestry and logging,2013,17,11.428571428571429,1.9428571428571428,13.192,20.808
TLC,North East,2,Forestry and logging,2014,18,10.666666666666668,1.9200000000000002,14.236799999999999,21.7632
TLC,North East,2,Forestry and logging,2015,24,13.999999999999996,3.359999999999999,17.4144,30.5856
TLC,North East,2,Forestry and logging,2016,18,11.428571428571429,2.057142857142857,13.968,22.032
TLC,North East,2,Forestry and logging,2017,24,18,4.32,15.5328,32.4672
TLC,North East,2,Forestry and logging,2018,21,15.23809523809524,3.2,14.728,27.272
TLC,North East,2,Forestry and logging,2019,33,26.818181818181817,8.85,15.654,50.346000000000004
TLC,North East,2,Forestry and logging,2020,30,9.000000000000002,2.7000000000000006,24.708,35.292
TLC,North East,2,Forestry and logging,2021,29,6.896551724137931,2,25.08,32.92
TLC,North East,2,Forestry and logging,2022,33,8.733183397085416,2.881950521038187,27.351376978765153,38.64862302123485
TLC,North East,2,Forestry and logging,2023,32,6.418611459438785,2.053955667020411,27.974246892639997,36.02575310736
TLC,North East,3,Fishing and aquaculture,2012,14,15.714285714285714,2.2,9.687999999999999,18.312
TLC,North East,3,Fishing and aquaculture,2013,13,17.5,2.275,8.541,17.459
TLC,North East,3,Fishing and aquaculture,2014,19,21.25,4.0375,11.086500000000001,26.9135
