ITL_code,Region_name,SIC07_code,SIC07_description,year,value,CoV100,SE,gva_min95,gva_max95
TLC,North East,1,Agriculture and hunting,2012,324,13.636363636363637,44.18181818181818,237.40363636363637,410.59636363636366
TLC,North East,1,Agriculture and hunting,2013,308,15,46.199999999999996,217.448,398.552
TLC,North East,1,Agriculture and hunting,2014,477,13,62.010000000000005,355.4604,598.5396000000001
TLC,North East,1,Agriculture and hunting,2015,400,16.25,65,272.6,527.4
TLC,North East,1,Agriculture and hunting,2016,319,17.22222222222222,54.93888888888889,211.31977777777777,426.68022222222226
TLC,North East,1,Agriculture and hunting,2017,322,11.05263157894737,35.58947368421053,252.24463157894735,391.75536842105265
TLC,North East,1,Agriculture and hunting,2018,298,19.444444444444446,57.94444444444446,184.42888888888888,411.5711111111111
TLC,North East,1,Agriculture and hunting,2019,365,17.058823529411764,62.26470588235294,242.96117647058824,487.03882352941173
TLC,North East,1,Agriculture and hunting,2020,322,16.086956521739133,51.800000000000004,220.47199999999998,423.528
TLC,North East,1,Agriculture and hunting,2021,390,19.25925925925926,75.11111111111111,242.78222222222223,537.2177777777778
TLC,North East,1,Agriculture and hunting,2022,420,10.149578359283243,42.62822910898962,336.44867094638033,503.55132905361967
TLC,North East,1,Agriculture and hunting,2023,353,29.131281813510295,102.83342480169135,151.44648738868494,554.553512611315
TLC,North East,2,Forestry and logging,2012,59,24,14.16,31.2464,86.7536
TLC,North East,2,Forestry and logging,2013,60,11.428571428571429,6.857142857142857,46.56,73.44
TLC,North East,2,Forestry and logging,2014,50,10.666666666666668,5.333333333333334,39.54666666666667,60.45333333333333
TLC,North East,2,Forestry and logging,2015,58,13.999999999999996,8.119999999999997,42.0848,73.9152
TLC,North East,2,Forestry and logging,2016,57,11.428571428571429,6.514285714285714,44.232,69.768
TLC,North East,2,Forestry and logging,2017,51,18,9.18,33.0072,68.9928
TLC,North East,2,Forestry and logging,2018,35,15.23809523809524,5.333333333333334,24.546666666666667,45.45333333333333
TLC,North East,2,Forestry and logging,2019,48,26.818181818181817,12.872727272727273,22.769454545454547,73.23054545454545
TLC,North East,2,Forestry and logging,2020,49,9.000000000000002,4.410000000000001,40.3564,57.6436
TLC,North East,2,Forestry and logging,2021,32,6.896551724137931,2.206896551724138,27.67448275862069,36.32551724137931
TLC,North East,2,Forestry and logging,2022,33,8.733183397085416,2.881950521038187,27.351376978765153,38.64862302123485
TLC,North East,2,Forestry and logging,2023,37,6.418611459438785,2.3748862399923505,32.345222969614994,41.654777030385006
TLC,North East,3,Fishing and aquaculture,2012,11,15.714285714285714,1.7285714285714286,7.612,14.388
TLC,North East,3,Fishing and aquaculture,2013,12,17.5,2.0999999999999996,7.884,16.116
TLC,North East,3,Fishing and aquaculture,2014,21,21.25,4.4624999999999995,12.2535,29.746499999999997
TLC,North East,3,Fishing and aquaculture,2015,17,13,2.21,12.6684,21.3316
TLC,North East,3,Fishing and aquaculture,2016,15,19,2.85,9.414,20.586
TLC,North East,3,Fishing and aquaculture,2017,13,34.54545454545455,4.490909090909091,4.197818181818182,21.80218181818182
TLC,North East,3,Fishing and aquaculture,2018,12,20,2.4000000000000004,7.295999999999999,16.704
TLC,North East,3,Fishing and aquaculture,2019,14,52.5,7.3500000000000005,-0.4060000000000006,28.406
TLC,North East,3,Fishing and aquaculture,2020,12,15.454545454545451,1.854545454545454,8.36509090909091,15.63490909090909
TLC,North East,3,Fishing and aquaculture,2021,11,21.666666666666668,2.3833333333333333,6.328666666666667,15.671333333333333
TLC,North East,3,Fishing and aquaculture,2022,13,21.59781330703664,2.8077157299147633,7.496877169367064,18.503122830632936
TLC,North East,3,Fishing and aquaculture,2023,12,19.76831964096236,2.3721983569154834,7.350491220445653,16.649508779554345
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2012,279,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2013,284,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2014,289,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2015,235,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2016,187,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2017,129,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2018,166,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2019,154,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2020,118,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2021,114,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2022,129,NA,NA,NA,NA
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2023,89,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2012,71,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2013,94,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2014,76,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2015,122,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2016,22,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2017,12,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2018,14,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2019,32,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2020,12,29.500000000000007,3.540000000000001,5.0615999999999985,18.9384
TLC,North East,9,Mining support service activities,2021,7,75.625,5.29375,-3.37575,17.37575
TLC,North East,9,Mining support service activities,2022,13,NA,NA,NA,NA
TLC,North East,9,Mining support service activities,2023,14,NA,NA,NA,NA
TLC,North East,10,Manufacture of food products,2012,602,8.250950570342205,49.67072243346008,504.64538403041826,699.3546159695818
TLC,North East,10,Manufacture of food products,2013,584,10,58.400000000000006,469.536,698.464
TLC,North East,10,Manufacture of food products,2014,542,6.967871485943776,37.765863453815264,467.9789076305221,616.0210923694779
TLC,North East,10,Manufacture of food products,2015,540,5.578231292517007,30.122448979591837,480.96,599.04
TLC,North East,10,Manufacture of food products,2016,579,2.7288428324697755,15.8,548.032,609.968
TLC,North East,10,Manufacture of food products,2017,575,7.13235294117647,41.0110294117647,494.6183823529412,655.3816176470589
TLC,North East,10,Manufacture of food products,2018,650,5.96774193548387,38.79032258064516,573.9709677419355,726.0290322580645
TLC,North East,10,Manufacture of food products,2019,615,5.270833333333334,32.415625,551.465375,678.534625
TLC,North East,10,Manufacture of food products,2020,582,11.005917159763314,64.05443786982248,456.45330177514796,707.5466982248521
TLC,North East,10,Manufacture of food products,2021,528,10.803108808290155,57.04041450777201,416.20078756476687,639.7992124352331
TLC,North East,10,Manufacture of food products,2022,477,6.452481069436461,30.778334701211918,416.67446398562464,537.3255360143753
TLC,North East,10,Manufacture of food products,2023,487,5.555921870044783,27.057339507118094,433.96761456604855,540.0323854339515
TLC,North East,11-12,Manufacture of beverages and tobacco products,2012,51,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2013,40,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2014,44,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2015,49,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2016,49,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2017,66,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2018,76,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2019,60,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2020,30,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2021,118,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2022,135,NA,NA,NA,NA
TLC,North East,11-12,Manufacture of beverages and tobacco products,2023,117,NA,NA,NA,NA
TLC,North East,13,Manufacture of textiles,2012,72,6.470588235294117,4.658823529411764,62.86870588235294,81.13129411764706
TLC,North East,13,Manufacture of textiles,2013,80,12.5,10,60.4,99.6
TLC,North East,13,Manufacture of textiles,2014,76,18.863636363636367,14.336363636363638,47.900727272727266,104.09927272727273
TLC,North East,13,Manufacture of textiles,2015,98,9.863013698630136,9.665753424657533,79.05512328767124,116.94487671232876
TLC,North East,13,Manufacture of textiles,2016,106,5.69620253164557,6.037974683544304,94.16556962025317,117.83443037974683
TLC,North East,13,Manufacture of textiles,2017,129,5.116279069767442,6.6,116.064,141.936
TLC,North East,13,Manufacture of textiles,2018,106,10.892857142857142,11.54642857142857,83.369,128.631
TLC,North East,13,Manufacture of textiles,2019,134,8.354430379746836,11.194936708860759,112.05792405063292,155.94207594936708
TLC,North East,13,Manufacture of textiles,2020,90,8.333333333333332,7.499999999999998,75.30000000000001,104.69999999999999
TLC,North East,13,Manufacture of textiles,2021,115,10.394736842105264,11.953947368421053,91.57026315789474,138.42973684210526
TLC,North East,13,Manufacture of textiles,2022,101,9.353787110891371,9.447324982000284,82.48324303527944,119.51675696472056
TLC,North East,13,Manufacture of textiles,2023,92,10.317038216223237,9.491675158925378,73.39631668850626,110.60368331149374
TLC,North East,14,Manufacture of wearing apparel,2012,25,20.833333333333336,5.208333333333334,14.791666666666666,35.208333333333336
TLC,North East,14,Manufacture of wearing apparel,2013,29,19.230769230769234,5.576923076923078,18.069230769230767,39.93076923076923
