DATE,Region_name,GEOGRAPHY_CODE,Value,Confidence
2012,Tees Valley and Durham,UKC1,492800,14700
2012,Northumberland and Tyne and Wear,UKC2,627400,18500
2012,Cumbria,UKD1,238900,16600
2012,Greater Manchester,UKD3,1195700,27300
2012,Lancashire,UKD4,659600,24100
2012,Cheshire,UKD6,434300,22100
2012,Merseyside,UKD7,650500,19500
2012,East Yorkshire and Northern Lincolnshire,UKE1,405000,14500
2012,North Yorkshire,UKE2,392600,19400
2012,South Yorkshire,UKE3,587600,21200
2012,West Yorkshire,UKE4,997000,31500
2012,Derbyshire and Nottinghamshire,UKF1,977000,32300
2012,"Leicestershire, Rutland and Northamptonshire",UKF2,825100,31000
2012,Lincolnshire,UKF3,323500,21500
2012,"Herefordshire, Worcestershire and Warwickshire",UKG1,629800,25600
2012,Shropshire and Staffordshire,UKG2,732200,25700
2012,West Midlands,UKG3,1122600,29700
2012,East Anglia,UKH1,1154100,38200
2012,Bedfordshire and Hertfordshire,UKH2,861200,32100
2012,Essex,UKH3,829600,29800
2012,Inner London - West,UKI3,563800,23100
2012,Inner London - East,UKI4,1048800,36500
2012,Outer London - East and North East,UKI5,799400,30000
2012,Outer London - South,UKI6,606900,26000
2012,Outer London - West and North West,UKI7,950400,34900
2012,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1155500,26300
2012,"Surrey, East and West Sussex",UKJ2,1342400,41900
2012,Hampshire and Isle of Wight,UKJ3,930200,27800
2012,Kent,UKJ4,796400,31800
2012,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1152900,31600
2012,Dorset and Somerset,UKK2,596900,20700
2012,Cornwall and Isles of Scilly,UKK3,237100,16400
2012,Devon,UKK4,531000,20400
2012,West Wales,UKL1,822400,15700
2012,East Wales,UKL2,515000,13800
2012,North Eastern Scotland,UKM5,259200,13500
2012,Highlands and Islands,UKM6,220400,8400
2012,Eastern Scotland,UKM7,911200,21400
2012,West Central Scotland,UKM8,660000,18800
2012,Southern Scotland,UKM9,431000,13000
2013,Tees Valley and Durham,UKC1,504700,14900
2013,Northumberland and Tyne and Wear,UKC2,621300,18400
2013,Cumbria,UKD1,237600,16500
2013,Greater Manchester,UKD3,1206900,27100
2013,Lancashire,UKD4,644600,24400
2013,Cheshire,UKD6,430700,21400
2013,Merseyside,UKD7,661800,19600
2013,East Yorkshire and Northern Lincolnshire,UKE1,413300,14900
2013,North Yorkshire,UKE2,388800,18700
2013,South Yorkshire,UKE3,605700,21800
2013,West Yorkshire,UKE4,1006800,32100
2013,Derbyshire and Nottinghamshire,UKF1,977400,32500
2013,"Leicestershire, Rutland and Northamptonshire",UKF2,823800,30900
2013,Lincolnshire,UKF3,332800,22000
2013,"Herefordshire, Worcestershire and Warwickshire",UKG1,643700,25500
2013,Shropshire and Staffordshire,UKG2,753700,26400
2013,West Midlands,UKG3,1137600,30900
2013,East Anglia,UKH1,1160800,37900
2013,Bedfordshire and Hertfordshire,UKH2,883500,31900
2013,Essex,UKH3,846300,30100
2013,Inner London - West,UKI3,568500,23300
2013,Inner London - East,UKI4,1097000,36900
2013,Outer London - East and North East,UKI5,818200,31100
2013,Outer London - South,UKI6,633900,27400
2013,Outer London - West and North West,UKI7,963400,34000
2013,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1169100,26300
2013,"Surrey, East and West Sussex",UKJ2,1368300,42900
2013,Hampshire and Isle of Wight,UKJ3,936700,28200
2013,Kent,UKJ4,819200,33000
2013,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1164700,31500
2013,Dorset and Somerset,UKK2,616900,21500
2013,Cornwall and Isles of Scilly,UKK3,245600,17300
2013,Devon,UKK4,529000,20400
2013,West Wales,UKL1,838600,15800
2013,East Wales,UKL2,532400,14000
2013,North Eastern Scotland,UKM5,259100,13700
2013,Highlands and Islands,UKM6,222800,8500
2013,Eastern Scotland,UKM7,906600,21500
2013,West Central Scotland,UKM8,678900,19200
2013,Southern Scotland,UKM9,427800,12900
2014,Tees Valley and Durham,UKC1,514000,14800
2014,Northumberland and Tyne and Wear,UKC2,644100,18800
2014,Cumbria,UKD1,233900,16200
2014,Greater Manchester,UKD3,1236100,27400
2014,Lancashire,UKD4,645000,24400
2014,Cheshire,UKD6,442600,21700
2014,Merseyside,UKD7,647500,19900
2014,East Yorkshire and Northern Lincolnshire,UKE1,420200,15300
2014,North Yorkshire,UKE2,379800,18700
2014,South Yorkshire,UKE3,620300,22500
2014,West Yorkshire,UKE4,1023700,32200
2014,Derbyshire and Nottinghamshire,UKF1,1002700,33900
2014,"Leicestershire, Rutland and Northamptonshire",UKF2,858400,31200
2014,Lincolnshire,UKF3,348100,22100
2014,"Herefordshire, Worcestershire and Warwickshire",UKG1,655400,25000
2014,Shropshire and Staffordshire,UKG2,743100,26800
2014,West Midlands,UKG3,1172500,31700
2014,East Anglia,UKH1,1179100,38600
2014,Bedfordshire and Hertfordshire,UKH2,902700,32400
2014,Essex,UKH3,840300,30600
2014,Inner London - West,UKI3,601100,23700
2014,Inner London - East,UKI4,1167900,38700
2014,Outer London - East and North East,UKI5,850900,32400
2014,Outer London - South,UKI6,634300,27800
2014,Outer London - West and North West,UKI7,988900,34800
2014,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1179200,26300
2014,"Surrey, East and West Sussex",UKJ2,1377500,42800
2014,Hampshire and Isle of Wight,UKJ3,963700,28600
2014,Kent,UKJ4,838700,33300
2014,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1203900,31500
2014,Dorset and Somerset,UKK2,612100,21700
2014,Cornwall and Isles of Scilly,UKK3,258000,17500
2014,Devon,UKK4,542900,20700
2014,West Wales,UKL1,848200,16100
2014,East Wales,UKL2,532300,14200
2014,North Eastern Scotland,UKM5,260900,13900
2014,Highlands and Islands,UKM6,230900,8700
