Sector_Type,Sector,Cluster,Site_Count,Enterprise_Count,Employment,Turnover,RD&I_Active,Percentage_Innovation_Active,Percentage_IUK_or_UKRI_Engagement,Percentage_with_Patent,IUK_Funding,UKRI_Funding,"Qualifying_Expenditure_for_R&D_Tax_Credit_claims,_2019-20","Qualifying_Expenditure_for_R&D_Tax_Credit_claims,_2020-21","Qualifying_Expenditure_for_R&D_Tax_Credit_claims,_2021-22",Percentage_of_sector_business_locations_in_clusters,Percentage_of_business_locations_in_sector,LA1,LA2,LA3,Frontier_Sector_Flag,Industrial_Strategy_Parent_Sector,Collaboration_in_IUK_Data
Dsit_Emerging,Advanced Connectivity,3,151,40,5170,1789665750,TRUE,0.9735099337748344,0.7814569536423841,59%,344084.3593693668,1171564.7262845011,375250000,362340000,399710000,0.0467347570411637,0.0269402319357716,Leeds,Wakefield,Bradford,TRUE,Digital and Technologies,FALSE
Dsit_Emerging,Advanced Connectivity,13,68,20,1570,552751120,TRUE,0.9558823529411765,0.8382352941176471,68%,9577818.270220945,2506786.350967023,442370000,491590000,553550000,0.0210461157536366,0.0121320249776984,Sheffield,Rotherham,North East Derbyshire,TRUE,Digital and Technologies,FALSE
Dsit_Emerging,Advanced Materials,7,51,40,3100,935314670,TRUE,0.6470588235294117,0.6078431372549019,27%,5134589.313914912,1537963.4780619375,824280000,644850000,610940000,0.0690121786197564,0.0411290322580645,Sheffield,Rotherham,Barnsley,TRUE,Advanced Manufacturing,TRUE
Dsit_Emerging,Artificial Intelligence,12,121,44,320,89994580,TRUE,0.950413223140496,0.8760330578512396,55%,2504300.440818466,470325.34859689226,469550000,534690000,617830000,0.0168008886420438,0.0106093818500657,Rotherham,Sheffield,North East Derbyshire,TRUE,Digital and Technologies,FALSE
Dsit_Emerging,Digital Economy,23,1595,1533,12570,2211501160,TRUE,0.21818181818181817,0.09216300940438872,3%,9753801.725803109,4866732.7163967285,364800000,354770000,387440000,0.0103760758266707,0.0075939362775905,Sheffield,Rotherham,North East Derbyshire,FALSE,x,FALSE
Dsit_Emerging,Engineering Biology Application,6,58,46,NA,NA,TRUE,0.896551724137931,0.7758620689655172,19%,16418147.723664626,7904341.557904223,602650000,684770000,803210000,0.0952380952380952,0.0793433652530779,Cheshire East,No dominant Local Authority,No dominant Local Authority,TRUE,Digital and Technologies,FALSE
Dsit_Emerging,Engineering Biology Supply Chain,12,26,21,210,24613420,TRUE,0.7692307692307694,0.5769230769230769,12%,602437.3229500679,152887.33984366944,NA,NA,NA,0.0510805500982318,0.03125,Kirklees,Barnsley,Leeds,TRUE,Digital and Technologies,FALSE
Dsit_Emerging,Materials Innovation,17,163,87,4650,2265107090,TRUE,0.8834355828220859,0.8220858895705522,53%,8402182.988038829,5007822.886128693,1279020000,1084550000,1049980000,0.0320866141732283,0.0175419715884631,Rotherham,Sheffield,Bolsover,FALSE,x,TRUE
Dsit_Emerging,Robotics and Autonomous Systems,20,39,32,630,110483570,TRUE,0.6153846153846154,0.5641025641025641,10%,5446396.605007,643410.3124770175,NA,NA,NA,0.0236938031591737,0.0155813024370755,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
Dsit_Emerging,Semiconductors,12,13,11,780,NA,TRUE,1,1,38%,14783174.959325848,2540798.0701719336,NA,878890000,770840000,0.0168831168831168,0.011504424778761,Sheffield,Rotherham,No dominant Local Authority,TRUE,Digital and Technologies,FALSE
Dsit_Emerging,Space Economy,30,71,24,NA,NA,TRUE,0.9295774647887325,0.8591549295774648,73%,106652718.51177332,3311760.294458535,793190000,736270000,621590000,0.017803410230692,0.0104797047970479,Rotherham,Sheffield,North East Derbyshire,FALSE,x,TRUE
Industrial_Strategy,Advanced Manufacturing,2,302,283,5520,1132025990,TRUE,0.2980132450331126,0.1390728476821192,9%,19650030.15629117,2425931.0844273246,696620000,636670000,483290000,0.0255672197764984,0.0132572431957857,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
Industrial_Strategy,Advanced Manufacturing,17,767,719,18660,4276871880,TRUE,0.3102998696219036,0.09256844850065188,6%,6776211.791756587,3336178.7163154613,270470000,279860000,306350000,0.0649339654588554,0.0336698858647936,Leeds,Kirklees,Bradford,FALSE,x,FALSE
Industrial_Strategy,Creative,10,1427,1402,6680,702628320,TRUE,0.11282410651716888,0.04064470918009811,<=2%,1728763.8931680685,645192.3615938737,38640000,34650000,36250000,0.011743502806261,0.007358211341030099,Sheffield,Rotherham,Barnsley,FALSE,x,FALSE
Industrial_Strategy,Digital and Technologies,14,2698,2596,21450,3667419330,TRUE,0.21423276501111932,0.10192735359525576,3%,38582299.35967135,8439846.656114373,1600370000,1485840000,1514840000,0.0130170263476578,0.00870075591445,Rotherham,Sheffield,Doncaster,FALSE,x,TRUE
Industrial_Strategy,Financial Services,13,1735,1625,18200,8050145260,TRUE,0.10201729106628243,0.029971181556195964,<=2%,15334.65595026342,154678.52378755555,410160000,409380000,363850000,0.0439663473721554,0.0288138971003421,Leeds,Kirklees,Bradford,FALSE,x,FALSE
Industrial_Strategy,Financial Services,20,869,819,6850,NA,FALSE,0.07364787111622553,0.025316455696202535,<=2%,4764.708491864449,192867.84833434425,126460000,87490000,71770000,0.022021184937408105,0.0144318597004019,Rotherham,Sheffield,Barnsley,FALSE,x,FALSE
Industrial_Strategy,Life Sciences,9,181,123,5680,1118887880,TRUE,0.756906077348066,0.6685082872928176,12%,10871590.038904348,1622245.864787134,132690000,128000000,127370000,0.0255505364201016,0.0164830161187505,Sheffield,Rotherham,North East Derbyshire,FALSE,x,FALSE
Industrial_Strategy,Professional and Business Services,13,3260,3083,32040,3811787390,TRUE,0.12024539877300612,0.06687116564417178,<=2%,23791800.40450149,3096782.0172434896,527540000,364390000,489240000,0.0215234083571565,0.0125320509124178,Doncaster,Rotherham,Sheffield,FALSE,x,TRUE
Innovate UK,Innovate UK,19,1067,554,52670,NA,TRUE,0.9906279287722587,0.9793814432989689,25%,163670669.6326743,16294292.608081196,NA,NA,NA,0.0162118633766865,0.0107851857841749,Sheffield,Rotherham,Doncaster,FALSE,x,UNAVAILABLE
RTIC,Advanced Screens,16,42,39,420,51022040,TRUE,0.5476190476190477,0.33333333333333326,<=10%,575037,259128.9869422372,NA,4800000,4560000,0.0472440944881889,0.0338709677419354,Leeds,Barnsley,Wakefield,FALSE,x,FALSE
RTIC,Agency Market,2,409,328,4240,449849050,TRUE,0.3740831295843521,0.3031784841075794,14%,153758.18057761734,0,19750000,24760000,34260000,0.0512338719779531,0.0338324096285879,Leeds,North Yorkshire,Kirklees,FALSE,x,FALSE
RTIC,Agency Market,22,124,107,690,47881810,TRUE,0.3225806451612903,0.2661290322580645,15%,0,119797.99924070896,6150000,5070000,4330000,0.0155330076412376,0.0102572586649019,Sheffield,Rotherham,North East Derbyshire,FALSE,x,FALSE
RTIC,B2B Services,20,11,11,NA,3581360,FALSE,0.18181818181818185,0.09090909090909091,<=20%,0,0,NA,NA,NA,0.0133171912832929,0.0085403726708074,Sheffield,North East Derbyshire,Chesterfield,FALSE,x,FALSE
RTIC,Battery Supply Chain,8,14,11,360,48063550,TRUE,0.8571428571428571,0.6428571428571429,21%,52242.775076391794,274416.54938656936,NA,NA,NA,0.0202604920405209,0.0127504553734061,Sheffield,Rotherham,No dominant Local Authority,TRUE,Advanced Manufacturing,FALSE
RTIC,Cleantech,4,48,39,700,196071920,TRUE,0.7708333333333335,0.6041666666666665,27%,2745876.0646568923,1556631.1041306392,72000000,50920000,47660000,0.018489984591679505,0.0112018669778296,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
RTIC,Cloud Computing,6,35,34,650,89589830,TRUE,0.657142857142857,0.22857142857142856,<=10%,0,0,10840000,11510000,8600000,0.016690510252742,0.0091695048467382,Rotherham,Sheffield,North East Derbyshire,FALSE,x,FALSE
RTIC,Cryptocurrency Economy,4,39,37,440,102351900,TRUE,0.717948717948718,0.1794871794871795,<=10%,75000,14634.3347116801,NA,NA,NA,0.0781563126252505,0.0675909878682842,No dominant Local Authority,No dominant Local Authority,No dominant Local Authority,FALSE,x,FALSE
