DataSource,Cluster_Name,Sector_Name,Estimated_Employees,Estimated_Turnover,Company_Location_Count,Distinct_Company_Count,Pct_share_of_cluster,Total_VC_Investment,Top_Known_Investors,IUK_Funding,Rest_of_UKRI_Funding,Established,Pct_Large_Scale_Start-up,Pct_Scale-up,Pct_Seed,Pct_SME,Pct_Start-up
RTIC,South Yorkshire,CleanTech,22460,19562646000,653,444,6.93,1192780000,"Reliance New Energy Solar, Investec, Merrill Lynch",74608700,27053500,0.29,0.07,0.12,0.02,0.3,0.19
RTIC,"Greater London, City of London, 2",CleanTech,13771,16780134000,504,481,5.35,332520000,"Infracapital, Sumitomo Heavy Industries, Nuclear Assurance Corporation",76608000,5449400,0.15,0.02,0.14,0.02,0.28,0.37
RTIC,South Scotland,CleanTech,2485,18696153000,245,185,2.6,417590000,"NavSight Holdings, BlackRock, Bloom Tree Partners, Hedosophia, JAWS Estates Capital, Tiger Global Management",13113000,16059400,0.21,0.06,0.09,0.02,0.36,0.25
RTIC,Greater Manchester,CleanTech,1841,509919000,217,176,2.3,14800000,"Maven Capital Partners, AM Ventures, At One Ventures",7984200,1066100,0.21,0.06,0.14,0.02,0.34,0.21
RTIC,Greater Birmingham,CleanTech,6453,10747637000,204,161,2.17,49750000,"Piraeus Bank, Government of the United Kingdom, Aston University, BP Ventures, Goldacre",22232700,5172300,0.27,0.04,0.14,0.04,0.31,0.17
RTIC,"East Scotland, Dyce",CleanTech,2343,954488000,194,151,2.06,4310000,"Par Equity, Orchard Venture Capital, Scottish Enterprise",5661900,1372400,0.3,0.03,0.11,0.05,0.35,0.13
RTIC,Warwickshire,CleanTech,6002,2688617000,177,160,1.88,170000,Advanced Propulsion Centre UK,34286800,11593700,0.56,0.02,0.08,0.02,0.24,0.07
RTIC,Greater Bristol,CleanTech,3465,680552000,172,137,1.83,0,NA,592500,471800,0.22,0.09,0.1,0.03,0.29,0.27
RTIC,Greater Edinburgh,CleanTech,3831,3241446000,144,122,1.53,25670000,"Scottish National Investment Bank, Government of the United Kingdom, European Innovation Council",11329500,8157500,0.18,0.07,0.07,0.03,0.3,0.35
RTIC,Cambridgeshire,CleanTech,2791,1942775000,142,117,1.51,56460000,"Bill & Melinda Gates Foundation, IP Group, University of Cambridge",33394300,45657100,0.26,0.03,0.15,0.07,0.24,0.23
RTIC,North East,CleanTech,3547,908254000,139,112,1.48,13020000,"Maven Capital Partners, Northstar Ventures, CPT Capital, Northern Accelerator Seed Fund",58408200,1599600,0.27,0.06,0.1,0.05,0.31,0.18
RTIC,Tees Valley,CleanTech,3559,3556626000,130,67,1.38,23130000,"Mercia Asset Management, Northern Powerhouse Investment Fund (NPIF), Par Equity",15983400,19401400,0.36,0.04,0.16,0,0.27,0.15
RTIC,Northern Ireland,CleanTech,2776,534873000,128,104,1.36,6860000,"Barclays, Clean Growth Fund, Charlie Songhurst, Cory Levy, Elefund, Foundation Capital, Global Founders Capital, Grand Oaks Capital, Joshua Browder, V1.vc",14601700,175700,0.25,0.06,0.13,0.02,0.33,0.19
RTIC,Oxfordshire,CleanTech,1356,391715000,124,112,1.32,375900000,"Ingevity Corp., Oxford Science Enterprises, Syncona",54055100,6494300,0.1,0.08,0.08,0.08,0.34,0.29
RTIC,Kent,CleanTech,3549,2259800000,122,104,1.3,0,NA,26897600,3246600,0.4,0.02,0.12,0.01,0.34,0.1
RTIC,"Greater London, Clerkenwell",CleanTech,2838,1977105000,116,114,1.23,8400000,"Future Energy Ventures, Joule Ventures, Danmar Capital, Innogy Innovation Hub",11399700,18491700,0.18,0.05,0.2,0.04,0.36,0.17
RTIC,"Berkshire, Bray",CleanTech,3030,506656000,104,79,1.1,0,NA,1582200,8321200,0.32,0.09,0.13,0.01,0.32,0.14
RTIC,"Greater London, City of London, 1",CleanTech,545,18045994000,104,98,1.1,82640000,"Government of the United Kingdom, Angel Investment Network, Kelvin Capital",46661300,1284800,0.09,0.08,0.13,0.02,0.31,0.36
RTIC,"Hampshire, Netley",CleanTech,1639,599824000,103,90,1.09,22320000,"EQT Ventures, ACF Investors ( formerly Angel CoFund ), Enterprise 100",28682500,2888400,0.36,0.07,0.06,0.02,0.34,0.16
RTIC,Surrey,CleanTech,532,254236000,98,92,1.04,0,NA,1160100,0,0.72,0,0.02,0,0.2,0.07
RTIC,"Greater London, Barbican, 1",CleanTech,112,14862000,92,91,0.98,2380000,"UK Research and Innovation (UKRI), Innovate UK, Amadeus, Cambridge Agritech, Deeptech Labs, Low Carbon Innovation Fund, Turquoise",14128400,302500,0.01,0.01,0.08,0.02,0.36,0.48
RTIC,Northamptonshire,CleanTech,520,97294000,88,71,0.93,4270000,"EIT Climate-KIC, Innovate UK, Google for Startups Accelerator, National Aerospace Technology Exploitation Programme",7869800,268100,0.2,0.06,0.07,0.03,0.38,0.23
RTIC,Merseyside,CleanTech,648,368146000,86,64,0.91,660000,"Innovate UK, Equity Gap, Scottish Enterprise",21803400,1826500,0.2,0.02,0.12,0.05,0.36,0.25
RTIC,"Berkshire, Reading",CleanTech,1490,1050028000,76,67,0.81,6680000,"Bonheur ASA, Clean Growth Fund, MMC Ventures, RO Capital Partners, Vectr7 Investment Partners",11910400,18882100,0.39,0.03,0.06,0,0.42,0.09
