ITL_code,Region_name,year,hoursworked
TLC11,Hartlepool and Stockton-on-Tees,2004,3568693
TLC11,Hartlepool and Stockton-on-Tees,2005,3549987
TLC11,Hartlepool and Stockton-on-Tees,2006,3582223
TLC11,Hartlepool and Stockton-on-Tees,2007,3474521
TLC11,Hartlepool and Stockton-on-Tees,2008,3663759
TLC11,Hartlepool and Stockton-on-Tees,2009,3519571
TLC11,Hartlepool and Stockton-on-Tees,2010,3502080
TLC11,Hartlepool and Stockton-on-Tees,2011,3535974
TLC11,Hartlepool and Stockton-on-Tees,2012,3275222
TLC11,Hartlepool and Stockton-on-Tees,2013,3463096
TLC11,Hartlepool and Stockton-on-Tees,2014,3529891
TLC11,Hartlepool and Stockton-on-Tees,2015,3622597
TLC11,Hartlepool and Stockton-on-Tees,2016,3615339
TLC11,Hartlepool and Stockton-on-Tees,2017,3777376
TLC11,Hartlepool and Stockton-on-Tees,2018,3681637
TLC11,Hartlepool and Stockton-on-Tees,2019,3702823
TLC11,Hartlepool and Stockton-on-Tees,2020,3169154
TLC11,Hartlepool and Stockton-on-Tees,2021,3598033
TLC11,Hartlepool and Stockton-on-Tees,2022,3612188
TLC12,South Teesside,2004,3374493
TLC12,South Teesside,2005,3278271
TLC12,South Teesside,2006,3340380
TLC12,South Teesside,2007,3388159
TLC12,South Teesside,2008,3212606
TLC12,South Teesside,2009,3235821
TLC12,South Teesside,2010,3133470
TLC12,South Teesside,2011,3103801
TLC12,South Teesside,2012,3289399
TLC12,South Teesside,2013,3286288
TLC12,South Teesside,2014,3149308
TLC12,South Teesside,2015,3134147
TLC12,South Teesside,2016,3121012
TLC12,South Teesside,2017,3082333
TLC12,South Teesside,2018,3208465
TLC12,South Teesside,2019,3296796
TLC12,South Teesside,2020,2827734
TLC12,South Teesside,2021,3383990
TLC12,South Teesside,2022,3330047
TLC13,Darlington,2004,1560947
TLC13,Darlington,2005,1534492
TLC13,Darlington,2006,1635509
TLC13,Darlington,2007,1690321
TLC13,Darlington,2008,1725340
TLC13,Darlington,2009,1594375
TLC13,Darlington,2010,1778098
TLC13,Darlington,2011,1586514
TLC13,Darlington,2012,1694607
TLC13,Darlington,2013,1572926
TLC13,Darlington,2014,1699487
TLC13,Darlington,2015,1643203
TLC13,Darlington,2016,1555016
TLC13,Darlington,2017,1511957
TLC13,Darlington,2018,1552909
TLC13,Darlington,2019,1492073
TLC13,Darlington,2020,1679766
TLC13,Darlington,2021,1666424
TLC13,Darlington,2022,1689617
TLC14,Durham CC,2004,5618824
TLC14,Durham CC,2005,5365010
TLC14,Durham CC,2006,5605047
TLC14,Durham CC,2007,5596543
TLC14,Durham CC,2008,5386806
TLC14,Durham CC,2009,5589976
TLC14,Durham CC,2010,5460036
TLC14,Durham CC,2011,5266911
TLC14,Durham CC,2012,5304936
TLC14,Durham CC,2013,5660107
TLC14,Durham CC,2014,5702581
TLC14,Durham CC,2015,5671464
TLC14,Durham CC,2016,5523075
TLC14,Durham CC,2017,5666992
TLC14,Durham CC,2018,5755046
TLC14,Durham CC,2019,5901952
TLC14,Durham CC,2020,5282631
TLC14,Durham CC,2021,5934106
TLC14,Durham CC,2022,5799513
TLC21,Northumberland,2004,3702343
TLC21,Northumberland,2005,3563851
TLC21,Northumberland,2006,3660640
TLC21,Northumberland,2007,3726920
TLC21,Northumberland,2008,3870296
TLC21,Northumberland,2009,3916949
TLC21,Northumberland,2010,3831456
TLC21,Northumberland,2011,3567956
TLC21,Northumberland,2012,3385307
TLC21,Northumberland,2013,3558091
TLC21,Northumberland,2014,3466918
TLC21,Northumberland,2015,3470297
TLC21,Northumberland,2016,3581544
TLC21,Northumberland,2017,3524684
TLC21,Northumberland,2018,3551360
TLC21,Northumberland,2019,3702075
TLC21,Northumberland,2020,3205505
TLC21,Northumberland,2021,3424017
TLC21,Northumberland,2022,3380298
TLC22,Tyneside,2004,12011819
TLC22,Tyneside,2005,12551010
TLC22,Tyneside,2006,12749660
TLC22,Tyneside,2007,12536757
TLC22,Tyneside,2008,12491988
TLC22,Tyneside,2009,12231162
TLC22,Tyneside,2010,12151781
TLC22,Tyneside,2011,12088972
TLC22,Tyneside,2012,12149068
TLC22,Tyneside,2013,12069982
TLC22,Tyneside,2014,12593454
TLC22,Tyneside,2015,12703746
TLC22,Tyneside,2016,12517624
TLC22,Tyneside,2017,12800682
TLC22,Tyneside,2018,13160952
TLC22,Tyneside,2019,12619135
TLC22,Tyneside,2020,10869933
TLC22,Tyneside,2021,12138592
TLC22,Tyneside,2022,12575141
TLC23,Sunderland,2004,3555122
TLC23,Sunderland,2005,3818466
TLC23,Sunderland,2006,3967576
TLC23,Sunderland,2007,3954520
TLC23,Sunderland,2008,3974360
TLC23,Sunderland,2009,3788872
TLC23,Sunderland,2010,3496840
TLC23,Sunderland,2011,3652273
TLC23,Sunderland,2012,3737890
TLC23,Sunderland,2013,3718238
TLC23,Sunderland,2014,3676796
TLC23,Sunderland,2015,3764530
TLC23,Sunderland,2016,3797477
TLC23,Sunderland,2017,3762995
TLC23,Sunderland,2018,3779116
TLC23,Sunderland,2019,3610474
TLC23,Sunderland,2020,3444442
TLC23,Sunderland,2021,3774085
TLC23,Sunderland,2022,3478498
TLD11,West Cumbria,2004,2878757
TLD11,West Cumbria,2005,2781883
TLD11,West Cumbria,2006,2904101
TLD11,West Cumbria,2007,3033303
TLD11,West Cumbria,2008,3067037
TLD11,West Cumbria,2009,3158233
TLD11,West Cumbria,2010,3374220
TLD11,West Cumbria,2011,3169187
TLD11,West Cumbria,2012,3140552
TLD11,West Cumbria,2013,3075775
TLD11,West Cumbria,2014,3200718
TLD11,West Cumbria,2015,3346633
TLD11,West Cumbria,2016,3211595
TLD11,West Cumbria,2017,3230282
TLD11,West Cumbria,2018,3275925
TLD11,West Cumbria,2019,3368673
TLD11,West Cumbria,2020,2850012
TLD11,West Cumbria,2021,2846155
TLD11,West Cumbria,2022,3222754
TLD12,East Cumbria,2004,4362113
TLD12,East Cumbria,2005,3915847
TLD12,East Cumbria,2006,4061597
TLD12,East Cumbria,2007,4715982
TLD12,East Cumbria,2008,4542823
TLD12,East Cumbria,2009,4310739
TLD12,East Cumbria,2010,4625351
TLD12,East Cumbria,2011,4002663
TLD12,East Cumbria,2012,4398692
TLD12,East Cumbria,2013,4457598
TLD12,East Cumbria,2014,4720934
TLD12,East Cumbria,2015,4465948
TLD12,East Cumbria,2016,4452504
TLD12,East Cumbria,2017,4533947
TLD12,East Cumbria,2018,4444296
TLD12,East Cumbria,2019,4535359
TLD12,East Cumbria,2020,4279798
TLD12,East Cumbria,2021,4658511
TLD12,East Cumbria,2022,4277461
TLD33,Manchester,2004,10359468
TLD33,Manchester,2005,10198183
TLD33,Manchester,2006,10553970
TLD33,Manchester,2007,10455684
TLD33,Manchester,2008,10544004
TLD33,Manchester,2009,9849738
TLD33,Manchester,2010,10481439
TLD33,Manchester,2011,10262013
TLD33,Manchester,2012,10504366
TLD33,Manchester,2013,11206543
TLD33,Manchester,2014,11590483
TLD33,Manchester,2015,11552307
TLD33,Manchester,2016,12751161
TLD33,Manchester,2017,13122081
TLD33,Manchester,2018,13236379
