ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC,North East,1,Agriculture and hunting,1998,161
TLC,North East,1,Agriculture and hunting,1999,159
TLC,North East,1,Agriculture and hunting,2000,160
TLC,North East,1,Agriculture and hunting,2001,135
TLC,North East,1,Agriculture and hunting,2002,281
TLC,North East,1,Agriculture and hunting,2003,264
TLC,North East,1,Agriculture and hunting,2004,233
TLC,North East,1,Agriculture and hunting,2005,230
TLC,North East,1,Agriculture and hunting,2006,249
TLC,North East,1,Agriculture and hunting,2007,183
TLC,North East,1,Agriculture and hunting,2008,297
TLC,North East,1,Agriculture and hunting,2009,284
TLC,North East,1,Agriculture and hunting,2010,300
TLC,North East,1,Agriculture and hunting,2011,430
TLC,North East,1,Agriculture and hunting,2012,324
TLC,North East,1,Agriculture and hunting,2013,308
TLC,North East,1,Agriculture and hunting,2014,477
TLC,North East,1,Agriculture and hunting,2015,400
TLC,North East,1,Agriculture and hunting,2016,319
TLC,North East,1,Agriculture and hunting,2017,322
TLC,North East,1,Agriculture and hunting,2018,298
TLC,North East,1,Agriculture and hunting,2019,365
TLC,North East,1,Agriculture and hunting,2020,322
TLC,North East,1,Agriculture and hunting,2021,390
TLC,North East,1,Agriculture and hunting,2022,420
TLC,North East,1,Agriculture and hunting,2023,353
TLC,North East,2,Forestry and logging,1998,78
TLC,North East,2,Forestry and logging,1999,91
TLC,North East,2,Forestry and logging,2000,64
TLC,North East,2,Forestry and logging,2001,56
TLC,North East,2,Forestry and logging,2002,62
TLC,North East,2,Forestry and logging,2003,81
TLC,North East,2,Forestry and logging,2004,83
TLC,North East,2,Forestry and logging,2005,70
TLC,North East,2,Forestry and logging,2006,62
TLC,North East,2,Forestry and logging,2007,51
TLC,North East,2,Forestry and logging,2008,61
TLC,North East,2,Forestry and logging,2009,94
TLC,North East,2,Forestry and logging,2010,64
TLC,North East,2,Forestry and logging,2011,47
TLC,North East,2,Forestry and logging,2012,59
TLC,North East,2,Forestry and logging,2013,60
TLC,North East,2,Forestry and logging,2014,50
TLC,North East,2,Forestry and logging,2015,58
TLC,North East,2,Forestry and logging,2016,57
TLC,North East,2,Forestry and logging,2017,51
TLC,North East,2,Forestry and logging,2018,35
TLC,North East,2,Forestry and logging,2019,48
TLC,North East,2,Forestry and logging,2020,49
TLC,North East,2,Forestry and logging,2021,32
TLC,North East,2,Forestry and logging,2022,33
TLC,North East,2,Forestry and logging,2023,37
TLC,North East,3,Fishing and aquaculture,1998,12
TLC,North East,3,Fishing and aquaculture,1999,11
TLC,North East,3,Fishing and aquaculture,2000,10
TLC,North East,3,Fishing and aquaculture,2001,15
TLC,North East,3,Fishing and aquaculture,2002,14
TLC,North East,3,Fishing and aquaculture,2003,12
TLC,North East,3,Fishing and aquaculture,2004,12
TLC,North East,3,Fishing and aquaculture,2005,14
TLC,North East,3,Fishing and aquaculture,2006,14
TLC,North East,3,Fishing and aquaculture,2007,14
TLC,North East,3,Fishing and aquaculture,2008,15
TLC,North East,3,Fishing and aquaculture,2009,15
TLC,North East,3,Fishing and aquaculture,2010,13
TLC,North East,3,Fishing and aquaculture,2011,11
TLC,North East,3,Fishing and aquaculture,2012,11
TLC,North East,3,Fishing and aquaculture,2013,12
TLC,North East,3,Fishing and aquaculture,2014,21
TLC,North East,3,Fishing and aquaculture,2015,17
TLC,North East,3,Fishing and aquaculture,2016,15
TLC,North East,3,Fishing and aquaculture,2017,13
TLC,North East,3,Fishing and aquaculture,2018,12
TLC,North East,3,Fishing and aquaculture,2019,14
TLC,North East,3,Fishing and aquaculture,2020,12
TLC,North East,3,Fishing and aquaculture,2021,11
TLC,North East,3,Fishing and aquaculture,2022,13
TLC,North East,3,Fishing and aquaculture,2023,12
TLC,North East,5-8,"Mining and quarrying, excluding support activities",1998,215
TLC,North East,5-8,"Mining and quarrying, excluding support activities",1999,238
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2000,192
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2001,198
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2002,225
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2003,243
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2004,208
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2005,182
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2006,188
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2007,145
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2008,84
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2009,109
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2010,120
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2011,206
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2012,279
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2013,284
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2014,289
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2015,235
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2016,187
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2017,129
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2018,166
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2019,154
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2020,118
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2021,114
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2022,129
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2023,89
TLC,North East,9,Mining support service activities,1998,14
TLC,North East,9,Mining support service activities,1999,11
TLC,North East,9,Mining support service activities,2000,29
TLC,North East,9,Mining support service activities,2001,27
TLC,North East,9,Mining support service activities,2002,22
TLC,North East,9,Mining support service activities,2003,41
TLC,North East,9,Mining support service activities,2004,68
TLC,North East,9,Mining support service activities,2005,50
TLC,North East,9,Mining support service activities,2006,57
TLC,North East,9,Mining support service activities,2007,28
TLC,North East,9,Mining support service activities,2008,69
TLC,North East,9,Mining support service activities,2009,72
TLC,North East,9,Mining support service activities,2010,78
TLC,North East,9,Mining support service activities,2011,48
TLC,North East,9,Mining support service activities,2012,71
TLC,North East,9,Mining support service activities,2013,94
TLC,North East,9,Mining support service activities,2014,76
TLC,North East,9,Mining support service activities,2015,122
TLC,North East,9,Mining support service activities,2016,22
TLC,North East,9,Mining support service activities,2017,12
TLC,North East,9,Mining support service activities,2018,14
TLC,North East,9,Mining support service activities,2019,32
TLC,North East,9,Mining support service activities,2020,12
TLC,North East,9,Mining support service activities,2021,7
TLC,North East,9,Mining support service activities,2022,13
TLC,North East,9,Mining support service activities,2023,14
TLC,North East,10,Manufacture of food products,1998,652
TLC,North East,10,Manufacture of food products,1999,637
TLC,North East,10,Manufacture of food products,2000,673
TLC,North East,10,Manufacture of food products,2001,713
TLC,North East,10,Manufacture of food products,2002,733
TLC,North East,10,Manufacture of food products,2003,766
