ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC3,Tees Valley,1,Agriculture and hunting,1998,23
TLC3,Tees Valley,1,Agriculture and hunting,1999,24
TLC3,Tees Valley,1,Agriculture and hunting,2000,23
TLC3,Tees Valley,1,Agriculture and hunting,2001,16
TLC3,Tees Valley,1,Agriculture and hunting,2002,39
TLC3,Tees Valley,1,Agriculture and hunting,2003,36
TLC3,Tees Valley,1,Agriculture and hunting,2004,32
TLC3,Tees Valley,1,Agriculture and hunting,2005,36
TLC3,Tees Valley,1,Agriculture and hunting,2006,40
TLC3,Tees Valley,1,Agriculture and hunting,2007,30
TLC3,Tees Valley,1,Agriculture and hunting,2008,51
TLC3,Tees Valley,1,Agriculture and hunting,2009,49
TLC3,Tees Valley,1,Agriculture and hunting,2010,42
TLC3,Tees Valley,1,Agriculture and hunting,2011,59
TLC3,Tees Valley,1,Agriculture and hunting,2012,44
TLC3,Tees Valley,1,Agriculture and hunting,2013,48
TLC3,Tees Valley,1,Agriculture and hunting,2014,76
TLC3,Tees Valley,1,Agriculture and hunting,2015,62
TLC3,Tees Valley,1,Agriculture and hunting,2016,49
TLC3,Tees Valley,1,Agriculture and hunting,2017,49
TLC3,Tees Valley,1,Agriculture and hunting,2018,52
TLC3,Tees Valley,1,Agriculture and hunting,2019,63
TLC3,Tees Valley,1,Agriculture and hunting,2020,54
TLC3,Tees Valley,1,Agriculture and hunting,2021,66
TLC3,Tees Valley,1,Agriculture and hunting,2022,64
TLC3,Tees Valley,1,Agriculture and hunting,2023,53
TLC3,Tees Valley,2-3,Forestry and fishing,1998,8
TLC3,Tees Valley,2-3,Forestry and fishing,1999,7
TLC3,Tees Valley,2-3,Forestry and fishing,2000,5
TLC3,Tees Valley,2-3,Forestry and fishing,2001,7
TLC3,Tees Valley,2-3,Forestry and fishing,2002,6
TLC3,Tees Valley,2-3,Forestry and fishing,2003,5
TLC3,Tees Valley,2-3,Forestry and fishing,2004,6
TLC3,Tees Valley,2-3,Forestry and fishing,2005,6
TLC3,Tees Valley,2-3,Forestry and fishing,2006,5
TLC3,Tees Valley,2-3,Forestry and fishing,2007,5
TLC3,Tees Valley,2-3,Forestry and fishing,2008,5
TLC3,Tees Valley,2-3,Forestry and fishing,2009,7
TLC3,Tees Valley,2-3,Forestry and fishing,2010,6
TLC3,Tees Valley,2-3,Forestry and fishing,2011,5
TLC3,Tees Valley,2-3,Forestry and fishing,2012,6
TLC3,Tees Valley,2-3,Forestry and fishing,2013,6
TLC3,Tees Valley,2-3,Forestry and fishing,2014,9
TLC3,Tees Valley,2-3,Forestry and fishing,2015,8
TLC3,Tees Valley,2-3,Forestry and fishing,2016,6
TLC3,Tees Valley,2-3,Forestry and fishing,2017,7
TLC3,Tees Valley,2-3,Forestry and fishing,2018,6
TLC3,Tees Valley,2-3,Forestry and fishing,2019,8
