ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLC1,Tees Valley and Durham,A-E,Production sector,4030,4273,4262,4179,4570,5065,4979,4833,4946,4982,5018,4736,4690,4139,4455,4433,4468,4931,4659,4496,4819,4957,5498,5172,5192
TLC1,Tees Valley and Durham,F (41-43),Construction,1633,1846,1950,1837,1759,1936,1863,1839,1748,1827,1626,1556,1482,1578,1564,1538,1606,1631,1564,1513,1572,1622,1292,1584,1630
TLC1,Tees Valley and Durham,G-T,Services sector,10911,11270,11690,12167,12375,12655,13664,13882,14521,14534,14526,14478,14737,15086,15244,15344,15608,15909,15870,16128,16208,16338,14508,16101,17043
TLC2,"Northumberland, and Tyne and Wear",A-E,Production sector,4720,4732,4867,5312,5735,5830,5972,5897,6379,6356,6359,5919,5917,5644,5823,5865,5955,6044,5813,5904,5758,6057,5539,5294,5276
TLC2,"Northumberland, and Tyne and Wear",F (41-43),Construction,2401,2454,2246,2288,2436,2264,2373,2358,2377,2126,1959,1617,1795,1935,1797,1831,1892,1982,1863,1901,1816,1938,1397,1832,1986
TLC2,"Northumberland, and Tyne and Wear",G-T,Services sector,15964,15841,16359,17216,17980,18674,20171,20843,21245,21139,20848,20212,20742,21663,22136,21763,22314,23072,23517,24429,24478,25014,21279,24342,25907
TLD1,Cumbria,A-E,Production sector,2676,2799,2458,2437,2561,2650,2684,2906,3129,2924,3143,2805,2666,2460,2668,2688,3146,3257,3090,3170,3172,3290,3518,3472,3271
TLD1,Cumbria,F (41-43),Construction,806,872,873,782,822,874,894,837,876,910,913,780,814,876,847,875,822,889,838,812,801,754,598,806,868
TLD1,Cumbria,G-T,Services sector,6204,6285,6517,6434,6571,6913,7000,7037,7434,7498,7582,7443,7749,7665,7865,7939,7924,8012,8015,8087,8065,8372,6776,7334,7769
TLD3,Greater Manchester,A-E,Production sector,5976,6670,6796,7078,7122,7325,7293,7186,7650,7524,7402,7266,7258,6810,7091,7455,7735,8129,8068,8414,8937,9095,10108,9234,9108
TLD3,Greater Manchester,F (41-43),Construction,5264,5220,4973,5037,4936,4879,5325,5081,4892,5061,4877,4090,3887,3952,4110,4121,4047,4078,4140,4418,4518,4225,3963,4623,4941
TLD3,Greater Manchester,G-T,Services sector,35692,36619,37737,39115,40257,41171,42482,45010,46388,48451,47913,47617,49193,49126,50679,51855,52555,54344,55563,58766,60227,61943,56530,63190,67449
TLD4,Lancashire,A-E,Production sector,6119,6669,6804,7010,7162,7526,7905,8372,8408,8373,7620,5975,5752,5922,6058,6396,6786,7393,7424,7525,7429,7190,7977,8016,8192
TLD4,Lancashire,F (41-43),Construction,2437,2409,2562,2425,2478,2501,2591,2386,2252,2208,2143,1883,2134,2342,2150,2206,2187,2395,2402,2434,2316,2331,2200,2462,2502
TLD4,Lancashire,G-T,Services sector,17079,17406,17622,18028,18466,19728,20540,20490,20788,21328,21510,21153,21821,21823,22360,22112,22477,22775,23902,24220,23900,24668,20701,23971,25133
TLD6,Cheshire,A-E,Production sector,5508,5758,5824,7203,6902,6211,7308,7751,8055,7870,7281,6718,6698,6636,7291,7651,8172,8556,8510,7882,7861,7817,8019,7162,7635
TLD6,Cheshire,F (41-43),Construction,1926,2085,1970,1949,1856,1876,1788,1847,1962,1894,1801,1464,1491,1609,1534,1622,1662,1653,1701,1784,1923,1873,1903,2203,2243
TLD6,Cheshire,G-T,Services sector,13607,14000,14530,15524,16297,16828,17090,17526,18639,19444,19079,18699,19715,19860,20123,20115,21014,20990,21648,23003,23175,23996,21190,23009,24157
TLD7,Merseyside,A-E,Production sector,3836,4058,4098,4393,4459,5211,5032,5053,5771,5317,5428,5225,4942,4714,4236,4261,4720,5004,4618,4771,4750,4845,4866,4821,4507
TLD7,Merseyside,F (41-43),Construction,1995,2091,2083,2024,2101,2006,2038,2077,2158,2070,1890,1734,1751,1875,1737,1777,1842,1927,1956,2110,1986,1959,1819,1779,1922
TLD7,Merseyside,G-T,Services sector,18501,19224,20017,20596,21187,21824,22670,22953,23533,23633,24042,24017,24597,24328,24474,24685,25294,25621,25765,26317,26322,27445,23705,27398,29027
TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,4483,4630,5017,4971,5207,5573,5708,5539,6140,5894,6115,5958,5297,4693,4943,5086,5273,6120,6363,6290,6585,6918,6683,7945,7904
TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1439,1550,1431,1363,1515,1602,1539,1615,1616,1491,1385,1057,1235,1212,1208,1232,1330,1348,1221,1301,1294,1278,1179,1471,1627
TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,10255,10137,10516,11197,11521,11861,12232,12275,12620,13019,12901,12392,12277,12364,12273,12245,12502,12624,12707,13120,13093,13256,11207,13137,13980
TLE2,North Yorkshire,A-E,Production sector,2926,3038,3227,3359,3742,3885,3779,3855,4047,3913,3863,3526,3349,3488,3448,3483,3633,3557,3582,3561,3676,3801,4020,4059,3948
TLE2,North Yorkshire,F (41-43),Construction,1714,1794,1662,1694,1624,1557,1493,1513,1549,1413,1353,1107,1229,1147,1179,1182,1181,1237,1216,1214,1175,1214,941,1214,1234
TLE2,North Yorkshire,G-T,Services sector,12071,12273,12675,13253,14044,14592,15059,14987,14865,15508,15183,14668,14749,15279,15381,15544,15587,15503,15870,16825,16485,16594,14594,17085,17856
TLE3,South Yorkshire,A-E,Production sector,3624,3691,3836,4056,4238,4371,4031,3993,4109,4252,3887,3546,3687,3667,3818,3814,3899,4025,3833,3965,4083,4159,4464,4141,3886
TLE3,South Yorkshire,F (41-43),Construction,2292,2202,2371,2427,2479,2417,2419,2456,2548,2522,2356,1877,1955,2078,2034,2063,2133,2098,2085,2216,2111,2164,1852,2042,2210
TLE3,South Yorkshire,G-T,Services sector,14514,14550,14938,15773,16134,16853,17908,18040,18578,19401,18653,18342,18608,18950,19456,19600,19902,20494,20739,21202,20971,21261,19340,21654,22956
TLE4,West Yorkshire,A-E,Production sector,6405,6742,6789,7622,7687,7822,7634,7738,8398,8618,8583,8310,8012,7591,8007,8272,8412,9044,8882,8823,9280,9380,9047,9320,9045
TLE4,West Yorkshire,F (41-43),Construction,3940,4335,4197,3985,3918,3915,4067,4245,4414,3973,3430,2768,2896,3128,3040,3176,3173,3369,3326,3476,3520,3605,2878,3395,3691
TLE4,West Yorkshire,G-T,Services sector,28611,29975,30932,31258,31914,33787,35500,37001,37083,39365,38496,37350,37845,38988,39341,39430,40131,41347,41919,43304,44761,44823,39972,45274,47798
TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,8887,9822,9882,10169,10437,10814,11313,11459,11833,11401,10816,9752,10055,10524,10784,11434,11266,10778,10402,10158,10626,11440,12351,12151,10959
TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3665,3836,3560,3513,3709,3447,3448,3751,3907,3710,3575,2842,2964,3297,3290,3293,3260,3345,3354,3403,3285,3354,3274,3506,3648
TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,25595,25495,25973,26741,26859,27365,28586,29853,29993,30617,30978,30272,31583,32137,32404,32421,33002,33788,34530,35367,35884,35595,31800,35162,36257
TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,5585,5665,6141,6579,6822,7211,7298,6796,7401,7555,7753,7445,7547,7409,7983,8580,8775,9123,9095,8993,9517,9812,9341,9694,9524
TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3699,3829,4180,3890,3682,3457,3769,3856,3617,3486,2983,2565,2670,2762,2680,2856,3086,3446,3294,3422,3529,3661,2883,3517,3848
TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,22986,23481,24216,24368,24319,25491,26238,27126,29013,29700,30127,28617,29883,29668,29986,30391,31304,31660,32674,33177,33798,33528,29776,34154,35744
TLF3,Lincolnshire,A-E,Production sector,2593,2797,2915,3022,3268,3345,2984,3095,3077,3104,3280,3050,2832,3033,2990,3125,3314,3254,3447,3557,3646,3734,3641,3626,3466
TLF3,Lincolnshire,F (41-43),Construction,1091,1233,1200,1282,1264,1266,1297,1164,1211,1095,1068,902,1006,997,961,1060,1045,1150,1113,1160,1021,1060,968,1069,1116
TLF3,Lincolnshire,G-T,Services sector,7859,7766,8076,8499,8558,8857,8869,9030,9651,9796,9964,9592,9743,9810,10114,10356,10489,10320,10184,10696,10834,11182,9861,11245,11531
TLG1,"Herefordshire, Worcestershire and Warwickshire",A-E,Production sector,4366,4565,5137,5217,5176,5331,5305,5231,5956,5775,5929,5348,5446,6009,6166,6717,7568,8450,8342,9202,9674,9434,9154,8784,7515
TLG1,"Herefordshire, Worcestershire and Warwickshire",F (41-43),Construction,2435,2808,2669,2641,2464,2472,2765,2563,2540,2492,2350,1836,1959,2137,2196,2381,2377,2426,2299,2547,2441,2608,2101,2248,2348
TLG1,"Herefordshire, Worcestershire and Warwickshire",G-T,Services sector,18070,18898,19359,19207,19465,20162,20406,20959,21422,20931,21220,20798,21555,22292,23109,23582,24239,24518,24583,25922,26128,25909,23873,25376,27061
TLG2,Shropshire and Staffordshire,A-E,Production sector,5866,5915,6028,6303,6656,6579,6346,6204,6540,6350,6476,5566,5644,5965,6039,6267,6616,6523,6506,6663,7092,7017,7094,7726,7753
TLG2,Shropshire and Staffordshire,F (41-43),Construction,3038,2812,2921,2848,2867,2830,2802,2836,2933,2600,2340,1922,2121,2324,2182,2378,2413,2677,2688,2771,2628,2622,2246,2459,2569
TLG2,Shropshire and Staffordshire,G-T,Services sector,18143,18454,18767,19128,19534,20318,21674,22173,22358,22517,23135,22312,22826,23333,23484,23622,23923,24171,24779,25521,25922,26070,23163,27805,28984
TLG3,West Midlands,A-E,Production sector,11812,12516,12891,13822,13043,13253,12610,11903,11962,11766,11444,10319,10392,10773,10885,11589,12612,13134,13006,12733,12401,11619,10905,10283,9578
TLG3,West Midlands,F (41-43),Construction,4519,4691,4493,4663,5085,4722,4766,4826,4945,4961,4294,3450,3781,3598,3527,3618,3996,3866,3947,3914,3916,4028,3846,4081,4336
TLG3,West Midlands,G-T,Services sector,36106,36859,37816,39139,39588,40743,42072,43484,43493,44716,44620,42806,44577,45475,46105,46436,47304,48659,51595,53238,54254,54123,46411,52426,55105
TLH1,East Anglia,A-E,Production sector,7681,7947,8433,8934,9544,9688,9373,9533,10377,10358,10891,10180,9946,10580,10599,10747,11462,10990,10688,10840,10714,11270,11272,11320,11153
TLH1,East Anglia,F (41-43),Construction,4175,4474,4420,4448,4578,4495,4441,4229,4593,4249,3896,3570,3776,4075,3851,3937,4234,4423,4570,4610,4636,4780,4646,4681,5114
TLH1,East Anglia,G-T,Services sector,31264,32699,34509,35204,35387,36470,37501,39540,40525,41718,41662,40721,41839,41862,43471,44167,44821,45408,46756,48863,48725,50465,44802,49630,50907
TLH2,Bedfordshire and Hertfordshire,A-E,Production sector,5307,5659,5891,6104,6182,6506,6387,7066,7665,7897,8491,7294,6742,6320,6294,6766,7201,7285,7238,7387,7238,7396,7644,7546,7337
TLH2,Bedfordshire and Hertfordshire,F (41-43),Construction,4630,5006,5202,5024,5133,4761,4590,4709,4395,4269,4135,3377,3708,4185,4310,4676,5032,5477,5398,5602,5419,5258,4596,4712,4989
TLH2,Bedfordshire and Hertfordshire,G-T,Services sector,26342,27423,29369,30127,30275,31610,32444,33743,34018,34916,35431,34130,34520,34307,34603,36115,38328,39205,40475,43633,44075,45148,38780,43519,45709
TLH3,Essex,A-E,Production sector,4641,4601,4823,5194,5193,5445,5427,5529,6061,5934,6124,5428,5455,5271,5322,5294,5461,5308,5311,5295,5371,5226,5203,5133,5171
TLH3,Essex,F (41-43),Construction,4432,4428,4300,4556,4582,4644,4272,4243,4159,4173,3726,3512,3942,4238,3913,4187,4704,4966,4793,5321,5239,5150,4043,4817,5137
TLH3,Essex,G-T,Services sector,22386,22627,24069,24962,24948,26864,27105,27464,27728,28142,28245,27400,28272,27827,28440,28453,29360,30271,31524,33637,33938,34026,29232,33648,35656
TLI3,Inner London - West,A-E,Production sector,1987,2171,2310,2537,2608,2496,2606,2395,2586,2734,2468,2455,2182,1975,1783,1937,1970,2475,2558,2687,2937,3390,3936,3656,3546
TLI3,Inner London - West,F (41-43),Construction,3359,3669,4341,4332,3641,3516,3259,2948,3202,3543,4091,3389,3621,3954,4416,5193,5307,5307,5019,4955,4819,4887,3981,4279,4862
TLI3,Inner London - West,G-T,Services sector,101477,103966,113202,114642,117417,122838,126556,137676,141325,155746,157286,149555,154878,158562,164256,169308,177716,180309,192704,198266,204995,208973,189916,210641,219602
TLI4,Inner London - East,A-E,Production sector,2419,2557,2666,2709,2767,2656,2724,2635,2712,2813,2643,2715,2653,2656,2648,2786,2473,2620,2647,2675,2764,2854,3046,3319,3071
