ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLC3,Tees Valley,A-E,Production sector,1979,2054,2061,1918,2037,2272,2190,2083,2094,2080,2119,1989,1976,2126,2287,2262,2307,2567,2468,2252,2364,2361,2487,2417,2184,1995
TLC3,Tees Valley,F (41-43),Construction,1083,1224,1294,1219,1167,1291,1245,1230,1170,1225,1092,1046,993,1057,986,999,1055,1044,1022,1002,1018,1050,807,1010,987,1079
TLC3,Tees Valley,G-T,Services sector,6958,7247,7627,8084,8355,8650,9391,9508,10033,9950,9921,9863,10071,10369,10506,10568,11064,11651,11719,11750,11815,11852,10525,11627,12537,12413
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,6725,6822,6972,7472,8178,8551,8778,8622,9301,9340,9327,8711,8632,8067,8261,8351,8520,8865,8605,8627,8780,9283,9366,9241,8283,8887
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,3169,3311,3137,3137,3263,3152,3240,3215,3199,2964,2697,2306,2467,2652,2563,2560,2642,2775,2601,2607,2566,2717,2022,2722,3050,3486
TLC4,"Northumberland, Durham and Tyne & Wear",G-T,Services sector,23426,23428,24155,25253,26039,26778,28901,29701,30339,30241,29807,28969,29551,30449,30920,30484,30895,31476,31919,33156,33241,34016,29072,33140,35323,35700
TLD1,Cumbria,A-E,Production sector,2693,2819,2478,2451,2572,2663,2698,2918,3142,2936,3157,2821,2678,2474,2682,2701,3162,3276,3113,3183,3193,3318,3599,3521,3831,3986
TLD1,Cumbria,F (41-43),Construction,862,933,935,838,881,938,960,899,942,978,979,836,872,939,908,937,882,953,899,871,859,809,639,866,816,867
TLD1,Cumbria,G-T,Services sector,6989,7078,7341,7257,7415,7802,7903,7945,8391,8465,8558,8389,8740,8634,8870,8945,8929,9029,9038,9106,9091,9461,7634,8164,9089,9017
TLD3,Greater Manchester,A-E,Production sector,6269,6994,7127,7417,7462,7673,7642,7530,8015,7875,7732,7589,7596,7128,7410,7792,8058,8462,8381,8744,9284,9425,10486,9842,9470,9050
TLD3,Greater Manchester,F (41-43),Construction,5553,5507,5249,5320,5214,5160,5639,5382,5184,5362,5153,4317,4105,4173,4339,4353,4277,4311,4377,4670,4778,4470,4185,5170,5500,5884
TLD3,Greater Manchester,G-T,Services sector,39634,40660,41906,43487,44773,45786,47254,50063,51596,53896,53286,52951,54720,54614,56378,57669,58443,60441,61802,65374,66998,68934,62989,69244,76128,77285
TLD4,Lancashire,A-E,Production sector,6696,7298,7450,7665,7826,8224,8641,9152,9183,9156,8341,6540,6284,6472,6621,6996,7433,8101,8155,8250,8157,7897,8832,8881,8458,8489
TLD4,Lancashire,F (41-43),Construction,2608,2578,2744,2598,2655,2683,2783,2564,2420,2372,2297,2016,2286,2509,2303,2364,2344,2568,2575,2611,2484,2501,2358,2674,2638,2757
