ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",1998,28
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",1999,29
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2000,26
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2001,21
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2002,44
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2003,40
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2004,36
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2005,40
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2006,44
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2007,35
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2008,56
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2009,54
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2010,47
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2011,63
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2012,49
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2013,53
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2014,84
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2015,69
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2016,54
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2017,55
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2018,57
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2019,70
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2020,62
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2021,72
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2022,71
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",2023,60
TLC3,Tees Valley,B (5-9),Mining and quarrying,1998,16
TLC3,Tees Valley,B (5-9),Mining and quarrying,1999,13
TLC3,Tees Valley,B (5-9),Mining and quarrying,2000,13
TLC3,Tees Valley,B (5-9),Mining and quarrying,2001,14
TLC3,Tees Valley,B (5-9),Mining and quarrying,2002,16
TLC3,Tees Valley,B (5-9),Mining and quarrying,2003,18
TLC3,Tees Valley,B (5-9),Mining and quarrying,2004,18
TLC3,Tees Valley,B (5-9),Mining and quarrying,2005,14
TLC3,Tees Valley,B (5-9),Mining and quarrying,2006,15
TLC3,Tees Valley,B (5-9),Mining and quarrying,2007,13
TLC3,Tees Valley,B (5-9),Mining and quarrying,2008,11
TLC3,Tees Valley,B (5-9),Mining and quarrying,2009,14
TLC3,Tees Valley,B (5-9),Mining and quarrying,2010,19
TLC3,Tees Valley,B (5-9),Mining and quarrying,2011,106
TLC3,Tees Valley,B (5-9),Mining and quarrying,2012,158
TLC3,Tees Valley,B (5-9),Mining and quarrying,2013,181
TLC3,Tees Valley,B (5-9),Mining and quarrying,2014,160
TLC3,Tees Valley,B (5-9),Mining and quarrying,2015,169
TLC3,Tees Valley,B (5-9),Mining and quarrying,2016,91
TLC3,Tees Valley,B (5-9),Mining and quarrying,2017,71
TLC3,Tees Valley,B (5-9),Mining and quarrying,2018,82
TLC3,Tees Valley,B (5-9),Mining and quarrying,2019,97
TLC3,Tees Valley,B (5-9),Mining and quarrying,2020,60
TLC3,Tees Valley,B (5-9),Mining and quarrying,2021,62
TLC3,Tees Valley,B (5-9),Mining and quarrying,2022,87
TLC3,Tees Valley,B (5-9),Mining and quarrying,2023,59
TLC3,Tees Valley,C (10-33),Manufacturing,1998,1792
TLC3,Tees Valley,C (10-33),Manufacturing,1999,1843
TLC3,Tees Valley,C (10-33),Manufacturing,2000,1895
TLC3,Tees Valley,C (10-33),Manufacturing,2001,1712
TLC3,Tees Valley,C (10-33),Manufacturing,2002,1799
TLC3,Tees Valley,C (10-33),Manufacturing,2003,2004
TLC3,Tees Valley,C (10-33),Manufacturing,2004,1923
TLC3,Tees Valley,C (10-33),Manufacturing,2005,1844
TLC3,Tees Valley,C (10-33),Manufacturing,2006,1788
TLC3,Tees Valley,C (10-33),Manufacturing,2007,1787
TLC3,Tees Valley,C (10-33),Manufacturing,2008,1880
TLC3,Tees Valley,C (10-33),Manufacturing,2009,1697
TLC3,Tees Valley,C (10-33),Manufacturing,2010,1725
TLC3,Tees Valley,C (10-33),Manufacturing,2011,1541
TLC3,Tees Valley,C (10-33),Manufacturing,2012,1646
TLC3,Tees Valley,C (10-33),Manufacturing,2013,1567
