ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",28,29,26,21,44,40,36,40,44,35,56,54,47,63,49,53,84,69,54,55,57,70,62,72,71,60
TLC3,Tees Valley,B (5-9),Mining and quarrying,16,13,13,14,16,18,18,14,15,13,11,14,19,106,158,181,160,169,91,71,82,97,60,62,87,59
TLC3,Tees Valley,C (10-33),Manufacturing,1792,1843,1895,1712,1799,2004,1923,1844,1788,1787,1880,1697,1725,1541,1646,1567,1655,1865,1755,1648,1811,1790,1899,1908,1730,1581
TLC3,Tees Valley,D (35),"Electricity, gas, steam and air conditioning supply",379,507,393,443,394,492,478,425,556,604,573,556,502,293,320,341,280,328,416,341,310,326,364,259,143,145
TLC3,Tees Valley,E (36-39),Water supply; sewerage and waste management,257,211,207,230,289,298,303,303,276,239,211,213,198,185,165,169,179,186,197,173,137,114,136,147,154,149
TLC3,Tees Valley,F (41-43),Construction,1083,1224,1294,1219,1167,1291,1245,1230,1170,1225,1092,1046,993,1057,986,999,1055,1044,1022,1002,1018,1050,807,1010,987,1079
TLC3,Tees Valley,G (45-47),Wholesale and retail trade; repair of motor vehicles,1305,1391,1454,1528,1587,1542,1717,1784,1892,1790,1840,1695,1838,1722,1647,1735,1880,1875,1754,1734,1833,1648,1471,1546,1572,1532
TLC3,Tees Valley,H (49-53),Transportation and storage,713,724,703,758,713,721,758,713,777,787,783,747,814,869,829,831,818,772,757,696,663,701,659,645,692,649
TLC3,Tees Valley,I (55-56),Accommodation and food service activities,422,403,413,453,486,457,455,454,455,437,432,417,403,417,369,376,362,365,379,393,366,398,215,320,350,330
TLC3,Tees Valley,J (58-63),Information and communication,10,13,19,32,42,53,63,69,79,77,79,79,92,119,134,156,233,301,315,337,390,411,483,634,822,791
TLC3,Tees Valley,K (64-66),Financial and insurance activities,513,596,561,576,645,737,869,787,1035,1075,1005,1013,837,798,898,864,789,999,1077,1178,1106,1046,834,814,858,916
TLC3,Tees Valley,L (68),Real estate activities,1532,1575,1606,1611,1569,1556,1571,1591,1641,1607,1554,1707,1659,1709,1763,1766,1723,1795,1861,1836,1797,1911,1829,1917,1992,2009
TLC3,Tees Valley,M (69-75),"Professional, scientific and technical activities",634,552,588,504,507,624,786,731,818,803,813,816,860,922,930,927,955,1027,986,937,882,875,843,942,959,1024
TLC3,Tees Valley,N (77-82),Administrative and support service activities,408,398,410,425,405,437,490,491,468,493,501,485,547,517,519,559,607,644,608,578,557,602,603,501,637,603
TLC3,Tees Valley,O (84),Public administration and defence,702,702,654,664,626,611,606,651,713,692,781,847,820,790,793,751,760,736,779,755,822,836,796,790,843,857
TLC3,Tees Valley,P (85),Education,1051,1128,1166,1145,1140,1140,1184,1126,1025,991,918,941,938,986,1020,1002,948,961,969,961,1002,1040,933,1037,1214,1143
TLC3,Tees Valley,Q (86-88),Human health and social work activities,1696,1709,1750,1767,1757,1718,1776,1879,1951,2103,2117,1965,2016,2140,2153,2039,2183,2232,2229,2315,2264,2181,1629,2134,2159,2129
TLC3,Tees Valley,R (90-93),"Arts, entertainment and recreation",177,197,184,187,232,230,310,345,294,272,256,229,202,245,246,240,214,212,184,186,179,198,109,122,182,180
TLC3,Tees Valley,S (94-96),Other service activities,259,231,248,233,244,220,238,228,230,216,192,185,188,160,158,150,165,169,200,200,233,210,183,206,240,236
TLC3,Tees Valley,T (97-98),Activities of households,23,24,25,19,19,10,11,9,13,9,13,13,20,18,22,33,25,17,31,42,32,42,46,34,18,12
TLC4,"Northumberland, Durham and Tyne & Wear",A (1-3),"Agriculture, forestry and fishing",173,172,168,152,282,269,241,233,248,187,287,285,300,412,325,306,460,395,323,321,282,350,313,360,394,341
TLC4,"Northumberland, Durham and Tyne & Wear",B (5-9),Mining and quarrying,156,198,182,176,178,218,237,209,218,122,129,132,98,112,131,137,151,155,132,70,101,84,71,61,55,44
TLC4,"Northumberland, Durham and Tyne & Wear",C (10-33),Manufacturing,4521,4590,4816,4977,5458,5721,5917,6069,6617,6764,6716,5987,6240,6092,6302,6449,6542,6699,6459,6454,6710,6873,7401,7572,6732,7377
TLC4,"Northumberland, Durham and Tyne & Wear",D (35),"Electricity, gas, steam and air conditioning supply",1252,1267,1055,1669,1613,1813,1831,1403,1606,1590,1554,1688,1451,933,973,934,859,1052,1042,1085,924,1270,844,540,471,483
TLC4,"Northumberland, Durham and Tyne & Wear",E (36-39),Water supply; sewerage and waste management,933,912,894,926,973,916,927,840,742,737,714,667,651,644,644,644,655,669,725,742,792,756,761,721,630,642
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,3169,3311,3137,3137,3263,3152,3240,3215,3199,2964,2697,2306,2467,2652,2563,2560,2642,2775,2601,2607,2566,2717,2022,2722,3050,3486
TLC4,"Northumberland, Durham and Tyne & Wear",G (45-47),Wholesale and retail trade; repair of motor vehicles,4285,4373,4539,4289,4375,4310,4626,4905,5281,5217,5148,4249,4526,4504,4571,4421,4835,4784,4686,4584,4382,4493,3409,4231,4548,4570
TLC4,"Northumberland, Durham and Tyne & Wear",H (49-53),Transportation and storage,1088,1119,1140,1150,1129,1179,1216,1225,1266,1315,1376,1245,1326,1404,1414,1464,1463,1347,1398,1425,1532,1559,1034,1125,1544,1595
TLC4,"Northumberland, Durham and Tyne & Wear",I (55-56),Accommodation and food service activities,1404,1276,1276,1349,1330,1338,1491,1560,1479,1376,1434,1323,1329,1403,1309,1395,1358,1338,1503,1583,1436,1321,924,1229,1236,1148
TLC4,"Northumberland, Durham and Tyne & Wear",J (58-63),Information and communication,62,71,100,151,199,228,249,286,294,328,362,406,441,533,607,611,757,976,1091,1297,1410,1566,1656,2207,2172,2197
TLC4,"Northumberland, Durham and Tyne & Wear",K (64-66),Financial and insurance activities,1859,1734,1804,1912,1929,2072,2820,3152,3145,3677,2813,2688,2525,2496,3028,2761,2600,2601,2470,2650,2759,2416,2259,2236,2233,2455
TLC4,"Northumberland, Durham and Tyne & Wear",L (68),Real estate activities,4579,4760,4817,4938,4934,5031,5208,5003,5144,4933,4803,5062,5040,5263,5030,4968,5034,5051,5309,5538,5587,5683,5708,5788,5873,5893
TLC4,"Northumberland, Durham and Tyne & Wear",M (69-75),"Professional, scientific and technical activities",1391,1341,1373,1450,1576,1646,1782,1893,1952,1875,1856,1841,1939,1955,1900,1797,1833,1838,1774,1842,1848,1971,1788,1920,2186,2155
TLC4,"Northumberland, Durham and Tyne & Wear",N (77-82),Administrative and support service activities,1155,1098,1056,1200,1242,1196,1250,1395,1373,1472,1506,1370,1433,1447,1514,1539,1666,1800,1882,1896,1879,2016,1666,1815,2054,2170
TLC4,"Northumberland, Durham and Tyne & Wear",O (84),Public administration and defence,3073,3045,2791,2728,2874,2830,3163,3063,3488,3299,3191,3479,3419,3355,3240,3252,3028,3030,2952,2929,2895,3115,2793,3170,3366,3412
TLC4,"Northumberland, Durham and Tyne & Wear",P (85),Education,3292,3272,3328,3392,3495,3691,3691,3638,3440,3367,3199,3044,3010,3094,3150,2968,2926,2951,3033,2952,3035,3283,2876,3323,3604,3701
TLC4,"Northumberland, Durham and Tyne & Wear",Q (86-88),Human health and social work activities,4270,4046,4329,4716,4482,4679,4987,5109,5028,4834,5220,4992,5224,5470,5535,5607,5354,5361,5274,5710,5597,5473,4039,4890,4977,4845
TLC4,"Northumberland, Durham and Tyne & Wear",R (90-93),"Arts, entertainment and recreation",549,556,549,573,616,718,855,846,804,695,744,652,646,731,737,801,799,790,659,656,614,632,389,423,610,654
TLC4,"Northumberland, Durham and Tyne & Wear",S (94-96),Other service activities,910,840,823,794,805,767,789,765,759,750,722,726,710,655,624,601,587,627,668,767,794,809,671,783,869,878
TLC4,"Northumberland, Durham and Tyne & Wear",T (97-98),Activities of households,73,72,73,63,62,47,64,69,49,45,51,54,73,56,66,56,79,58,96,87,82,133,77,66,51,26
TLD1,Cumbria,A (1-3),"Agriculture, forestry and fishing",193,209,236,196,325,300,295,397,370,267,389,397,372,496,385,380,624,516,404,408,335,408,396,383,397,389
TLD1,Cumbria,B (5-9),Mining and quarrying,36,34,37,40,44,42,41,40,46,36,24,21,25,33,46,36,31,40,35,37,50,50,26,36,45,37
TLD1,Cumbria,C (10-33),Manufacturing,1923,2053,1724,1742,1801,1894,1985,2121,2342,2260,2375,2054,2002,1779,2019,2015,2287,2418,2327,2368,2397,2402,2597,2640,2854,3038
TLD1,Cumbria,D (35),"Electricity, gas, steam and air conditioning supply",528,526,463,509,473,457,349,268,253,233,229,206,160,128,138,141,122,141,154,164,174,186,264,178,216,203
TLD1,Cumbria,E (36-39),Water supply; sewerage and waste management,402,331,370,305,232,253,206,232,224,193,220,238,177,124,122,158,159,186,194,212,231,278,321,276,318,318
TLD1,Cumbria,F (41-43),Construction,862,933,935,838,881,938,960,899,942,978,979,836,872,939,908,937,882,953,899,871,859,809,639,866,816,867
TLD1,Cumbria,G (45-47),Wholesale and retail trade; repair of motor vehicles,1256,1266,1381,1418,1366,1350,1416,1388,1521,1446,1540,1254,1484,1435,1463,1468,1496,1592,1439,1510,1577,1664,1233,1062,1436,1437
TLD1,Cumbria,H (49-53),Transportation and storage,540,546,527,514,525,582,635,574,647,632,690,575,595,582,657,673,697,676,659,618,615,616,342,410,555,535
TLD1,Cumbria,I (55-56),Accommodation and food service activities,644,598,621,600,607,666,630,664,735,669,595,541,622,696,708,739,731,780,814,764,747,811,551,756,865,793
TLD1,Cumbria,J (58-63),Information and communication,17,21,31,32,42,60,65,68,76,75,70,79,85,84,83,84,86,102,106,107,125,137,127,140,195,178
TLD1,Cumbria,K (64-66),Financial and insurance activities,575,680,552,501,539,457,390,358,342,413,414,442,377,372,359,351,333,305,363,360,303,296,236,272,287,254
TLD1,Cumbria,L (68),Real estate activities,1304,1331,1346,1330,1372,1474,1464,1494,1567,1557,1678,1830,1829,1788,1870,1834,1812,1831,1857,1918,1882,1927,1878,1794,1803,1903
TLD1,Cumbria,M (69-75),"Professional, scientific and technical activities",321,344,334,323,362,402,427,409,476,555,622,633,650,596,567,621,597,549,547,512,518,555,459,623,639,626
TLD1,Cumbria,N (77-82),Administrative and support service activities,215,189,199,204,205,223,272,278,301,316,304,300,318,310,290,333,367,377,376,389,374,369,358,366,378,419
TLD1,Cumbria,O (84),Public administration and defence,452,463,547,421,443,438,414,455,457,509,498,580,570,570,564,538,510,542,632,661,665,725,653,622,625,635
TLD1,Cumbria,P (85),Education,785,808,845,861,818,812,777,818,835,819,743,714,720,704,701,722,671,655,640,631,654,661,493,569,656,658
TLD1,Cumbria,Q (86-88),Human health and social work activities,1080,969,995,1061,1153,1198,1252,1251,1223,1280,1190,1199,1212,1207,1327,1314,1388,1360,1315,1338,1333,1334,1005,1228,1264,1229
TLD1,Cumbria,R (90-93),"Arts, entertainment and recreation",109,121,137,155,137,192,176,184,188,203,201,165,167,188,208,197,176,184,153,153,149,160,93,110,142,144
TLD1,Cumbria,S (94-96),Other service activities,185,220,221,225,213,211,205,196,191,186,187,177,180,188,182,188,193,184,201,221,215,235,216,199,224,188
TLD1,Cumbria,T (97-98),Activities of households,26,30,18,19,14,22,21,26,22,26,26,11,18,14,23,10,11,15,36,28,23,50,20,20,19,17
TLD3,Greater Manchester,A (1-3),"Agriculture, forestry and fishing",39,48,47,52,64,57,53,63,60,42,62,61,50,55,49,48,64,59,56,48,44,51,55,45,48,53
TLD3,Greater Manchester,B (5-9),Mining and quarrying,52,56,49,43,28,20,26,27,34,27,15,15,14,16,19,25,26,24,23,24,31,31,30,32,30,24
TLD3,Greater Manchester,C (10-33),Manufacturing,5139,5727,6024,6168,6418,6611,6721,6754,7184,7178,6896,6449,6411,6111,6333,6384,6708,6902,6825,7200,7708,7606,8040,8031,7860,7552
TLD3,Greater Manchester,D (35),"Electricity, gas, steam and air conditioning supply",640,897,552,764,458,531,411,219,311,265,392,498,557,484,518,709,599,688,672,648,706,966,1412,935,662,567
TLD3,Greater Manchester,E (36-39),Water supply; sewerage and waste management,1413,1251,1263,1278,1127,1089,957,940,875,795,734,847,756,671,696,706,817,910,928,949,920,867,1006,886,869,855
TLD3,Greater Manchester,F (41-43),Construction,5553,5507,5249,5320,5214,5160,5639,5382,5184,5362,5153,4317,4105,4173,4339,4353,4277,4311,4377,4670,4778,4470,4185,5170,5500,5884
