ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",1998,59
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",1999,61
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2000,57
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2001,43
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2002,95
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2003,88
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2004,78
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2005,87
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2006,97
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2007,75
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2008,122
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2009,118
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2010,102
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2011,140
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2012,111
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2013,105
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2014,170
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2015,137
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2016,111
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2017,109
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2018,98
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2019,120
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2020,99
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2021,109
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2022,112
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,1998,78
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,1999,73
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2000,59
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2001,64
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2002,74
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2003,85
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2004,82
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2005,64
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2006,69
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2007,57
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2008,48
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2009,62
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2010,81
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2011,111
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2012,169
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2013,184
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2014,167
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2015,172
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2016,113
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2017,86
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2018,97
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2019,109
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2020,73
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2021,73
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2022,101
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,1998,2779
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,1999,2939
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2000,3001
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2001,2866
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2002,3046
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2003,3411
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2004,3320
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2005,3231
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2006,3274
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2007,3341
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2008,3414
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2009,3148
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2010,3161
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2011,2885
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2012,3175
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2013,3161
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2014,3241
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2015,3611
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2016,3484
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2017,3469
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2018,3794
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2019,3949
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2020,4509
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2021,4265
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2022,4247
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",1998,649
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",1999,879
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2000,703
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2001,802
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2002,735
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2003,935
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2004,967
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2005,969
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2006,1179
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2007,1288
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2008,1225
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2009,1179
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2010,1087
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2011,618
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2012,603
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2013,588
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2014,472
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2015,579
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2016,473
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2017,363
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2018,336
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2019,339
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2020,346
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2021,244
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",2022,228
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,1998,538
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,1999,433
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2000,430
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2001,517
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2002,731
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2003,696
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2004,735
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2005,692
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2006,620
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2007,537
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2008,503
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2009,498
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2010,502
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2011,491
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2012,458
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,2013,453
