ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",59,61,57,43,95,88,78,87,97,75,122,118,102,140,111,105,170,137,111,109,98,120,99,109,112
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,78,73,59,64,74,85,82,64,69,57,48,62,81,111,169,184,167,172,113,86,97,109,73,73,101
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,2779,2939,3001,2866,3046,3411,3320,3231,3274,3341,3414,3148,3161,2885,3175,3161,3241,3611,3484,3469,3794,3949,4509,4265,4247
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",649,879,703,802,735,935,967,969,1179,1288,1225,1179,1087,618,603,588,472,579,473,363,336,339,346,244,228
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,538,433,430,517,731,696,735,692,620,537,503,498,502,491,458,453,459,472,511,480,496,440,470,481,504
TLC1,Tees Valley and Durham,F (41-43),Construction,1633,1846,1950,1837,1759,1936,1863,1839,1748,1827,1626,1556,1482,1578,1564,1538,1606,1631,1564,1513,1572,1622,1292,1584,1630
TLC1,Tees Valley and Durham,G (45-47),Wholesale and retail trade; repair of motor vehicles,1751,1863,1940,2033,2109,2045,2266,2343,2500,2379,2447,2260,2448,2294,2235,2333,2477,2484,2319,2236,2286,2040,1876,2173,2148
TLC1,Tees Valley and Durham,H (49-53),Transportation and storage,903,913,887,958,907,912,960,903,982,981,979,941,1019,1080,1025,1017,964,889,864,844,872,919,857,811,902
TLC1,Tees Valley and Durham,I (55-56),Accommodation and food service activities,639,608,621,683,735,691,686,691,695,667,654,630,610,631,565,581,552,564,593,619,592,613,331,515,620
TLC1,Tees Valley and Durham,J (58-63),Information and communication,19,24,36,57,75,96,112,122,144,143,146,144,164,206,225,254,365,460,466,508,591,630,719,948,1098
TLC1,Tees Valley and Durham,K (64-66),Financial and insurance activities,659,701,686,734,709,759,927,898,1090,1292,1238,1176,991,957,1183,1129,983,946,991,1046,998,987,801,780,807
TLC1,Tees Valley and Durham,L (68),Real estate activities,2191,2270,2294,2258,2206,2234,2301,2352,2422,2370,2322,2571,2568,2715,2740,2731,2736,2722,2835,2944,2877,2931,2904,3007,3083
TLC1,Tees Valley and Durham,M (69-75),"Professional, scientific and technical activities",695,600,643,560,561,699,868,814,908,883,877,864,905,968,975,1010,1032,1098,1052,1037,970,968,940,1089,1026
TLC1,Tees Valley and Durham,N (77-82),Administrative and support service activities,559,543,562,585,563,602,673,674,639,669,682,669,754,712,703,741,807,858,853,809,769,850,829,705,713
TLC1,Tees Valley and Durham,O (84),Public administration and defence,1211,1215,1131,1138,1067,1043,1039,1120,1226,1193,1351,1471,1422,1384,1379,1414,1348,1337,1407,1417,1454,1511,1391,1394,1480
TLC1,Tees Valley and Durham,P (85),Education,1769,1898,1962,1926,1919,1919,1992,1894,1725,1668,1543,1583,1578,1657,1700,1634,1523,1558,1564,1598,1651,1749,1519,1657,1854
TLC1,Tees Valley and Durham,Q (86-88),Human health and social work activities,1994,2007,2054,2075,2068,2024,2090,2211,2299,2475,2487,2320,2355,2455,2433,2367,2491,2530,2442,2531,2530,2486,1856,2462,2702
TLC1,Tees Valley and Durham,R (90-93),"Arts, entertainment and recreation",249,273,261,266,324,323,425,475,410,378,353,317,283,339,335,328,294,291,244,251,240,272,151,175,218
TLC1,Tees Valley and Durham,S (94-96),Other service activities,451,404,433,408,425,384,416,396,398,374,342,328,333,285,285,264,271,278,311,330,364,342,300,347,370
TLC1,Tees Valley and Durham,T (97-98),Activities of households,38,39,41,32,32,17,19,15,21,15,21,17,30,26,23,33,31,22,30,24,34,40,34,37,24
TLC2,"Northumberland, and Tyne and Wear",A (1-3),"Agriculture, forestry and fishing",106,103,102,99,171,165,149,136,142,107,157,159,181,250,196,189,276,243,198,205,181,226,192,200,212
TLC2,"Northumberland, and Tyne and Wear",B (5-9),Mining and quarrying,179,230,245,232,229,287,320,288,300,159,181,179,116,117,118,138,147,165,79,24,41,31,22,15,23
TLC2,"Northumberland, and Tyne and Wear",C (10-33),Manufacturing,3001,2976,3159,3286,3629,3664,3793,3966,4378,4447,4407,3874,4119,4115,4250,4393,4449,4497,4224,4207,4256,4281,4258,4294,4374
TLC2,"Northumberland, and Tyne and Wear",D (35),"Electricity, gas, steam and air conditioning supply",1298,1320,1046,1887,1836,1972,2000,1453,1530,1436,1433,1612,1390,948,1056,910,817,877,969,1082,864,1120,661,407,298
TLC2,"Northumberland, and Tyne and Wear",E (36-39),Water supply; sewerage and waste management,613,655,638,603,489,478,454,414,365,406,392,352,320,310,323,332,347,353,379,404,401,399,406,377,368
TLC2,"Northumberland, and Tyne and Wear",F (41-43),Construction,2401,2454,2246,2288,2436,2264,2373,2358,2377,2126,1959,1617,1795,1935,1797,1831,1892,1982,1863,1901,1816,1938,1397,1832,1986
TLC2,"Northumberland, and Tyne and Wear",G (45-47),Wholesale and retail trade; repair of motor vehicles,2964,2999,3114,2862,2907,2878,3071,3284,3532,3516,3436,2743,2904,2943,2995,2843,3174,3118,3107,3086,2949,3139,2263,2901,2978
TLC2,"Northumberland, and Tyne and Wear",H (49-53),Transportation and storage,871,895,915,910,903,956,990,1008,1036,1078,1127,998,1060,1119,1141,1214,1226,1124,1185,1184,1248,1277,779,896,933
TLC2,"Northumberland, and Tyne and Wear",I (55-56),Accommodation and food service activities,987,888,883,921,880,906,1044,1101,1026,946,1006,917,930,986,924,993,977,949,1080,1137,1009,916,689,935,1127
TLC2,"Northumberland, and Tyne and Wear",J (58-63),Information and communication,66,75,108,164,217,248,272,312,316,350,388,442,484,592,681,691,866,1131,1287,1522,1647,1826,1975,2380,2595
TLC2,"Northumberland, and Tyne and Wear",K (64-66),Financial and insurance activities,1222,1143,1187,1237,1324,1458,1991,2236,2218,2484,1791,1758,1677,1656,1938,1755,1710,1899,1810,1975,2054,1746,1646,1659,1626
TLC2,"Northumberland, and Tyne and Wear",L (68),Real estate activities,2819,2878,2885,3011,3070,3156,3207,3078,3163,3079,3068,3263,3295,3603,3516,3500,3544,3620,3751,3842,3893,3978,4084,4090,4188
TLC2,"Northumberland, and Tyne and Wear",M (69-75),"Professional, scientific and technical activities",1124,1101,1120,1198,1315,1343,1439,1547,1584,1524,1524,1525,1609,1617,1567,1436,1472,1475,1427,1459,1485,1592,1483,1621,1664
