ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,1998,810
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,1999,871
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2000,847
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2001,833
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2002,896
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2003,1000
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2004,981
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2005,925
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2006,955
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2007,997
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2008,913
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2009,892
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2010,876
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2011,1069
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2012,1213
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2013,1275
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2014,1228
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2015,1345
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2016,1319
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2017,1198
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2018,1256
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2019,1315
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2020,1478
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2021,1351
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2022,1228
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,2023,1095
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,1998,646
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,1999,730
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2000,773
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2001,728
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2002,699
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2003,760
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2004,729
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2005,718
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2006,680
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2007,708
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2008,619
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2009,589
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2010,568
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2011,608
