ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1998,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1999,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2000,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2001,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2002,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2003,3
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2004,3
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2005,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2006,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2007,2
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2008,5
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2009,6
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2010,8
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2011,31
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2012,41
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2013,51
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2014,49
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2015,69
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2016,27
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2017,29
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2018,25
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2019,35
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2020,21
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2021,21
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2022,16
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1998,670
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1999,704
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2000,712
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2001,669
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2002,720
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2003,802
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2004,784
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2005,750
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2006,732
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2007,780
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2008,688
