ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1998,971
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1999,1045
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2000,1015
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2001,1003
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2002,1079
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2003,1204
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2004,1180
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2005,1112
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2006,1150
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2007,1198
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2008,1094
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2009,1069
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2010,1055
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2011,1024
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2012,1164
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2013,1221
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2014,1174
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2015,1286
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2016,1257
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2017,1143
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2018,1196
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2019,1250
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2020,1388
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2021,1297
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,2022,1342
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,1998,612
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,1999,692
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2000,733
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2001,689
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2002,662
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2003,718
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2004,689
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2005,678
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2006,642
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2007,668
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2008,586
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2009,558
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2010,538
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2011,576
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2012,499
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2013,512
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2014,519
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2015,525
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2016,536
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2017,507
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2018,511
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2019,539
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2020,405
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2021,527
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2022,528
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,1998,3514
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,1999,3622
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2000,3682
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2001,3753
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2002,3797
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2003,3846
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2004,4146
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2005,4150
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2006,4391
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2007,4389
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2008,4366
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2009,4319
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2010,4411
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2011,4495
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2012,4471
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2013,4470
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2014,4563
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2015,4812
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2016,4922
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2017,4865
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2018,4725
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2019,4780
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2020,4437
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2021,4769
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2022,4906
TLC12,South Teesside,A-E,Production sector,1998,705
TLC12,South Teesside,A-E,Production sector,1999,723
TLC12,South Teesside,A-E,Production sector,2000,726
TLC12,South Teesside,A-E,Production sector,2001,639
TLC12,South Teesside,A-E,Production sector,2002,673
TLC12,South Teesside,A-E,Production sector,2003,796
TLC12,South Teesside,A-E,Production sector,2004,714
TLC12,South Teesside,A-E,Production sector,2005,699
TLC12,South Teesside,A-E,Production sector,2006,682
TLC12,South Teesside,A-E,Production sector,2007,626
TLC12,South Teesside,A-E,Production sector,2008,672
TLC12,South Teesside,A-E,Production sector,2009,628
TLC12,South Teesside,A-E,Production sector,2010,630
TLC12,South Teesside,A-E,Production sector,2011,568
TLC12,South Teesside,A-E,Production sector,2012,637
TLC12,South Teesside,A-E,Production sector,2013,633
TLC12,South Teesside,A-E,Production sector,2014,694
TLC12,South Teesside,A-E,Production sector,2015,812
TLC12,South Teesside,A-E,Production sector,2016,737
TLC12,South Teesside,A-E,Production sector,2017,648
TLC12,South Teesside,A-E,Production sector,2018,729
TLC12,South Teesside,A-E,Production sector,2019,680
TLC12,South Teesside,A-E,Production sector,2020,693
TLC12,South Teesside,A-E,Production sector,2021,672
TLC12,South Teesside,A-E,Production sector,2022,696
TLC12,South Teesside,F (41-43),Construction,1998,318
TLC12,South Teesside,F (41-43),Construction,1999,359
TLC12,South Teesside,F (41-43),Construction,2000,377
TLC12,South Teesside,F (41-43),Construction,2001,356
TLC12,South Teesside,F (41-43),Construction,2002,337
TLC12,South Teesside,F (41-43),Construction,2003,386
TLC12,South Teesside,F (41-43),Construction,2004,376
TLC12,South Teesside,F (41-43),Construction,2005,373
TLC12,South Teesside,F (41-43),Construction,2006,357
TLC12,South Teesside,F (41-43),Construction,2007,378
TLC12,South Teesside,F (41-43),Construction,2008,350
TLC12,South Teesside,F (41-43),Construction,2009,340
TLC12,South Teesside,F (41-43),Construction,2010,316
TLC12,South Teesside,F (41-43),Construction,2011,333
TLC12,South Teesside,F (41-43),Construction,2012,339
TLC12,South Teesside,F (41-43),Construction,2013,305
TLC12,South Teesside,F (41-43),Construction,2014,308
TLC12,South Teesside,F (41-43),Construction,2015,294
TLC12,South Teesside,F (41-43),Construction,2016,289
TLC12,South Teesside,F (41-43),Construction,2017,270
TLC12,South Teesside,F (41-43),Construction,2018,272
TLC12,South Teesside,F (41-43),Construction,2019,260
TLC12,South Teesside,F (41-43),Construction,2020,201
TLC12,South Teesside,F (41-43),Construction,2021,242
TLC12,South Teesside,F (41-43),Construction,2022,245
TLC12,South Teesside,G-T,Services sector,1998,2996
TLC12,South Teesside,G-T,Services sector,1999,3073
TLC12,South Teesside,G-T,Services sector,2000,3130
TLC12,South Teesside,G-T,Services sector,2001,3185
TLC12,South Teesside,G-T,Services sector,2002,3205
TLC12,South Teesside,G-T,Services sector,2003,3214
TLC12,South Teesside,G-T,Services sector,2004,3451
TLC12,South Teesside,G-T,Services sector,2005,3527
TLC12,South Teesside,G-T,Services sector,2006,3695
TLC12,South Teesside,G-T,Services sector,2007,3654
TLC12,South Teesside,G-T,Services sector,2008,3592
TLC12,South Teesside,G-T,Services sector,2009,3591
TLC12,South Teesside,G-T,Services sector,2010,3577
TLC12,South Teesside,G-T,Services sector,2011,3637
TLC12,South Teesside,G-T,Services sector,2012,3643
TLC12,South Teesside,G-T,Services sector,2013,3586
TLC12,South Teesside,G-T,Services sector,2014,3613
TLC12,South Teesside,G-T,Services sector,2015,3635
TLC12,South Teesside,G-T,Services sector,2016,3686
TLC12,South Teesside,G-T,Services sector,2017,3754
TLC12,South Teesside,G-T,Services sector,2018,3876
TLC12,South Teesside,G-T,Services sector,2019,3864
TLC12,South Teesside,G-T,Services sector,2020,3274
TLC12,South Teesside,G-T,Services sector,2021,3715
TLC12,South Teesside,G-T,Services sector,2022,3987
TLC13,Darlington,A-E,Production sector,1998,483
TLC13,Darlington,A-E,Production sector,1999,472
TLC13,Darlington,A-E,Production sector,2000,506
TLC13,Darlington,A-E,Production sector,2001,455
TLC13,Darlington,A-E,Production sector,2002,476
TLC13,Darlington,A-E,Production sector,2003,485
TLC13,Darlington,A-E,Production sector,2004,502
TLC13,Darlington,A-E,Production sector,2005,467
TLC13,Darlington,A-E,Production sector,2006,459
TLC13,Darlington,A-E,Production sector,2007,444
TLC13,Darlington,A-E,Production sector,2008,567
TLC13,Darlington,A-E,Production sector,2009,476
TLC13,Darlington,A-E,Production sector,2010,484
TLC13,Darlington,A-E,Production sector,2011,450
TLC13,Darlington,A-E,Production sector,2012,381
TLC13,Darlington,A-E,Production sector,2013,292
TLC13,Darlington,A-E,Production sector,2014,322
TLC13,Darlington,A-E,Production sector,2015,340
TLC13,Darlington,A-E,Production sector,2016,345
TLC13,Darlington,A-E,Production sector,2017,345
TLC13,Darlington,A-E,Production sector,2018,312
TLC13,Darlington,A-E,Production sector,2019,298
TLC13,Darlington,A-E,Production sector,2020,221
TLC13,Darlington,A-E,Production sector,2021,218
TLC13,Darlington,A-E,Production sector,2022,189
