ITL321CD,year,SIC07_code,value,Region_name,SIC07_description
TLC11,1998,31-32,11,Hartlepool and Stockton-on-Tees,Manufacture of furniture; other manufacturing
TLC11,1998,33,19,Hartlepool and Stockton-on-Tees,Repair and installation of machinery and equipment
TLC11,1998,41,83,Hartlepool and Stockton-on-Tees,Construction of buildings
TLC11,1998,42,58,Hartlepool and Stockton-on-Tees,Civil engineering
TLC11,1998,43,92,Hartlepool and Stockton-on-Tees,Specialised construction activities
TLC11,1998,45,38,Hartlepool and Stockton-on-Tees,Motor trades
TLC11,1998,46,89,Hartlepool and Stockton-on-Tees,Wholesale trade
TLC11,1998,47,207,Hartlepool and Stockton-on-Tees,Retail trade
TLC11,1998,49-51,153,Hartlepool and Stockton-on-Tees,"Land, water and air transport"
TLC11,1998,52,17,Hartlepool and Stockton-on-Tees,Warehousing and transport support activities
TLC11,1998,53,26,Hartlepool and Stockton-on-Tees,Postal and courier activities
TLC11,1998,55,8,Hartlepool and Stockton-on-Tees,Accommodation
TLC11,1998,56,63,Hartlepool and Stockton-on-Tees,Food and beverage service activities
TLC11,1998,58-60,8,Hartlepool and Stockton-on-Tees,Publishing; film and TV production and broadcasting
TLC11,1998,61-63,28,Hartlepool and Stockton-on-Tees,Telecommunications; information technology
TLC11,1998,68,78,Hartlepool and Stockton-on-Tees,"Real estate activities, excluding imputed rental"
TLC11,1998,68IMP,377,Hartlepool and Stockton-on-Tees,Owner-occupiers' imputed rental
TLC11,1998,69,33,Hartlepool and Stockton-on-Tees,Legal and accounting activities
TLC11,1998,70,10,Hartlepool and Stockton-on-Tees,Head offices and management consultancy
TLC11,1998,71,80,Hartlepool and Stockton-on-Tees,Architectural and engineering activities
TLC11,1998,72-73,23,Hartlepool and Stockton-on-Tees,Research and development; advertising and market research
TLC11,1998,74-75,11,Hartlepool and Stockton-on-Tees,"Other professional, scientific and technical activities"
TLC11,1998,77,21,Hartlepool and Stockton-on-Tees,Rental and leasing activities
TLC11,1998,78-80,51,Hartlepool and Stockton-on-Tees,Employment activities; tourism and security services
TLC11,1998,81,8,Hartlepool and Stockton-on-Tees,Services to buildings and landscape activities
TLC11,1998,82,54,Hartlepool and Stockton-on-Tees,Office administration and business support activities
TLC11,1998,86,173,Hartlepool and Stockton-on-Tees,Human health activities
TLC11,1998,87,27,Hartlepool and Stockton-on-Tees,Residential care activities
TLC11,1998,88,43,Hartlepool and Stockton-on-Tees,Social work activities
TLC11,1998,90-91,8,Hartlepool and Stockton-on-Tees,"Creative, arts, entertainment and cultural activities"
TLC11,1998,92-93,19,Hartlepool and Stockton-on-Tees,Gambling and betting; sports and recreation activities
TLC11,1998,94,17,Hartlepool and Stockton-on-Tees,Activities of membership organisations
TLC11,1998,95,4,Hartlepool and Stockton-on-Tees,"Repair of computers, personal and household goods"
TLC11,1998,96,26,Hartlepool and Stockton-on-Tees,Other personal service activities
TLC11,1998,AB (1-9),17,Hartlepool and Stockton-on-Tees,"Agriculture, forestry and fishing; mining and quarrying"
TLC11,1998,CA (10-12),102,Hartlepool and Stockton-on-Tees,"Manufacture of food, beverages and tobacco"
TLC11,1998,CB (13-15),10,Hartlepool and Stockton-on-Tees,"Manufacture of textiles, wearing apparel and leather"
TLC11,1998,CC (16-18),19,Hartlepool and Stockton-on-Tees,Manufacture of wood and paper products and printing
TLC11,1998,CD-CG (19-23),431,Hartlepool and Stockton-on-Tees,"Manufacture of petroleum, chemicals and other minerals"
TLC11,1998,CH (24-25),96,Hartlepool and Stockton-on-Tees,Manufacture of basic and fabricated metal products
TLC11,1998,CI-CJ (26-27),17,Hartlepool and Stockton-on-Tees,"Manufacture of electronic, optical and electrical products"
TLC11,1998,CK-CL (28-30),69,Hartlepool and Stockton-on-Tees,Manufacture of machinery and transport equipment
TLC11,1998,DE (35-39),222,Hartlepool and Stockton-on-Tees,"Electricity, gas, water; sewerage and waste management"
TLC11,1998,K (64-66),112,Hartlepool and Stockton-on-Tees,Financial and insurance activities
TLC11,1998,O (84),112,Hartlepool and Stockton-on-Tees,Public administration and defence
TLC11,1998,P (85),144,Hartlepool and Stockton-on-Tees,Education
TLC11,1998,T (97-98),4,Hartlepool and Stockton-on-Tees,Activities of households
TLC11,1999,31-32,12,Hartlepool and Stockton-on-Tees,Manufacture of furniture; other manufacturing
TLC11,1999,33,28,Hartlepool and Stockton-on-Tees,Repair and installation of machinery and equipment
TLC11,1999,41,100,Hartlepool and Stockton-on-Tees,Construction of buildings
TLC11,1999,42,70,Hartlepool and Stockton-on-Tees,Civil engineering
TLC11,1999,43,110,Hartlepool and Stockton-on-Tees,Specialised construction activities
TLC11,1999,45,46,Hartlepool and Stockton-on-Tees,Motor trades
TLC11,1999,46,93,Hartlepool and Stockton-on-Tees,Wholesale trade
