ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC,North East,1,Agriculture and hunting,1998,148
TLC,North East,1,Agriculture and hunting,1999,119
TLC,North East,1,Agriculture and hunting,2000,112
TLC,North East,1,Agriculture and hunting,2001,91
TLC,North East,1,Agriculture and hunting,2002,191
TLC,North East,1,Agriculture and hunting,2003,190
TLC,North East,1,Agriculture and hunting,2004,170
TLC,North East,1,Agriculture and hunting,2005,117
TLC,North East,1,Agriculture and hunting,2006,142
TLC,North East,1,Agriculture and hunting,2007,124
TLC,North East,1,Agriculture and hunting,2008,196
TLC,North East,1,Agriculture and hunting,2009,200
TLC,North East,1,Agriculture and hunting,2010,224
TLC,North East,1,Agriculture and hunting,2011,291
TLC,North East,1,Agriculture and hunting,2012,254
TLC,North East,1,Agriculture and hunting,2013,262
TLC,North East,1,Agriculture and hunting,2014,350
TLC,North East,1,Agriculture and hunting,2015,296
TLC,North East,1,Agriculture and hunting,2016,257
TLC,North East,1,Agriculture and hunting,2017,258
TLC,North East,1,Agriculture and hunting,2018,265
TLC,North East,1,Agriculture and hunting,2019,297
TLC,North East,1,Agriculture and hunting,2020,295
TLC,North East,1,Agriculture and hunting,2021,401
TLC,North East,1,Agriculture and hunting,2022,420
TLC,North East,1,Agriculture and hunting,2023,333
TLC,North East,2,Forestry and logging,1998,17
TLC,North East,2,Forestry and logging,1999,15
TLC,North East,2,Forestry and logging,2000,10
TLC,North East,2,Forestry and logging,2001,9
TLC,North East,2,Forestry and logging,2002,7
TLC,North East,2,Forestry and logging,2003,7
TLC,North East,2,Forestry and logging,2004,8
TLC,North East,2,Forestry and logging,2005,8
TLC,North East,2,Forestry and logging,2006,7
TLC,North East,2,Forestry and logging,2007,9
TLC,North East,2,Forestry and logging,2008,10
TLC,North East,2,Forestry and logging,2009,15
TLC,North East,2,Forestry and logging,2010,12
TLC,North East,2,Forestry and logging,2011,15
TLC,North East,2,Forestry and logging,2012,18
TLC,North East,2,Forestry and logging,2013,17
TLC,North East,2,Forestry and logging,2014,18
TLC,North East,2,Forestry and logging,2015,24
TLC,North East,2,Forestry and logging,2016,18
TLC,North East,2,Forestry and logging,2017,24
TLC,North East,2,Forestry and logging,2018,21
TLC,North East,2,Forestry and logging,2019,33
TLC,North East,2,Forestry and logging,2020,30
TLC,North East,2,Forestry and logging,2021,29
TLC,North East,2,Forestry and logging,2022,33
TLC,North East,2,Forestry and logging,2023,32
TLC,North East,3,Fishing and aquaculture,1998,9
TLC,North East,3,Fishing and aquaculture,1999,9
TLC,North East,3,Fishing and aquaculture,2000,9
TLC,North East,3,Fishing and aquaculture,2001,13
TLC,North East,3,Fishing and aquaculture,2002,11
TLC,North East,3,Fishing and aquaculture,2003,10
TLC,North East,3,Fishing and aquaculture,2004,10
TLC,North East,3,Fishing and aquaculture,2005,12
TLC,North East,3,Fishing and aquaculture,2006,13
TLC,North East,3,Fishing and aquaculture,2007,12
TLC,North East,3,Fishing and aquaculture,2008,12
TLC,North East,3,Fishing and aquaculture,2009,11
TLC,North East,3,Fishing and aquaculture,2010,12
TLC,North East,3,Fishing and aquaculture,2011,14
TLC,North East,3,Fishing and aquaculture,2012,14
TLC,North East,3,Fishing and aquaculture,2013,13
TLC,North East,3,Fishing and aquaculture,2014,19
TLC,North East,3,Fishing and aquaculture,2015,14
TLC,North East,3,Fishing and aquaculture,2016,12
TLC,North East,3,Fishing and aquaculture,2017,13
TLC,North East,3,Fishing and aquaculture,2018,10
TLC,North East,3,Fishing and aquaculture,2019,15
TLC,North East,3,Fishing and aquaculture,2020,9
TLC,North East,3,Fishing and aquaculture,2021,10
TLC,North East,3,Fishing and aquaculture,2022,13
TLC,North East,3,Fishing and aquaculture,2023,12
TLC,North East,5-8,"Mining and quarrying, excluding support activities",1998,107
TLC,North East,5-8,"Mining and quarrying, excluding support activities",1999,112
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2000,96
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2001,88
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2002,103
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2003,115
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2004,95
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2005,87
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2006,98
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2007,92
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2008,83
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2009,101
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2010,104
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2011,144
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2012,159
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2013,142
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2014,145
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2015,150
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2016,121
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2017,114
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2018,115
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2019,120
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2020,99
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2021,99
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2022,129
TLC,North East,5-8,"Mining and quarrying, excluding support activities",2023,103
TLC,North East,9,Mining support service activities,1998,11
TLC,North East,9,Mining support service activities,1999,9
TLC,North East,9,Mining support service activities,2000,23
TLC,North East,9,Mining support service activities,2001,21
TLC,North East,9,Mining support service activities,2002,17
TLC,North East,9,Mining support service activities,2003,32
TLC,North East,9,Mining support service activities,2004,52
TLC,North East,9,Mining support service activities,2005,39
TLC,North East,9,Mining support service activities,2006,44
TLC,North East,9,Mining support service activities,2007,22
TLC,North East,9,Mining support service activities,2008,60
TLC,North East,9,Mining support service activities,2009,61
TLC,North East,9,Mining support service activities,2010,68
TLC,North East,9,Mining support service activities,2011,45
TLC,North East,9,Mining support service activities,2012,69
TLC,North East,9,Mining support service activities,2013,92
TLC,North East,9,Mining support service activities,2014,62
TLC,North East,9,Mining support service activities,2015,59
TLC,North East,9,Mining support service activities,2016,9
TLC,North East,9,Mining support service activities,2017,6
TLC,North East,9,Mining support service activities,2018,9
TLC,North East,9,Mining support service activities,2019,20
TLC,North East,9,Mining support service activities,2020,5
TLC,North East,9,Mining support service activities,2021,4
TLC,North East,9,Mining support service activities,2022,13
TLC,North East,9,Mining support service activities,2023,16
TLC,North East,10,Manufacture of food products,1998,555
TLC,North East,10,Manufacture of food products,1999,541
TLC,North East,10,Manufacture of food products,2000,578
TLC,North East,10,Manufacture of food products,2001,624
TLC,North East,10,Manufacture of food products,2002,620
TLC,North East,10,Manufacture of food products,2003,616
TLC,North East,10,Manufacture of food products,2004,585
TLC,North East,10,Manufacture of food products,2005,523
TLC,North East,10,Manufacture of food products,2006,558
TLC,North East,10,Manufacture of food products,2007,601
TLC,North East,10,Manufacture of food products,2008,599
TLC,North East,10,Manufacture of food products,2009,552
TLC,North East,10,Manufacture of food products,2010,587
TLC,North East,10,Manufacture of food products,2011,595
TLC,North East,10,Manufacture of food products,2012,579
TLC,North East,10,Manufacture of food products,2013,594
TLC,North East,10,Manufacture of food products,2014,559
TLC,North East,10,Manufacture of food products,2015,594
TLC,North East,10,Manufacture of food products,2016,572
TLC,North East,10,Manufacture of food products,2017,592
TLC,North East,10,Manufacture of food products,2018,621
TLC,North East,10,Manufacture of food products,2019,585
TLC,North East,10,Manufacture of food products,2020,552
TLC,North East,10,Manufacture of food products,2021,496
TLC,North East,10,Manufacture of food products,2022,477
TLC,North East,10,Manufacture of food products,2023,554
TLC,North East,11-12,Manufacture of beverages and tobacco products,1998,150
TLC,North East,11-12,Manufacture of beverages and tobacco products,1999,184
TLC,North East,11-12,Manufacture of beverages and tobacco products,2000,192
TLC,North East,11-12,Manufacture of beverages and tobacco products,2001,140
TLC,North East,11-12,Manufacture of beverages and tobacco products,2002,135
TLC,North East,11-12,Manufacture of beverages and tobacco products,2003,141
TLC,North East,11-12,Manufacture of beverages and tobacco products,2004,144
TLC,North East,11-12,Manufacture of beverages and tobacco products,2005,103
TLC,North East,11-12,Manufacture of beverages and tobacco products,2006,105
TLC,North East,11-12,Manufacture of beverages and tobacco products,2007,106
TLC,North East,11-12,Manufacture of beverages and tobacco products,2008,113
TLC,North East,11-12,Manufacture of beverages and tobacco products,2009,68
TLC,North East,11-12,Manufacture of beverages and tobacco products,2010,65
TLC,North East,11-12,Manufacture of beverages and tobacco products,2011,58
TLC,North East,11-12,Manufacture of beverages and tobacco products,2012,50
TLC,North East,11-12,Manufacture of beverages and tobacco products,2013,37
TLC,North East,11-12,Manufacture of beverages and tobacco products,2014,44
TLC,North East,11-12,Manufacture of beverages and tobacco products,2015,47
TLC,North East,11-12,Manufacture of beverages and tobacco products,2016,44
TLC,North East,11-12,Manufacture of beverages and tobacco products,2017,60
TLC,North East,11-12,Manufacture of beverages and tobacco products,2018,73
TLC,North East,11-12,Manufacture of beverages and tobacco products,2019,61
TLC,North East,11-12,Manufacture of beverages and tobacco products,2020,29
TLC,North East,11-12,Manufacture of beverages and tobacco products,2021,113
TLC,North East,11-12,Manufacture of beverages and tobacco products,2022,135
TLC,North East,11-12,Manufacture of beverages and tobacco products,2023,142
TLC,North East,13,Manufacture of textiles,1998,63
TLC,North East,13,Manufacture of textiles,1999,63
TLC,North East,13,Manufacture of textiles,2000,60
TLC,North East,13,Manufacture of textiles,2001,72
TLC,North East,13,Manufacture of textiles,2002,77
TLC,North East,13,Manufacture of textiles,2003,92
TLC,North East,13,Manufacture of textiles,2004,74
TLC,North East,13,Manufacture of textiles,2005,76
TLC,North East,13,Manufacture of textiles,2006,72
TLC,North East,13,Manufacture of textiles,2007,75
TLC,North East,13,Manufacture of textiles,2008,64
TLC,North East,13,Manufacture of textiles,2009,72
TLC,North East,13,Manufacture of textiles,2010,97
TLC,North East,13,Manufacture of textiles,2011,77
TLC,North East,13,Manufacture of textiles,2012,100
TLC,North East,13,Manufacture of textiles,2013,114
TLC,North East,13,Manufacture of textiles,2014,112
TLC,North East,13,Manufacture of textiles,2015,115
TLC,North East,13,Manufacture of textiles,2016,117
TLC,North East,13,Manufacture of textiles,2017,159
TLC,North East,13,Manufacture of textiles,2018,121
TLC,North East,13,Manufacture of textiles,2019,135
TLC,North East,13,Manufacture of textiles,2020,124
TLC,North East,13,Manufacture of textiles,2021,130
TLC,North East,13,Manufacture of textiles,2022,101
TLC,North East,13,Manufacture of textiles,2023,101
TLC,North East,14,Manufacture of wearing apparel,1998,168
TLC,North East,14,Manufacture of wearing apparel,1999,158
