ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLC1,Tees Valley and Durham,A-E,Production sector,3750,3708,3677,3348,3634,4023,4013,3998,4136,4270,4644,4564,4647,4260,4315,4412,4418,4649,4629,4516,4789,4957,5218,5255,5820
TLC1,Tees Valley and Durham,F (41-43),Construction,631,756,875,880,915,1106,1134,1242,1226,1393,1340,1263,1125,1179,1204,1225,1328,1408,1407,1390,1529,1622,1278,1597,1795
TLC1,Tees Valley and Durham,G-T,Services sector,7830,8245,8578,9137,9511,9942,10991,11494,12332,12595,12964,13265,13391,13736,14010,14306,14669,15081,15184,15522,15856,16338,16090,17359,18766
TLC2,"Northumberland, and Tyne and Wear",A-E,Production sector,4016,3729,3800,3759,4105,4079,4167,4215,4519,4600,4776,4819,4961,4790,5061,5326,5453,5452,5526,5753,5584,6057,5326,5310,5850
TLC2,"Northumberland, and Tyne and Wear",F (41-43),Construction,912,988,991,1078,1247,1273,1418,1565,1638,1593,1595,1295,1340,1421,1358,1428,1530,1681,1656,1728,1766,1938,1381,1829,2169
TLC2,"Northumberland, and Tyne and Wear",G-T,Services sector,11676,11825,12217,13188,14097,15011,16662,17689,18491,18762,19075,18972,19342,20211,20789,20721,21420,22279,22879,23780,24007,25014,23507,25985,28708
TLD1,Cumbria,A-E,Production sector,2433,2430,2132,2043,2185,2237,2232,2419,2592,2491,2825,2746,2768,2673,2776,2940,3311,3360,3098,3145,3165,3290,3386,3470,3638
TLD1,Cumbria,F (41-43),Construction,315,361,396,378,431,504,549,571,622,703,758,632,616,651,649,693,676,764,752,744,779,754,592,817,961
TLD1,Cumbria,G-T,Services sector,3803,3967,4175,4309,4534,4917,5128,5304,5752,6014,6294,6264,6478,6468,6748,6897,7040,7314,7458,7638,7831,8372,7454,7924,8664
TLD3,Greater Manchester,A-E,Production sector,6765,7088,7111,6907,6832,6872,6728,6744,6884,6908,7162,6976,7197,7181,7504,7889,8194,8169,8137,8753,8975,9095,9603,8800,9508
TLD3,Greater Manchester,F (41-43),Construction,2028,2128,2221,2400,2551,2770,3219,3410,3411,3838,4021,3316,2940,2939,3146,3260,3323,3505,3716,4048,4392,4225,3921,4643,5430
TLD3,Greater Manchester,G-T,Services sector,24419,25629,26461,28663,30371,31872,33867,36544,38905,40840,41278,42463,43496,43565,45398,47270,48503,50861,52737,56357,58807,61943,61871,67224,74577
TLD4,Lancashire,A-E,Production sector,5677,5882,5872,5757,5887,6085,6251,6677,6611,6679,6370,5182,5219,5497,5822,6378,6670,7295,7426,7621,7472,7190,7580,7938,8934
TLD4,Lancashire,F (41-43),Construction,966,1010,1178,1189,1318,1463,1614,1650,1620,1726,1801,1546,1638,1768,1673,1777,1827,2088,2175,2246,2252,2331,2183,2492,2767
TLD4,Lancashire,G-T,Services sector,11043,11543,11783,12532,13204,14527,15565,15927,16612,17538,18236,18389,18781,18858,19610,19655,20292,20943,22296,22912,23229,24668,23196,25741,27901
TLD6,Cheshire,A-E,Production sector,4310,4407,4377,5249,4954,4503,5248,5637,5838,5748,5603,5574,5769,6008,6567,7043,7293,7519,8168,7871,7594,7817,7575,6877,8207
TLD6,Cheshire,F (41-43),Construction,751,861,891,942,974,1083,1096,1258,1388,1458,1496,1189,1131,1200,1180,1290,1372,1425,1528,1635,1868,1873,1890,2226,2474
TLD6,Cheshire,G-T,Services sector,9399,9908,10273,11324,12103,12715,13167,13734,14859,15890,16000,16158,16990,17133,17477,17838,18980,19327,20256,21837,22584,23996,22937,24937,27058
TLD7,Merseyside,A-E,Production sector,3441,3477,3479,3529,3545,4113,3929,3983,4518,4191,4480,4559,4533,4583,3970,4095,4430,4591,4577,4821,4693,4845,4591,4778,4994
TLD7,Merseyside,F (41-43),Construction,775,859,938,970,1091,1142,1235,1396,1505,1569,1552,1403,1319,1389,1323,1398,1504,1647,1748,1928,1932,1959,1793,1787,2112
TLD7,Merseyside,G-T,Services sector,11964,12747,13374,14322,15204,16190,17388,18038,19214,19602,20505,21157,21574,21519,21913,22418,23344,24034,24503,25220,25685,27445,26878,30017,32483
TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,3882,3766,3960,3786,3866,4212,4427,4526,4742,4950,5620,5412,5197,4751,4932,5114,5111,5684,5789,6053,6128,6918,6447,8063,9346
TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,559,638,646,655,791,919,940,1094,1138,1141,1143,860,939,906,930,981,1099,1164,1100,1196,1259,1278,1163,1486,1794
TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,6344,6425,6745,7457,7940,8444,8938,9250,9752,10457,10735,10611,10483,10589,10649,10748,11193,11571,11837,12402,12729,13256,12461,14378,15578
TLE2,North Yorkshire,A-E,Production sector,2493,2402,2544,2451,2734,2783,2690,2738,2973,3065,3203,3146,3060,3151,3246,3385,3432,3423,3390,3558,3645,3801,3884,4093,4492
TLE2,North Yorkshire,F (41-43),Construction,665,737,748,814,846,892,909,1023,1088,1081,1115,892,923,848,898,931,965,1059,1088,1110,1143,1214,929,1221,1356
