ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLC3,Tees Valley,A-E,Production sector,2239,2167,2162,1881,1984,2188,2115,2087,2090,2133,2359,2281,2306,2147,2166,2267,2243,2339,2270,2147,2196,2234,2189,2122,2184,2160
TLC3,Tees Valley,F (41-43),Construction,393,471,545,548,570,691,709,777,768,874,844,797,708,741,713,747,819,847,864,865,931,988,748,935,987,1173
TLC3,Tees Valley,G-T,Services sector,4936,5192,5408,5801,6096,6405,7057,7335,7852,7992,8203,8365,8482,8747,8931,9093,9536,10057,10178,10242,10416,10685,10493,11247,12537,13394
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,5530,5272,5318,5228,5757,5913,6066,6125,6565,6737,7059,7099,7301,6902,7209,7470,7628,7762,7885,8114,8174,8777,8354,8216,8283,9776
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,1150,1273,1321,1410,1592,1688,1843,2029,2096,2112,2091,1761,1757,1859,1849,1905,2039,2242,2199,2253,2363,2573,1889,2529,3050,3793
TLC4,"Northumberland, Durham and Tyne & Wear",G-T,Services sector,14570,14877,15386,16542,17537,18578,20626,21878,23008,23401,23867,23913,24283,25225,25903,25965,26600,27322,27922,29098,29465,30804,29022,32191,35323,38593
TLD1,Cumbria,A-E,Production sector,2433,2430,2132,2043,2184,2237,2232,2419,2591,2490,2824,2745,2767,2673,2776,2940,3311,3360,3097,3130,3160,3283,3384,3343,3831,4316
TLD1,Cumbria,F (41-43),Construction,315,361,396,378,431,504,549,571,622,703,758,632,616,651,649,693,676,764,752,744,779,754,587,801,816,943
TLD1,Cumbria,G-T,Services sector,3802,3966,4174,4310,4535,4920,5130,5305,5754,6016,6295,6259,6473,6454,6741,6883,7027,7302,7451,7621,7821,8386,7436,7836,9089,9798
TLD3,Greater Manchester,A-E,Production sector,6765,7089,7112,6907,6833,6872,6729,6744,6885,6908,7163,6978,7199,7183,7504,7889,8195,8170,8138,8753,8976,9097,9681,8707,9470,10099
TLD3,Greater Manchester,F (41-43),Construction,2028,2128,2221,2400,2551,2770,3219,3410,3411,3838,4021,3316,2940,2939,3146,3260,3322,3505,3716,4048,4392,4225,3900,4792,5500,6403
TLD3,Greater Manchester,G-T,Services sector,24419,25628,26461,28679,30394,31898,33892,36570,38932,40871,41306,42498,43532,43577,45434,47293,48530,50894,52790,56427,58875,62060,61910,66952,76128,83848
TLD4,Lancashire,A-E,Production sector,5676,5881,5871,5757,5887,6084,6251,6677,6611,6679,6370,5183,5219,5497,5822,6378,6670,7296,7427,7608,7468,7184,7644,7819,8458,9369
TLD4,Lancashire,F (41-43),Construction,966,1010,1178,1189,1318,1463,1614,1650,1620,1726,1801,1546,1638,1768,1673,1777,1827,2088,2175,2246,2252,2331,2170,2473,2638,2998
TLD4,Lancashire,G-T,Services sector,11042,11543,11783,12543,13217,14542,15581,15943,16630,17556,18252,18405,18802,18883,19631,19660,20303,20943,22300,22916,23251,24748,23232,26090,28488,30709
TLD6,Cheshire,A-E,Production sector,4313,4410,4381,5253,4959,4510,5257,5645,5846,5762,5606,5578,5765,5991,6561,7041,7293,7516,8162,7841,7578,7795,7582,7150,8148,9674
TLD6,Cheshire,F (41-43),Construction,751,861,891,942,974,1083,1096,1258,1388,1458,1496,1189,1131,1200,1180,1290,1372,1425,1528,1635,1868,1873,1882,2102,2272,2717
TLD6,Cheshire,G-T,Services sector,9398,9906,10271,11327,12109,12721,13171,13738,14863,15894,16004,16157,16989,17136,17481,17829,18988,19325,20245,21843,22586,24017,22928,24793,27363,29199
TLD7,Merseyside,A-E,Production sector,3438,3475,3477,3525,3542,4105,3921,3970,4507,4177,4478,4559,4534,4589,3966,4094,4429,4591,4577,4822,4695,4846,4617,4544,4663,5254
TLD7,Merseyside,F (41-43),Construction,775,859,938,970,1091,1142,1235,1396,1505,1569,1552,1403,1319,1389,1323,1398,1504,1647,1748,1928,1932,1959,1788,1749,2243,2709
TLD7,Merseyside,G-T,Services sector,11961,12745,13370,14330,15220,16208,17403,18053,19233,19621,20525,21167,21572,21509,21907,22412,23342,24041,24524,25243,25687,27484,26847,30189,32738,35352
TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,3881,3764,3958,3785,3866,4213,4427,4526,4742,4950,5620,5412,5198,4752,4932,5113,5111,5685,5790,6030,6126,6910,6484,7857,8196,8317
TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,559,638,646,655,791,919,940,1094,1138,1141,1143,860,939,906,930,981,1099,1164,1100,1196,1259,1278,1152,1489,1621,1788
TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,6343,6424,6744,7458,7942,8446,8941,9252,9754,10459,10737,10615,10488,10600,10656,10742,11187,11563,11832,12402,12740,13284,12453,14459,15190,16503
TLE2,North Yorkshire,A-E,Production sector,2493,2402,2544,2450,2734,2784,2691,2738,2973,3065,3203,3146,3060,3151,3246,3385,3433,3424,3392,3528,3637,3794,3920,3939,4305,5007
TLE2,North Yorkshire,F (41-43),Construction,665,737,748,814,846,892,909,1023,1088,1081,1115,892,923,848,898,931,965,1059,1088,1110,1143,1214,921,1266,1501,1858
TLE2,North Yorkshire,G-T,Services sector,7435,7740,8104,8799,9647,10331,11038,11319,11649,12437,12573,12408,12491,13015,13304,13687,13986,14254,14849,16002,16055,16596,15686,18037,19956,21591
TLE3,South Yorkshire,A-E,Production sector,3255,3081,3164,3166,3343,3453,3197,3304,3260,3483,3382,3153,3471,3568,3652,3735,3786,3779,3629,3855,3999,4161,4038,4071,4353,4684
TLE3,South Yorkshire,F (41-43),Construction,890,905,1068,1167,1294,1386,1477,1665,1797,1933,1947,1523,1479,1546,1559,1635,1754,1805,1874,2034,2053,2164,1819,2042,2582,2798
TLE3,South Yorkshire,G-T,Services sector,9397,9640,9946,10868,11480,12351,13541,14042,14993,16022,15929,16177,16470,16766,17356,17741,18308,19149,19616,20303,20474,21290,21535,23165,25523,27663
TLE4,West Yorkshire,A-E,Production sector,6660,6589,6501,6726,6686,6680,6409,6614,6980,7396,7785,7715,7668,7444,7916,8346,8527,8861,8612,8879,9210,9380,8794,9072,9845,10628
