ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLC3,Tees Valley,A (1-3),"Agriculture, forestry and fishing",24,21,19,14,29,28,25,21,25,23,36,37,34,43,38,44,61,50,42,43,50,57,56,74,71,57
TLC3,Tees Valley,B (5-9),Mining and quarrying,55,45,49,50,57,76,77,60,65,64,85,97,111,123,154,176,152,153,78,62,71,84,54,53,87,68
TLC3,Tees Valley,C (10-33),Manufacturing,1890,1833,1852,1586,1627,1776,1660,1611,1470,1465,1602,1431,1576,1576,1517,1564,1566,1673,1641,1578,1674,1686,1639,1686,1730,1678
TLC3,Tees Valley,D (35),"Electricity, gas, steam and air conditioning supply",168,177,151,124,130,157,187,219,339,407,473,562,423,235,302,323,295,295,331,301,269,298,313,165,143,196
TLC3,Tees Valley,E (36-39),Water supply; sewerage and waste management,102,91,92,106,140,151,166,176,191,175,163,155,162,169,155,159,169,169,178,163,131,108,127,145,154,162
TLC3,Tees Valley,F (41-43),Construction,393,471,545,548,570,691,709,777,768,874,844,797,708,741,713,747,819,847,864,865,931,988,748,935,987,1173
TLC3,Tees Valley,G (45-47),Wholesale and retail trade; repair of motor vehicles,710,793,789,892,946,967,1086,1134,1216,1185,1260,1285,1316,1215,1187,1292,1386,1394,1289,1316,1454,1386,1404,1487,1572,1639
TLC3,Tees Valley,H (49-53),Transportation and storage,341,348,354,399,401,414,452,435,467,492,496,509,557,599,581,595,587,601,606,575,565,627,623,606,692,695
TLC3,Tees Valley,I (55-56),Accommodation and food service activities,177,176,192,219,245,237,241,255,268,271,271,258,261,276,254,252,269,291,308,321,318,357,196,310,350,366
TLC3,Tees Valley,J (58-63),Information and communication,362,381,420,577,649,702,740,727,744,667,634,538,537,597,600,638,768,803,737,683,619,561,552,658,822,817
TLC3,Tees Valley,K (64-66),Financial and insurance activities,220,264,247,243,267,317,397,374,514,511,468,577,536,515,558,575,560,716,784,873,834,809,708,733,858,983
TLC3,Tees Valley,L (68),Real estate activities,1075,1106,1141,1132,1098,1090,1108,1200,1258,1291,1349,1347,1266,1376,1469,1466,1489,1588,1664,1647,1649,1756,1642,1761,1992,2175
TLC3,Tees Valley,M (69-75),"Professional, scientific and technical activities",308,277,302,268,282,353,450,429,486,495,530,556,585,643,659,686,720,799,805,784,766,783,791,909,959,1108
TLC3,Tees Valley,N (77-82),Administrative and support service activities,236,237,254,274,276,306,345,353,338,368,379,372,425,399,406,441,483,518,506,489,495,550,561,479,637,647
TLC3,Tees Valley,O (84),Public administration and defence,321,339,335,350,346,366,378,430,482,481,567,631,637,610,629,606,617,620,670,660,733,752,774,778,843,920
TLC3,Tees Valley,P (85),Education,381,430,475,508,556,598,660,680,672,702,709,769,790,817,844,857,837,853,863,866,907,945,1058,1060,1214,1243
TLC3,Tees Valley,Q (86-88),Human health and social work activities,632,663,706,739,791,821,904,999,1096,1223,1250,1239,1286,1399,1434,1364,1500,1548,1589,1654,1675,1740,1856,2109,2159,2339
TLC3,Tees Valley,R (90-93),"Arts, entertainment and recreation",61,72,71,76,102,106,147,171,152,150,143,136,125,159,166,169,158,165,151,156,156,180,104,119,182,191
TLC3,Tees Valley,S (94-96),Other service activities,102,97,111,113,126,121,140,143,150,150,138,138,145,127,128,125,141,148,179,182,215,199,179,205,240,258
TLC3,Tees Valley,T (97-98),Activities of households,10,11,12,10,11,6,7,6,8,6,9,9,15,13,17,26,21,14,27,37,30,40,44,33,18,13
TLC4,"Northumberland, Durham and Tyne & Wear",A (1-3),"Agriculture, forestry and fishing",150,122,113,98,180,179,162,115,137,121,182,189,214,277,248,248,326,284,245,252,246,288,279,367,394,321
TLC4,"Northumberland, Durham and Tyne & Wear",B (5-9),Mining and quarrying,64,76,71,59,63,71,70,66,77,51,57,64,61,66,75,57,55,56,52,58,53,56,50,51,55,51
TLC4,"Northumberland, Durham and Tyne & Wear",C (10-33),Manufacturing,4350,4205,4323,4171,4514,4626,4622,4721,4876,4965,4993,4620,5270,5248,5380,5676,5721,5857,6094,6148,6314,6541,6572,6742,6732,8040
TLC4,"Northumberland, Durham and Tyne & Wear",D (35),"Electricity, gas, steam and air conditioning supply",556,443,404,468,533,578,714,722,977,1070,1282,1706,1222,748,917,885,905,947,829,959,803,1162,724,344,471,653
TLC4,"Northumberland, Durham and Tyne & Wear",E (36-39),Water supply; sewerage and waste management,410,426,407,431,467,459,497,501,498,530,545,519,534,563,590,604,621,618,665,698,759,731,729,713,630,711
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,1150,1273,1321,1410,1592,1688,1843,2029,2096,2112,2091,1761,1757,1859,1849,1905,2039,2242,2199,2253,2363,2573,1889,2529,3050,3793
TLC4,"Northumberland, Durham and Tyne & Wear",G (45-47),Wholesale and retail trade; repair of motor vehicles,2420,2582,2547,2586,2695,2780,3004,3166,3441,3498,3572,3287,3309,3228,3361,3364,3628,3625,3514,3534,3506,3793,3243,4062,4548,4909
TLC4,"Northumberland, Durham and Tyne & Wear",H (49-53),Transportation and storage,672,696,732,781,810,860,912,930,937,992,1068,1020,1085,1160,1172,1244,1258,1283,1339,1380,1479,1569,1151,1238,1544,1638
TLC4,"Northumberland, Durham and Tyne & Wear",I (55-56),Accommodation and food service activities,590,555,591,653,668,694,794,878,875,854,903,822,859,929,899,938,1005,1055,1213,1287,1235,1173,832,1180,1236,1275
TLC4,"Northumberland, Durham and Tyne & Wear",J (58-63),Information and communication,720,701,780,1044,1231,1250,1266,1349,1284,1374,1452,1440,1416,1553,1649,1565,1675,1855,1892,2042,1876,1895,1781,2218,2172,2314
TLC4,"Northumberland, Durham and Tyne & Wear",K (64-66),Financial and insurance activities,844,806,814,895,899,1023,1561,1746,1952,1990,1457,1755,1686,1750,2075,2077,2014,1972,1911,2051,2122,1924,1868,1989,2233,2661
TLC4,"Northumberland, Durham and Tyne & Wear",L (68),Real estate activities,3174,3303,3381,3434,3425,3499,3647,3747,3916,3947,4153,3992,3845,4249,4199,4130,4358,4472,4751,4974,5130,5222,5126,5317,5873,6380
TLC4,"Northumberland, Durham and Tyne & Wear",M (69-75),"Professional, scientific and technical activities",708,699,732,798,909,961,1053,1149,1204,1202,1254,1309,1387,1433,1411,1372,1429,1474,1478,1573,1628,1778,1670,1836,2186,2344
TLC4,"Northumberland, Durham and Tyne & Wear",N (77-82),Administrative and support service activities,672,657,658,784,863,856,900,1022,1007,1114,1153,1081,1150,1147,1225,1260,1377,1504,1624,1663,1716,1884,1592,1763,2054,2341
TLC4,"Northumberland, Durham and Tyne & Wear",O (84),Public administration and defence,1406,1469,1430,1438,1589,1697,1974,2024,2356,2294,2315,2589,2659,2591,2573,2624,2459,2554,2537,2560,2582,2801,2715,3123,3366,3661
TLC4,"Northumberland, Durham and Tyne & Wear",P (85),Education,1192,1249,1356,1505,1705,1936,2056,2198,2256,2383,2470,2487,2534,2566,2606,2537,2582,2618,2699,2661,2749,2982,3261,3395,3604,4025
TLC4,"Northumberland, Durham and Tyne & Wear",Q (86-88),Human health and social work activities,1577,1559,1738,1961,2009,2227,2529,2704,2811,2798,3066,3133,3320,3558,3656,3719,3644,3676,3721,4025,4082,4303,4670,4804,4977,5371
TLC4,"Northumberland, Durham and Tyne & Wear",R (90-93),"Arts, entertainment and recreation",199,213,222,242,280,342,420,434,430,396,432,399,411,482,506,576,595,621,545,555,539,576,373,415,610,695
TLC4,"Northumberland, Durham and Tyne & Wear",S (94-96),Other service activities,362,356,372,389,423,426,470,487,505,530,534,558,568,535,520,515,511,564,615,713,747,780,667,785,869,947
TLC4,"Northumberland, Durham and Tyne & Wear",T (97-98),Activities of households,31,32,35,32,33,27,39,43,33,31,37,40,55,43,51,44,65,49,84,78,75,125,74,64,51,29
TLD1,Cumbria,A (1-3),"Agriculture, forestry and fishing",173,153,163,129,213,207,206,198,206,175,250,269,271,337,298,315,449,375,315,322,295,334,358,391,397,366
