ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",64,55,48,35,77,75,67,53,67,60,97,99,92,116,105,107,150,122,106,106,106,120,116,156,187
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,70,62,57,58,67,88,87,69,74,73,94,107,122,139,176,191,169,170,106,89,95,109,79,102,125
TLC1,Tees Valley and Durham,C (10-33),Manufacturing,3112,3100,3121,2801,2911,3231,3127,3061,2947,2991,3193,2938,3237,3141,3122,3175,3190,3400,3547,3532,3794,3949,4210,4263,4694
TLC1,Tees Valley and Durham,D (35),"Electricity, gas, steam and air conditioning supply",266,285,249,206,216,269,326,392,615,745,862,1028,772,417,478,499,460,506,385,323,304,339,348,244,276
TLC1,Tees Valley and Durham,E (36-39),Water supply; sewerage and waste management,239,205,202,248,362,360,407,423,433,401,398,392,424,446,435,440,450,451,485,465,490,440,465,489,538
TLC1,Tees Valley and Durham,F (41-43),Construction,631,756,875,880,915,1106,1134,1242,1226,1393,1340,1263,1125,1179,1204,1225,1328,1408,1407,1390,1529,1622,1278,1597,1795
TLC1,Tees Valley and Durham,G (45-47),Wholesale and retail trade; repair of motor vehicles,1146,1277,1266,1429,1514,1540,1722,1784,1926,1884,2005,2055,2104,1939,1937,2094,2193,2218,2043,2030,2163,2040,2125,2346,2487
TLC1,Tees Valley and Durham,H (49-53),Transportation and storage,467,476,487,549,552,568,617,594,637,669,682,706,770,829,802,806,783,792,792,796,840,919,893,920,1004
TLC1,Tees Valley and Durham,I (55-56),Accommodation and food service activities,300,296,322,370,414,401,409,434,459,462,460,437,441,468,435,436,459,502,539,565,574,613,333,543,721
TLC1,Tees Valley and Durham,J (58-63),Information and communication,392,415,452,613,695,752,791,781,821,765,739,632,631,692,689,718,842,869,773,737,681,630,598,713,829
TLC1,Tees Valley and Durham,K (64-66),Financial and insurance activities,363,397,381,417,399,448,608,594,817,831,757,892,789,793,954,992,900,875,930,1000,969,987,856,885,1012
TLC1,Tees Valley and Durham,68,"Real estate activities, excluding imputed rental",337,371,385,371,381,412,482,520,537,564,583,721,718,858,884,870,883,922,961,1024,909,913,875,995,1067
