ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLH2,Bedfordshire and Hertfordshire,A-F,Goods,1998,6696
TLH2,Bedfordshire and Hertfordshire,G-T,Services,1998,19615
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",A-F,Goods,1998,9732
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",G-T,Services,1998,35199
TLD6,Cheshire,A-F,Goods,1998,5061
TLD6,Cheshire,G-T,Services,1998,9399
TLK3,Cornwall and Isles of Scilly,A-F,Goods,1998,1307
TLK3,Cornwall and Isles of Scilly,G-T,Services,1998,3621
TLD1,Cumbria,A-F,Goods,1998,2748
TLD1,Cumbria,G-T,Services,1998,3803
TLF1,Derbyshire and Nottinghamshire,A-F,Goods,1998,8920
TLF1,Derbyshire and Nottinghamshire,G-T,Services,1998,16085
TLK4,Devon,A-F,Goods,1998,3490
TLK4,Devon,G-T,Services,1998,9125
TLK2,Dorset and Somerset,A-F,Goods,1998,4292
TLK2,Dorset and Somerset,G-T,Services,1998,10919
TLH1,East Anglia,A-F,Goods,1998,9134
TLH1,East Anglia,G-T,Services,1998,21185
TLL2,East Wales,A-F,Goods,1998,4648
TLL2,East Wales,G-T,Services,1998,9664
TLE1,East Yorkshire and Northern Lincolnshire,A-F,Goods,1998,4441
TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services,1998,6344
TLM7,Eastern Scotland,A-F,Goods,1998,7965
TLM7,Eastern Scotland,G-T,Services,1998,17916
TLH3,Essex,A-F,Goods,1998,6454
TLH3,Essex,G-T,Services,1998,14467
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",A-F,Goods,1998,9522
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",G-T,Services,1998,24802
TLD3,Greater Manchester,A-F,Goods,1998,8793
TLD3,Greater Manchester,G-T,Services,1998,24419
TLJ3,Hampshire and Isle of Wight,A-F,Goods,1998,7083
TLJ3,Hampshire and Isle of Wight,G-T,Services,1998,20837
TLG1,"Herefordshire, Worcestershire and Warwickshire",A-F,Goods,1998,5090
TLG1,"Herefordshire, Worcestershire and Warwickshire",G-T,Services,1998,11755
TLM6,Highlands and Islands,A-F,Goods,1998,1782
TLM6,Highlands and Islands,G-T,Services,1998,3615
TLI4,Inner London - East,A-F,Goods,1998,3734
TLI4,Inner London - East,G-T,Services,1998,35977
TLI3,Inner London - West,A-F,Goods,1998,3171
TLI3,Inner London - West,G-T,Services,1998,67475
TLJ4,Kent,A-F,Goods,1998,5753
TLJ4,Kent,G-T,Services,1998,15323
TLD4,Lancashire,A-F,Goods,1998,6643
TLD4,Lancashire,G-T,Services,1998,11043
TLF2,"Leicestershire, Rutland and Northamptonshire",A-F,Goods,1998,7316
TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services,1998,14196
TLF3,Lincolnshire,A-F,Goods,1998,2986
TLF3,Lincolnshire,G-T,Services,1998,4765
TLD7,Merseyside,A-F,Goods,1998,4216
TLD7,Merseyside,G-T,Services,1998,11964
TLM5,North Eastern Scotland,A-F,Goods,1998,3215
TLM5,North Eastern Scotland,G-T,Services,1998,5018
TLE2,North Yorkshire,A-F,Goods,1998,3158
TLE2,North Yorkshire,G-T,Services,1998,7436
TLN0,Northern Ireland,A-F,Goods,1998,6033
TLN0,Northern Ireland,G-T,Services,1998,13581
TLC2,"Northumberland, and Tyne and Wear",A-F,Goods,1998,4928
TLC2,"Northumberland, and Tyne and Wear",G-T,Services,1998,11676
TLI5,Outer London - East and North East,A-F,Goods,1998,4569
TLI5,Outer London - East and North East,G-T,Services,1998,14627
TLI6,Outer London - South,A-F,Goods,1998,2593
TLI6,Outer London - South,G-T,Services,1998,14960
TLI7,Outer London - West and North West,A-F,Goods,1998,4864
TLI7,Outer London - West and North West,G-T,Services,1998,28860
TLG2,Shropshire and Staffordshire,A-F,Goods,1998,6557
TLG2,Shropshire and Staffordshire,G-T,Services,1998,11803
TLE3,South Yorkshire,A-F,Goods,1998,4145
TLE3,South Yorkshire,G-T,Services,1998,9397
TLM9,Southern Scotland,A-F,Goods,1998,4000
TLM9,Southern Scotland,G-T,Services,1998,6382
TLJ2,"Surrey, East and West Sussex",A-F,Goods,1998,7896
TLJ2,"Surrey, East and West Sussex",G-T,Services,1998,33960
TLC1,Tees Valley and Durham,A-F,Goods,1998,4381
TLC1,Tees Valley and Durham,G-T,Services,1998,7830
TLM8,West Central Scotland,A-F,Goods,1998,5356
TLM8,West Central Scotland,G-T,Services,1998,14716
TLG3,West Midlands,A-F,Goods,1998,11786
TLG3,West Midlands,G-T,Services,1998,23557
TLL1,West Wales and The Valleys,A-F,Goods,1998,6170
TLL1,West Wales and The Valleys,G-T,Services,1998,12233
TLE4,West Yorkshire,A-F,Goods,1998,8168
TLE4,West Yorkshire,G-T,Services,1998,19544
TLH2,Bedfordshire and Hertfordshire,A-F,Goods,1999,7050
TLH2,Bedfordshire and Hertfordshire,G-T,Services,1999,20743
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",A-F,Goods,1999,9843
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",G-T,Services,1999,37599
TLD6,Cheshire,A-F,Goods,1999,5268
TLD6,Cheshire,G-T,Services,1999,9908
TLK3,Cornwall and Isles of Scilly,A-F,Goods,1999,1303
TLK3,Cornwall and Isles of Scilly,G-T,Services,1999,3777
TLD1,Cumbria,A-F,Goods,1999,2791
TLD1,Cumbria,G-T,Services,1999,3967
TLF1,Derbyshire and Nottinghamshire,A-F,Goods,1999,9519
TLF1,Derbyshire and Nottinghamshire,G-T,Services,1999,16381
TLK4,Devon,A-F,Goods,1999,3648
TLK4,Devon,G-T,Services,1999,9593
TLK2,Dorset and Somerset,A-F,Goods,1999,4626
TLK2,Dorset and Somerset,G-T,Services,1999,11501
TLH1,East Anglia,A-F,Goods,1999,9076
TLH1,East Anglia,G-T,Services,1999,22531
TLL2,East Wales,A-F,Goods,1999,4727
TLL2,East Wales,G-T,Services,1999,10178
TLE1,East Yorkshire and Northern Lincolnshire,A-F,Goods,1999,4404
TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services,1999,6425
TLM7,Eastern Scotland,A-F,Goods,1999,7795
TLM7,Eastern Scotland,G-T,Services,1999,18323
TLH3,Essex,A-F,Goods,1999,6179
TLH3,Essex,G-T,Services,1999,15016
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",A-F,Goods,1999,9861
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",G-T,Services,1999,26047
TLD3,Greater Manchester,A-F,Goods,1999,9216
TLD3,Greater Manchester,G-T,Services,1999,25629
TLJ3,Hampshire and Isle of Wight,A-F,Goods,1999,7075
TLJ3,Hampshire and Isle of Wight,G-T,Services,1999,21385
TLG1,"Herefordshire, Worcestershire and Warwickshire",A-F,Goods,1999,5241
TLG1,"Herefordshire, Worcestershire and Warwickshire",G-T,Services,1999,12621
TLM6,Highlands and Islands,A-F,Goods,1999,1752
TLM6,Highlands and Islands,G-T,Services,1999,3906
TLI4,Inner London - East,A-F,Goods,1999,3943
TLI4,Inner London - East,G-T,Services,1999,37712
TLI3,Inner London - West,A-F,Goods,1999,3435
TLI3,Inner London - West,G-T,Services,1999,70209
TLJ4,Kent,A-F,Goods,1999,6079
TLJ4,Kent,G-T,Services,1999,15742
TLD4,Lancashire,A-F,Goods,1999,6892
TLD4,Lancashire,G-T,Services,1999,11543
TLF2,"Leicestershire, Rutland and Northamptonshire",A-F,Goods,1999,7160
TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services,1999,14815
TLF3,Lincolnshire,A-F,Goods,1999,3041
TLF3,Lincolnshire,G-T,Services,1999,4825
TLD7,Merseyside,A-F,Goods,1999,4336
TLD7,Merseyside,G-T,Services,1999,12747
TLM5,North Eastern Scotland,A-F,Goods,1999,3031
TLM5,North Eastern Scotland,G-T,Services,1999,5183
TLE2,North Yorkshire,A-F,Goods,1999,3139
TLE2,North Yorkshire,G-T,Services,1999,7742
TLN0,Northern Ireland,A-F,Goods,1999,6407
TLN0,Northern Ireland,G-T,Services,1999,14314
TLC2,"Northumberland, and Tyne and Wear",A-F,Goods,1999,4717
TLC2,"Northumberland, and Tyne and Wear",G-T,Services,1999,11825
TLI5,Outer London - East and North East,A-F,Goods,1999,4751
TLI5,Outer London - East and North East,G-T,Services,1999,15374
TLI6,Outer London - South,A-F,Goods,1999,2718
TLI6,Outer London - South,G-T,Services,1999,15848
TLI7,Outer London - West and North West,A-F,Goods,1999,5279
TLI7,Outer London - West and North West,G-T,Services,1999,30668
TLG2,Shropshire and Staffordshire,A-F,Goods,1999,6315
TLG2,Shropshire and Staffordshire,G-T,Services,1999,12293
TLE3,South Yorkshire,A-F,Goods,1999,3986
TLE3,South Yorkshire,G-T,Services,1999,9640
TLM9,Southern Scotland,A-F,Goods,1999,3903
TLM9,Southern Scotland,G-T,Services,1999,6670
TLJ2,"Surrey, East and West Sussex",A-F,Goods,1999,8777
TLJ2,"Surrey, East and West Sussex",G-T,Services,1999,35752
TLC1,Tees Valley and Durham,A-F,Goods,1999,4464
TLC1,Tees Valley and Durham,G-T,Services,1999,8245
TLM8,West Central Scotland,A-F,Goods,1999,5058
TLM8,West Central Scotland,G-T,Services,1999,15366
TLG3,West Midlands,A-F,Goods,1999,11668
TLG3,West Midlands,G-T,Services,1999,24553
TLL1,West Wales and The Valleys,A-F,Goods,1999,5982
TLL1,West Wales and The Valleys,G-T,Services,1999,12502
TLE4,West Yorkshire,A-F,Goods,1999,8346
TLE4,West Yorkshire,G-T,Services,1999,20912
TLH2,Bedfordshire and Hertfordshire,A-F,Goods,2000,7448
