ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC1,Tees Valley and Durham,A-E,Production sector,1998,3750
TLC1,Tees Valley and Durham,A-E,Production sector,1999,3708
TLC1,Tees Valley and Durham,A-E,Production sector,2000,3677
TLC1,Tees Valley and Durham,A-E,Production sector,2001,3348
TLC1,Tees Valley and Durham,A-E,Production sector,2002,3634
TLC1,Tees Valley and Durham,A-E,Production sector,2003,4023
TLC1,Tees Valley and Durham,A-E,Production sector,2004,4013
TLC1,Tees Valley and Durham,A-E,Production sector,2005,3998
TLC1,Tees Valley and Durham,A-E,Production sector,2006,4136
TLC1,Tees Valley and Durham,A-E,Production sector,2007,4270
TLC1,Tees Valley and Durham,A-E,Production sector,2008,4644
TLC1,Tees Valley and Durham,A-E,Production sector,2009,4564
TLC1,Tees Valley and Durham,A-E,Production sector,2010,4647
TLC1,Tees Valley and Durham,A-E,Production sector,2011,4260
TLC1,Tees Valley and Durham,A-E,Production sector,2012,4315
TLC1,Tees Valley and Durham,A-E,Production sector,2013,4412
TLC1,Tees Valley and Durham,A-E,Production sector,2014,4418
TLC1,Tees Valley and Durham,A-E,Production sector,2015,4649
TLC1,Tees Valley and Durham,A-E,Production sector,2016,4629
TLC1,Tees Valley and Durham,A-E,Production sector,2017,4516
TLC1,Tees Valley and Durham,A-E,Production sector,2018,4789
TLC1,Tees Valley and Durham,A-E,Production sector,2019,4957
TLC1,Tees Valley and Durham,A-E,Production sector,2020,5218
TLC1,Tees Valley and Durham,A-E,Production sector,2021,5255
TLC1,Tees Valley and Durham,A-E,Production sector,2022,5820
TLC1,Tees Valley and Durham,F (41-43),Construction,1998,631
TLC1,Tees Valley and Durham,F (41-43),Construction,1999,756
TLC1,Tees Valley and Durham,F (41-43),Construction,2000,875
TLC1,Tees Valley and Durham,F (41-43),Construction,2001,880
TLC1,Tees Valley and Durham,F (41-43),Construction,2002,915
TLC1,Tees Valley and Durham,F (41-43),Construction,2003,1106
TLC1,Tees Valley and Durham,F (41-43),Construction,2004,1134
TLC1,Tees Valley and Durham,F (41-43),Construction,2005,1242
TLC1,Tees Valley and Durham,F (41-43),Construction,2006,1226
TLC1,Tees Valley and Durham,F (41-43),Construction,2007,1393
TLC1,Tees Valley and Durham,F (41-43),Construction,2008,1340
TLC1,Tees Valley and Durham,F (41-43),Construction,2009,1263
TLC1,Tees Valley and Durham,F (41-43),Construction,2010,1125
TLC1,Tees Valley and Durham,F (41-43),Construction,2011,1179
TLC1,Tees Valley and Durham,F (41-43),Construction,2012,1204
TLC1,Tees Valley and Durham,F (41-43),Construction,2013,1225
TLC1,Tees Valley and Durham,F (41-43),Construction,2014,1328
TLC1,Tees Valley and Durham,F (41-43),Construction,2015,1408
TLC1,Tees Valley and Durham,F (41-43),Construction,2016,1407
TLC1,Tees Valley and Durham,F (41-43),Construction,2017,1390
TLC1,Tees Valley and Durham,F (41-43),Construction,2018,1529
TLC1,Tees Valley and Durham,F (41-43),Construction,2019,1622
TLC1,Tees Valley and Durham,F (41-43),Construction,2020,1278
TLC1,Tees Valley and Durham,F (41-43),Construction,2021,1597
