ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1998,17
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1999,13
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2000,13
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2001,11
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2002,13
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2003,18
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2004,20
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2005,12
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2006,14
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2007,14
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2008,33
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2009,45
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2010,60
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2011,49
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2012,66
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2013,83
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2014,68
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2015,64
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2016,24
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2017,26
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2018,27
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2019,35
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2020,23
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2021,27
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2022,22
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2023,19
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",1998,102
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",1999,103
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2000,103
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2001,102
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2002,96
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2003,103
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2004,102
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2005,93
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2006,100
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2007,109
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2008,109
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2009,115
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2010,127
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2011,118
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2012,113
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2013,100
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2014,92
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2015,95
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2016,107
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2017,109
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2018,135
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2019,135
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2020,120
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2021,125
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2022,135
TLC31,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2023,150
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",1998,10
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",1999,9
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2000,8
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2001,8
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2002,7
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2003,8
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2004,6
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2005,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2006,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2007,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2008,4
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2009,4
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2010,6
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2011,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2012,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2013,4
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2014,6
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2015,6
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2016,3
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2017,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2018,4
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2019,4
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2020,4
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2021,5
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2022,8
TLC31,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",2023,7
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,1998,19
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,1999,23
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2000,21
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2001,21
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2002,25
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2003,27
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2004,27
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2005,26
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2006,29
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2007,30
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2008,30
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2009,32
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2010,30
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2011,29
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2012,31
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2013,31
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2014,40
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2015,41
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2016,43
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2017,44
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2018,43
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2019,48
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2020,36
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2021,33
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2022,39
TLC31,Hartlepool and Stockton-on-Tees,CC (16-18),Manufacture of wood and paper products and printing,2023,41
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",1998,431
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",1999,369
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2000,390
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2001,319
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2002,334
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2003,343
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2004,304
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2005,315
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2006,276
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2007,299
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2008,252
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2009,260
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2010,276
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2011,337
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2012,305
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2013,373
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2014,346
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2015,383
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2016,350
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2017,350
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2018,337
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2019,353
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2020,317
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2021,240
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2022,222
TLC31,Hartlepool and Stockton-on-Tees,CD-CG (19-23),"Manufacture of petroleum, chemicals and other minerals",2023,198
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,1998,96
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,1999,106
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2000,102
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2001,93
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2002,99
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2003,121
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2004,123
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2005,110
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2006,83
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2007,88
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2008,114
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2009,82
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2010,101
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2011,111
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2012,137
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2013,153
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2014,129
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2015,97
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2016,118
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2017,94
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2018,105
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2019,122
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2020,175
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2021,125
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2022,110
TLC31,Hartlepool and Stockton-on-Tees,CH (24-25),Manufacture of basic and fabricated metal products,2023,110
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",1998,17
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",1999,16
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2000,16
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2001,15
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2002,17
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2003,16
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2004,17
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2005,14
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2006,13
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2007,13
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2008,11
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2009,15
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2010,16
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2011,15
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2012,25
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2013,36
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2014,36
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2015,27
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2016,31
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2017,40
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2018,36
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2019,42
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2020,57
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2021,34
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2022,47
TLC31,Hartlepool and Stockton-on-Tees,CI-CJ (26-27),"Manufacture of electronic, optical and electrical products",2023,67
TLC31,Hartlepool and Stockton-on-Tees,CK-CL (28-30),Manufacture of machinery and transport equipment,1998,69
