ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1998,17
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1999,13
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2000,13
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2001,11
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2002,13
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2003,18
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2004,20
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2005,12
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2006,14
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2007,14
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2008,33
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2009,45
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2010,60
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2011,49
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2012,66
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2013,83
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2014,68
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2015,64
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2016,24
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2017,26
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2018,27
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2019,35
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2020,23
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2021,27
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2022,22
TLC31,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2023,19
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1998,775
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1999,756
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2000,753
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2001,669
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2002,704
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2003,757
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2004,717
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2005,694
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2006,648
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2007,685
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2008,635
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2009,603
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2010,667
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2011,733
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2012,762
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2013,855
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2014,802
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2015,814
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2016,790
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2017,784
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2018,853
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2019,905
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2020,935
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2021,922
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2022,988
TLC31,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2023,933
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",1998,222
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",1999,225
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2000,203
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2001,194
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2002,229
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2003,255
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2004,290
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2005,325
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2006,445
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2007,494
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2008,545
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2009,623
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2010,495
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2011,324
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2012,374
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2013,391
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2014,382
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2015,379
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2016,401
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2017,343
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2018,295
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2019,312
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2020,343
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2021,225
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2022,218
TLC31,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2023,266
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,1998,233
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,1999,280
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2000,325
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2001,327
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2002,340
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2003,406
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2004,414
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2005,453
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2006,445
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2007,504
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2008,478
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2009,448
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2010,404
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2011,425
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2012,380
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2013,402
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2014,423
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2015,448
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2016,479
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2017,463
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2018,497
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2019,539
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2020,397
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2021,547
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2022,623
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,2023,716
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,1998,334
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,1999,371
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2000,372
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2001,423
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2002,448
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2003,457
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2004,511
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2005,531
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2006,570
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2007,557
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2008,593
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2009,606
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2010,622
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2011,574
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2012,534
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2013,581
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2014,631
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2015,646
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2016,609
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2017,667
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2018,806
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2019,784
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2020,761
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2021,837
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2022,897
TLC31,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,2023,891
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,1998,195
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,1999,199
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2000,201
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2001,224
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2002,222
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2003,234
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2004,263
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2005,251
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2006,271
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2007,286
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2008,276
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2009,278
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2010,303
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2011,331
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2012,338
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2013,363
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2014,383
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2015,402
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2016,404
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2017,307
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2018,199
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2019,200
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2020,215
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2021,200
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2022,240
TLC31,Hartlepool and Stockton-on-Tees,H (49-53),Transportation and storage,2023,234
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,1998,71
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,1999,71
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2000,78
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2001,88
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2002,98
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2003,95
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2004,97
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2005,101
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2006,106
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2007,107
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2008,109
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2009,103
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2010,104
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2011,111
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2012,104
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2013,106
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2014,116
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2015,130
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2016,133
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2017,139
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2018,136
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2019,155
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2020,91
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2021,151
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2022,169
TLC31,Hartlepool and Stockton-on-Tees,I (55-56),Accommodation and food service activities,2023,178
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,1998,35
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,1999,40
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2000,39
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2001,47
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2002,55
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2003,59
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2004,64
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2005,76
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2006,85
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2007,85
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2008,86
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2009,74
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2010,69
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2011,71
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2012,64
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2013,51
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2014,55
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2015,52
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2016,95
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2017,94
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2018,97
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2019,116
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2020,171
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2021,213
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2022,217
TLC31,Hartlepool and Stockton-on-Tees,J (58-63),Information and communication,2023,195
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,1998,112
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,1999,135
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2000,126
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2001,123
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2002,132
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2003,153
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2004,197
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2005,191
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2006,273
TLC31,Hartlepool and Stockton-on-Tees,K (64-66),Financial and insurance activities,2007,267
