ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1998,17
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1999,13
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2000,13
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2001,11
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2002,13
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2003,18
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2004,20
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2005,12
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2006,14
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2007,15
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2008,33
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2009,45
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2010,60
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2011,49
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2012,66
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2013,83
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2014,68
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2015,64
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2016,24
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2017,27
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2018,27
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2019,35
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2020,23
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2021,28
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2022,26
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1998,775
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1999,756
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2000,753
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2001,669
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2002,704
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2003,757
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2004,717
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2005,694
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2006,648
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2007,685
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2008,635
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2009,603
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2010,667
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2011,733
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2012,762
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2013,855
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2014,802
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2015,814
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2016,790
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2017,784
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2018,853
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2019,903
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2020,934
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2021,994
TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,2022,1141
TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",1998,222
TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",1999,225
TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2000,203
TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",2001,194
