ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",1998,64
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",1999,55
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2000,48
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2001,35
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2002,77
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2003,75
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2004,67
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2005,53
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2006,67
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2007,60
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2008,97
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2009,99
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2010,92
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2011,116
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2012,105
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2013,107
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2014,150
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2015,122
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2016,106
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2017,106
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2018,106
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2019,120
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2020,116
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2021,156
TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",2022,187
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,1998,70
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,1999,62
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2000,57
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2001,58
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2002,67
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2003,88
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2004,87
