ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC1,Tees Valley and Durham,1,Agriculture and hunting,1998,51
TLC1,Tees Valley and Durham,1,Agriculture and hunting,1999,54
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2000,51
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2001,37
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2002,88
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2003,81
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2004,71
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2005,80
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2006,90
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2007,69
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2008,115
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2009,110
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2010,95
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2011,133
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2012,102
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2013,97
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2014,158
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2015,127
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2016,102
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2017,101
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2018,92
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2019,112
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2020,91
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2021,103
TLC1,Tees Valley and Durham,1,Agriculture and hunting,2022,108
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,1998,12
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,1999,13
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2000,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2001,10
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2002,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2003,8
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2004,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2005,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2006,8
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2007,8
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2008,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2009,12
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2010,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2011,8
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2012,10
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2013,10
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2014,12
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2015,11
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2016,10
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2017,9
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2018,7
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2019,8
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2020,8
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2021,5
TLC1,Tees Valley and Durham,2-3,Forestry and fishing,2022,4
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,1998,78
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,1999,73
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2000,59
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2001,64
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2002,74
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2003,85
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2004,82
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2005,64
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2006,69
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2007,57
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2008,48
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2009,62
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2010,81
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2011,111
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2012,169
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2013,184
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2014,167
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2015,172
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2016,113
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2017,86
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2018,97
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2019,109
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2020,73
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2021,73
TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,2022,101
TLC1,Tees Valley and Durham,10,Manufacture of food products,1998,256
TLC1,Tees Valley and Durham,10,Manufacture of food products,1999,271
TLC1,Tees Valley and Durham,10,Manufacture of food products,2000,288
TLC1,Tees Valley and Durham,10,Manufacture of food products,2001,308
TLC1,Tees Valley and Durham,10,Manufacture of food products,2002,313
TLC1,Tees Valley and Durham,10,Manufacture of food products,2003,342
TLC1,Tees Valley and Durham,10,Manufacture of food products,2004,349
TLC1,Tees Valley and Durham,10,Manufacture of food products,2005,295
TLC1,Tees Valley and Durham,10,Manufacture of food products,2006,327
TLC1,Tees Valley and Durham,10,Manufacture of food products,2007,328
TLC1,Tees Valley and Durham,10,Manufacture of food products,2008,305
TLC1,Tees Valley and Durham,10,Manufacture of food products,2009,288
TLC1,Tees Valley and Durham,10,Manufacture of food products,2010,312
TLC1,Tees Valley and Durham,10,Manufacture of food products,2011,287
TLC1,Tees Valley and Durham,10,Manufacture of food products,2012,268
TLC1,Tees Valley and Durham,10,Manufacture of food products,2013,224
TLC1,Tees Valley and Durham,10,Manufacture of food products,2014,198
TLC1,Tees Valley and Durham,10,Manufacture of food products,2015,223
TLC1,Tees Valley and Durham,10,Manufacture of food products,2016,269
TLC1,Tees Valley and Durham,10,Manufacture of food products,2017,289
TLC1,Tees Valley and Durham,10,Manufacture of food products,2018,355
TLC1,Tees Valley and Durham,10,Manufacture of food products,2019,306
TLC1,Tees Valley and Durham,10,Manufacture of food products,2020,281
TLC1,Tees Valley and Durham,10,Manufacture of food products,2021,333
TLC1,Tees Valley and Durham,10,Manufacture of food products,2022,334
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,1998,89
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,1999,110
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2000,114
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2001,76
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2002,68
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2003,73
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2004,82
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2005,49
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2006,54
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2007,52
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2008,56
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2009,17
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2010,17
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2011,17
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2012,14
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2013,10
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2014,11
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2015,10
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2016,10
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2017,11
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2018,10
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2019,8
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2020,2
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2021,33
TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2022,28
TLC1,Tees Valley and Durham,13,Manufacture of textiles,1998,15
TLC1,Tees Valley and Durham,13,Manufacture of textiles,1999,16
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2000,15
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2001,21
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2002,24
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2003,30
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2004,24
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2005,23
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2006,25
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2007,26
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2008,24
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2009,34
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2010,45
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2011,31
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2012,39
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2013,44
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2014,41
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2015,51
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2016,50
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2017,52
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2018,47
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2019,59
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2020,44
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2021,57
TLC1,Tees Valley and Durham,13,Manufacture of textiles,2022,39
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,1998,37
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,1999,38
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2000,38
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2001,35
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2002,30
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2003,30
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2004,26
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2005,20
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2006,19
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2007,16
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2008,11
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2009,13
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2010,24
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2011,12
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2012,16
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2013,20
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2014,26
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2015,31
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2016,20
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2017,24
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2018,25
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2019,24
TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,2020,21
