DATE,GEOGRAPHY_CODE_ITL321,SIC_2DIGIT_CODE_GVA2023,JOBCOUNT,GVA,Region_name,SIC07_description
2015,TLC11,31-32,795,36,Hartlepool and Stockton-on-Tees,Manufacture of furniture; other manufacturing
2015,TLC11,33,705,36,Hartlepool and Stockton-on-Tees,Repair and installation of machinery and equipment
2015,TLC11,41,2025,132,Hartlepool and Stockton-on-Tees,Construction of buildings
2015,TLC11,42,1265,108,Hartlepool and Stockton-on-Tees,Civil engineering
2015,TLC11,43,3460,208,Hartlepool and Stockton-on-Tees,Specialised construction activities
2015,TLC11,45,2215,129,Hartlepool and Stockton-on-Tees,Motor trades
2015,TLC11,46,2875,112,Hartlepool and Stockton-on-Tees,Wholesale trade
2015,TLC11,47,4110,405,Hartlepool and Stockton-on-Tees,Retail trade
2015,TLC11,49-51,2240,275,Hartlepool and Stockton-on-Tees,"Land, water and air transport"
2015,TLC11,52,1550,74,Hartlepool and Stockton-on-Tees,Warehousing and transport support activities
2015,TLC11,53,435,54,Hartlepool and Stockton-on-Tees,Postal and courier activities
2015,TLC11,55,425,14,Hartlepool and Stockton-on-Tees,Accommodation
2015,TLC11,56,2130,116,Hartlepool and Stockton-on-Tees,Food and beverage service activities
2015,TLC11,58-60,125,5,Hartlepool and Stockton-on-Tees,Publishing; film and TV production and broadcasting
2015,TLC11,61-63,1635,46,Hartlepool and Stockton-on-Tees,Telecommunications; information technology
2015,TLC11,68,1070,312,Hartlepool and Stockton-on-Tees,"Real estate activities, excluding imputed rental"
2015,TLC11,69,1345,56,Hartlepool and Stockton-on-Tees,Legal and accounting activities
2015,TLC11,70,1330,44,Hartlepool and Stockton-on-Tees,Head offices and management consultancy
2015,TLC11,71,5990,135,Hartlepool and Stockton-on-Tees,Architectural and engineering activities
2015,TLC11,72-73,1200,187,Hartlepool and Stockton-on-Tees,Research and development; advertising and market research
2015,TLC11,74-75,360,23,Hartlepool and Stockton-on-Tees,"Other professional, scientific and technical activities"
2015,TLC11,77,385,64,Hartlepool and Stockton-on-Tees,Rental and leasing activities
2015,TLC11,78-80,1915,109,Hartlepool and Stockton-on-Tees,Employment activities; tourism and security services
2015,TLC11,81,660,19,Hartlepool and Stockton-on-Tees,Services to buildings and landscape activities
2015,TLC11,82,1685,97,Hartlepool and Stockton-on-Tees,Office administration and business support activities
2015,TLC11,86,5725,335,Hartlepool and Stockton-on-Tees,Human health activities
2015,TLC11,87,2275,99,Hartlepool and Stockton-on-Tees,Residential care activities
2015,TLC11,88,1750,97,Hartlepool and Stockton-on-Tees,Social work activities
2015,TLC11,90-91,255,18,Hartlepool and Stockton-on-Tees,"Creative, arts, entertainment and cultural activities"
2015,TLC11,92-93,650,61,Hartlepool and Stockton-on-Tees,Gambling and betting; sports and recreation activities
2015,TLC11,94,290,8,Hartlepool and Stockton-on-Tees,Activities of membership organisations
2015,TLC11,95,50,8,Hartlepool and Stockton-on-Tees,"Repair of computers, personal and household goods"
2015,TLC11,96,355,54,Hartlepool and Stockton-on-Tees,Other personal service activities
2015,TLC11,AB (1-9),240,64,Hartlepool and Stockton-on-Tees,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC11,CA (10-12),1310,95,Hartlepool and Stockton-on-Tees,"Manufacture of food, beverages and tobacco"
2015,TLC11,CB (13-15),130,6,Hartlepool and Stockton-on-Tees,"Manufacture of textiles, wearing apparel and leather"
2015,TLC11,CC (16-18),990,41,Hartlepool and Stockton-on-Tees,Manufacture of wood and paper products and printing
2015,TLC11,CD-CG (19-23),3895,383,Hartlepool and Stockton-on-Tees,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC11,CH (24-25),1830,97,Hartlepool and Stockton-on-Tees,Manufacture of basic and fabricated metal products
2015,TLC11,CI-CJ (26-27),665,27,Hartlepool and Stockton-on-Tees,"Manufacture of electronic, optical and electrical products"
2015,TLC11,CK-CL (28-30),1730,94,Hartlepool and Stockton-on-Tees,Manufacture of machinery and transport equipment
2015,TLC11,DE (35-39),1735,379,Hartlepool and Stockton-on-Tees,"Electricity, gas, water; sewerage and waste management"
2015,TLC11,K (64-66),1990,428,Hartlepool and Stockton-on-Tees,Financial and insurance activities
2015,TLC11,O (84),3800,239,Hartlepool and Stockton-on-Tees,Public administration and defence
2015,TLC11,P (85),5500,336,Hartlepool and Stockton-on-Tees,Education
2015,TLC11,T (97-98),0,6,Hartlepool and Stockton-on-Tees,Activities of households
2015,TLC12,31-32,265,5,South Teesside,Manufacture of furniture; other manufacturing
2015,TLC12,33,460,9,South Teesside,Repair and installation of machinery and equipment
2015,TLC12,41,990,38,South Teesside,Construction of buildings
2015,TLC12,42,460,49,South Teesside,Civil engineering
2015,TLC12,43,2815,166,South Teesside,Specialised construction activities
2015,TLC12,45,1440,65,South Teesside,Motor trades
2015,TLC12,46,2400,87,South Teesside,Wholesale trade
2015,TLC12,47,3695,351,South Teesside,Retail trade
2015,TLC12,49-51,1655,83,South Teesside,"Land, water and air transport"
2015,TLC12,52,2045,36,South Teesside,Warehousing and transport support activities
2015,TLC12,53,430,26,South Teesside,Postal and courier activities
2015,TLC12,55,360,13,South Teesside,Accommodation
2015,TLC12,56,1475,94,South Teesside,Food and beverage service activities
2015,TLC12,58-60,290,17,South Teesside,Publishing; film and TV production and broadcasting
2015,TLC12,61-63,1265,71,South Teesside,Telecommunications; information technology
2015,TLC12,68,1070,252,South Teesside,"Real estate activities, excluding imputed rental"
2015,TLC12,69,810,53,South Teesside,Legal and accounting activities
2015,TLC12,70,675,26,South Teesside,Head offices and management consultancy
2015,TLC12,71,3320,50,South Teesside,Architectural and engineering activities
2015,TLC12,72-73,650,21,South Teesside,Research and development; advertising and market research
2015,TLC12,74-75,325,19,South Teesside,"Other professional, scientific and technical activities"
2015,TLC12,77,280,25,South Teesside,Rental and leasing activities
2015,TLC12,78-80,1945,66,South Teesside,Employment activities; tourism and security services
2015,TLC12,81,800,30,South Teesside,Services to buildings and landscape activities
2015,TLC12,82,745,20,South Teesside,Office administration and business support activities
2015,TLC12,86,8325,480,South Teesside,Human health activities
2015,TLC12,87,2050,94,South Teesside,Residential care activities
2015,TLC12,88,2450,108,South Teesside,Social work activities
2015,TLC12,90-91,105,3,South Teesside,"Creative, arts, entertainment and cultural activities"
2015,TLC12,92-93,835,66,South Teesside,Gambling and betting; sports and recreation activities
2015,TLC12,94,280,9,South Teesside,Activities of membership organisations
2015,TLC12,95,10,1,South Teesside,"Repair of computers, personal and household goods"
2015,TLC12,96,225,27,South Teesside,Other personal service activities
2015,TLC12,AB (1-9),1110,118,South Teesside,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC12,CA (10-12),1375,59,South Teesside,"Manufacture of food, beverages and tobacco"
2015,TLC12,CB (13-15),160,22,South Teesside,"Manufacture of textiles, wearing apparel and leather"
2015,TLC12,CC (16-18),390,8,South Teesside,Manufacture of wood and paper products and printing
2015,TLC12,CD-CG (19-23),1605,301,South Teesside,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC12,CH (24-25),2260,143,South Teesside,Manufacture of basic and fabricated metal products
2015,TLC12,CI-CJ (26-27),175,10,South Teesside,"Manufacture of electronic, optical and electrical products"
2015,TLC12,CK-CL (28-30),795,28,South Teesside,Manufacture of machinery and transport equipment
2015,TLC12,DE (35-39),715,61,South Teesside,"Electricity, gas, water; sewerage and waste management"
2015,TLC12,K (64-66),1130,161,South Teesside,Financial and insurance activities
2015,TLC12,O (84),3655,251,South Teesside,Public administration and defence
2015,TLC12,P (85),6980,392,South Teesside,Education
2015,TLC12,T (97-98),0,6,South Teesside,Activities of households
2015,TLC13,31-32,750,46,Darlington,Manufacture of furniture; other manufacturing
2015,TLC13,33,170,12,Darlington,Repair and installation of machinery and equipment
2015,TLC13,41,435,15,Darlington,Construction of buildings
2015,TLC13,42,235,91,Darlington,Civil engineering
2015,TLC13,43,765,40,Darlington,Specialised construction activities
2015,TLC13,45,1070,66,Darlington,Motor trades
2015,TLC13,46,700,23,Darlington,Wholesale trade
2015,TLC13,47,1870,155,Darlington,Retail trade
2015,TLC13,49-51,465,12,Darlington,"Land, water and air transport"
2015,TLC13,52,1175,30,Darlington,Warehousing and transport support activities
2015,TLC13,53,195,12,Darlington,Postal and courier activities
2015,TLC13,55,610,14,Darlington,Accommodation
2015,TLC13,56,720,41,Darlington,Food and beverage service activities
2015,TLC13,58-60,185,11,Darlington,Publishing; film and TV production and broadcasting
2015,TLC13,61-63,2290,653,Darlington,Telecommunications; information technology
2015,TLC13,68,325,17,Darlington,"Real estate activities, excluding imputed rental"
2015,TLC13,69,610,53,Darlington,Legal and accounting activities
2015,TLC13,70,1185,25,Darlington,Head offices and management consultancy
2015,TLC13,71,1395,94,Darlington,Architectural and engineering activities
2015,TLC13,72-73,60,2,Darlington,Research and development; advertising and market research
2015,TLC13,74-75,145,10,Darlington,"Other professional, scientific and technical activities"
2015,TLC13,77,115,15,Darlington,Rental and leasing activities
2015,TLC13,78-80,1720,45,Darlington,Employment activities; tourism and security services
2015,TLC13,81,320,5,Darlington,Services to buildings and landscape activities
2015,TLC13,82,610,24,Darlington,Office administration and business support activities
2015,TLC13,86,3335,229,Darlington,Human health activities
2015,TLC13,87,1020,83,Darlington,Residential care activities
2015,TLC13,88,650,23,Darlington,Social work activities
2015,TLC13,90-91,55,3,Darlington,"Creative, arts, entertainment and cultural activities"
2015,TLC13,92-93,205,15,Darlington,Gambling and betting; sports and recreation activities
2015,TLC13,94,130,2,Darlington,Activities of membership organisations
2015,TLC13,95,10,2,Darlington,"Repair of computers, personal and household goods"
2015,TLC13,96,240,35,Darlington,Other personal service activities
2015,TLC13,AB (1-9),225,21,Darlington,"Agriculture, forestry and fishing; mining and quarrying"
2015,TLC13,CA (10-12),200,5,Darlington,"Manufacture of food, beverages and tobacco"
2015,TLC13,CB (13-15),75,3,Darlington,"Manufacture of textiles, wearing apparel and leather"
2015,TLC13,CC (16-18),360,13,Darlington,Manufacture of wood and paper products and printing
2015,TLC13,CD-CG (19-23),525,37,Darlington,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC13,CH (24-25),680,32,Darlington,Manufacture of basic and fabricated metal products
2015,TLC13,CI-CJ (26-27),10,0,Darlington,"Manufacture of electronic, optical and electrical products"
2015,TLC13,CK-CL (28-30),1000,125,Darlington,Manufacture of machinery and transport equipment
