DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2015,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",69,240,120
2016,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",27,385,75
2017,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",29,270,50
2018,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",25,330,80
2019,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",35,195,50
2020,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",21,600,70
2021,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",21,210,45
2022,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",16,410,55
2015,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",84,1310,1140
2016,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",109,1270,520
2017,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",101,1430,505
2018,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",136,1425,610
2019,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",135,1300,535
2020,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",125,1325,470
2021,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",148,1375,495
2022,TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",140,1360,480
2015,TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",6,130,200
2016,TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",3,305,70
2017,TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",4,45,55
2018,TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",4,50,5
2019,TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",4,10,0
2020,TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",3,95,45
