DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2015,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",69,240,120,670
2016,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",27,385,75,775
2017,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",29,270,50,625
2018,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",25,330,80,730
2019,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",35,195,50,630
2020,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",21,600,70,1025
2021,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",21,210,45,630
2022,TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",16,410,55,835
2015,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,835,12050,2490,13415
2016,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,789,12010,1120,13095
2017,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,762,12700,1095,14185
2018,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,864,11600,1320,12865
2019,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,903,12995,1145,14305
2020,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1012,12835,1145,14295
2021,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1013,11625,1065,12665
2022,TLC11,Hartlepool and Stockton-on-Tees,C (10-33),Manufacturing,1054,12125,1375,13550
2015,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",396,1735,190,1765
2016,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",454,1505,105,1570
2017,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",358,2065,135,2380
2018,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",307,2150,110,2260
2019,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",312,2025,125,2110
2020,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",355,1995,120,2150
2021,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",262,2075,190,2375
2022,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",272,2020,290,2345
2015,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,525,6750,1370,7745
2016,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,536,5900,820,6905
2017,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,507,5340,1705,7245
2018,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,511,7040,830,8300
2019,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,539,6270,820,7450
2020,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,405,5465,1080,6695
2021,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,527,7170,665,7985
2022,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,528,6585,580,7680
2015,TLC11,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,740,9200,16330,17685
2016,TLC11,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,705,8830,8715,17880
2017,TLC11,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,745,9260,8645,17960
2018,TLC11,Hartlepool and Stockton-on-Tees,G (45-47),Wholesale and retail trade; repair of motor vehicles,856,9475,8545,18510
