DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2015,TLC1,Tees Valley and Durham,1,Agriculture and hunting,115,870,450,5130
2016,TLC1,Tees Valley and Durham,1,Agriculture and hunting,101,935,580,5320
2017,TLC1,Tees Valley and Durham,1,Agriculture and hunting,99,820,450,5025
2018,TLC1,Tees Valley and Durham,1,Agriculture and hunting,100,910,460,5050
2019,TLC1,Tees Valley and Durham,1,Agriculture and hunting,112,1080,605,5385
2020,TLC1,Tees Valley and Durham,1,Agriculture and hunting,109,1100,545,5410
2021,TLC1,Tees Valley and Durham,1,Agriculture and hunting,149,1205,440,5495
2022,TLC1,Tees Valley and Durham,1,Agriculture and hunting,180,1070,470,5330
2015,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,7,30,0,105
2016,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,5,70,50,180
2017,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,7,10,0,15
2018,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,6,10,0,30
2019,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,8,70,5,125
2020,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,7,65,25,100
2021,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,7,170,25,220
2022,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,7,50,90,215
2015,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,170,1440,20,1515
2016,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,106,1430,10,1430
2017,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,89,1175,15,1175
2018,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,95,1215,60,1270
2019,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,109,1020,20,1020
2020,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,79,1760,50,1735
2021,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,102,945,45,950
2022,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,125,1200,75,1275
2015,TLC1,Tees Valley and Durham,10,Manufacture of food products,266,4550,995,5465
2016,TLC1,Tees Valley and Durham,10,Manufacture of food products,283,5090,1065,6350
2017,TLC1,Tees Valley and Durham,10,Manufacture of food products,320,4575,830,5295
2018,TLC1,Tees Valley and Durham,10,Manufacture of food products,363,4710,2160,7100
2019,TLC1,Tees Valley and Durham,10,Manufacture of food products,306,4215,1130,5295
2020,TLC1,Tees Valley and Durham,10,Manufacture of food products,270,4560,830,5375
2021,TLC1,Tees Valley and Durham,10,Manufacture of food products,291,3875,1315,5105
2022,TLC1,Tees Valley and Durham,10,Manufacture of food products,312,4065,890,4900
2015,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,285,45,320
2016,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,65,0,120
2017,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,285,5,285
2018,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,370,65,455
2019,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,8,260,10,285
2020,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,1,235,5,260
2021,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,35,235,5,235
2022,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,34,275,140,420
2015,TLC1,Tees Valley and Durham,13,Manufacture of textiles,59,710,230,955
2016,TLC1,Tees Valley and Durham,13,Manufacture of textiles,55,1585,260,1900
2017,TLC1,Tees Valley and Durham,13,Manufacture of textiles,65,550,155,720
2018,TLC1,Tees Valley and Durham,13,Manufacture of textiles,53,530,30,530
2019,TLC1,Tees Valley and Durham,13,Manufacture of textiles,59,435,15,440
2020,TLC1,Tees Valley and Durham,13,Manufacture of textiles,58,395,165,640
2021,TLC1,Tees Valley and Durham,13,Manufacture of textiles,45,315,240,555
2022,TLC1,Tees Valley and Durham,13,Manufacture of textiles,30,910,840,1760
2015,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,31,235,255,460
2016,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,20,70,20,130
2017,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,27,325,135,460
2018,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,26,35,190,210
2019,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,24,115,25,125
2020,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,21,215,40,255
2021,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,27,90,15,125
2022,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,35,105,20,115
2015,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,96,2030,310,2440
2016,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,110,1415,255,1720
2017,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,109,2535,395,2950
2018,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,111,1975,45,1925
2019,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,127,2180,530,2705
