DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2015,TLC1,Tees Valley and Durham,A-E,Production sector,4649,53995,4370,61710
2016,TLC1,Tees Valley and Durham,A-E,Production sector,4629,51705,5040,60945
2017,TLC1,Tees Valley and Durham,A-E,Production sector,4516,57865,3940,66160
2018,TLC1,Tees Valley and Durham,A-E,Production sector,4789,53370,5525,62645
2019,TLC1,Tees Valley and Durham,A-E,Production sector,4957,54985,4300,63055
2020,TLC1,Tees Valley and Durham,A-E,Production sector,5218,52535,3555,60535
2021,TLC1,Tees Valley and Durham,A-E,Production sector,5255,47875,4960,57470
2022,TLC1,Tees Valley and Durham,A-E,Production sector,5820,50030,6195,59860
2015,TLC1,Tees Valley and Durham,F (41-43),Construction,1408,21125,2285,24270
2016,TLC1,Tees Valley and Durham,F (41-43),Construction,1407,17495,2020,21265
2017,TLC1,Tees Valley and Durham,F (41-43),Construction,1390,16495,4560,21495
2018,TLC1,Tees Valley and Durham,F (41-43),Construction,1529,22985,2625,25170
2019,TLC1,Tees Valley and Durham,F (41-43),Construction,1622,19270,2195,23980
2020,TLC1,Tees Valley and Durham,F (41-43),Construction,1278,16660,3385,20905
2021,TLC1,Tees Valley and Durham,F (41-43),Construction,1597,22850,1945,24925
2022,TLC1,Tees Valley and Durham,F (41-43),Construction,1795,21070,1750,24295
2015,TLC1,Tees Valley and Durham,G-T,Services sector,13400,217405,144045,367365
2016,TLC1,Tees Valley and Durham,G-T,Services sector,13382,210360,139010,357685
2017,TLC1,Tees Valley and Durham,G-T,Services sector,13673,208925,144470,361755
2018,TLC1,Tees Valley and Durham,G-T,Services sector,13880,208640,134720,349155
2019,TLC1,Tees Valley and Durham,G-T,Services sector,14319,214845,144395,367950
2020,TLC1,Tees Valley and Durham,G-T,Services sector,14114,214120,138060,360640
2021,TLC1,Tees Valley and Durham,G-T,Services sector,15344,226250,145480,375150
2022,TLC1,Tees Valley and Durham,G-T,Services sector,16600,228805,136215,373065
2015,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5452,70395,5355,79665
2016,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5526,65710,6425,76985
2017,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5753,73745,4535,82780
2018,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5584,69790,6370,81530
2019,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,6057,66605,4700,76165
2020,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5326,65290,4090,74075
2021,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5310,59785,5960,70295
2022,TLC2,Northumberland and Tyne and Wear,A-E,Production sector,5850,60865,5890,70940
2015,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1681,25665,2425,29230
2016,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1656,19075,2300,23325
2017,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1728,19940,6810,27915
2018,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1766,25155,3445,30260
2019,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1938,23600,2560,29385
2020,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1381,20580,3625,24780
2021,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,1829,27375,2260,30875
2022,TLC2,Northumberland and Tyne and Wear,F (41-43),Construction,2169,22170,1815,25150
2015,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,20029,324115,193065,528275
2016,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,20468,322320,194365,532090
2017,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,21297,320625,200345,535020
2018,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,21310,322250,194615,525755
2019,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,22288,329200,201460,545555
2020,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,20790,318160,202435,534170
2021,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,23194,332420,208990,549675
2022,TLC2,Northumberland and Tyne and Wear,G-T,Services sector,25726,343850,189145,543445
2015,TLD1,Cumbria,A-E,Production sector,3360,40610,3455,53010
2016,TLD1,Cumbria,A-E,Production sector,3098,40780,4330,53275
2017,TLD1,Cumbria,A-E,Production sector,3145,41925,3885,55440
2018,TLD1,Cumbria,A-E,Production sector,3165,40120,3270,54845
2019,TLD1,Cumbria,A-E,Production sector,3290,41395,4800,55665
2020,TLD1,Cumbria,A-E,Production sector,3386,41970,5005,56745
2021,TLD1,Cumbria,A-E,Production sector,3470,40095,3380,53045
2022,TLD1,Cumbria,A-E,Production sector,3638,41395,4045,57435
2015,TLD1,Cumbria,F (41-43),Construction,764,10890,1025,12980
