DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2015,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",122,900,450,5235
2016,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",106,1005,630,5500
2017,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",106,830,450,5040
2018,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",106,920,460,5080
2019,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",120,1150,610,5510
2020,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",116,1165,570,5510
2021,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",156,1375,465,5715
2022,TLC1,Tees Valley and Durham,A (1-3),"Agriculture, forestry and fishing",187,1120,560,5545
2015,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,170,1440,20,1515
2016,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,106,1430,10,1430
2017,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,89,1175,15,1175
2018,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,95,1215,60,1270
2019,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,109,1020,20,1020
2020,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,79,1760,50,1735
2021,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,102,945,45,950
2022,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,125,1200,75,1275
2015,TLC1,Tees Valley and Durham,C (10-33),Manufacturing,3400,47355,3645,50600
2016,TLC1,Tees Valley and Durham,C (10-33),Manufacturing,3547,45430,3960,49785
2017,TLC1,Tees Valley and Durham,C (10-33),Manufacturing,3532,49375,2920,52675
2018,TLC1,Tees Valley and Durham,C (10-33),Manufacturing,3794,45815,4665,50410
2019,TLC1,Tees Valley and Durham,C (10-33),Manufacturing,3949,46655,3220,49725
2020,TLC1,Tees Valley and Durham,C (10-33),Manufacturing,4210,43820,2515,47010
