SIC07_code,SIC07_description,SIC07_code_sections,SIC07_description_sections,SIC07_code_three,SIC07_description_three
1,Agriculture and hunting,A (1-3),"Agriculture, forestry and fishing",A-E,Production sector
2-3,Forestry and fishing,A (1-3),"Agriculture, forestry and fishing",A-E,Production sector
B (5-9),Mining and quarrying,B (5-9),Mining and quarrying,A-E,Production sector
10,Manufacture of food products,C (10-33),Manufacturing,A-E,Production sector
11-12,Manufacture of beverages and tobacco products,C (10-33),Manufacturing,A-E,Production sector
13,Manufacture of textiles,C (10-33),Manufacturing,A-E,Production sector
14-15,Manufacture of wearing apparel and leather products,C (10-33),Manufacturing,A-E,Production sector
16-17,Manufacture of wood and paper products,C (10-33),Manufacturing,A-E,Production sector
18,Printing and reproduction of recorded media,C (10-33),Manufacturing,A-E,Production sector
CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",C (10-33),Manufacturing,A-E,Production sector
22,Manufacture of rubber and plastic products,C (10-33),Manufacturing,A-E,Production sector
23,Manufacture of other non-metallic mineral products,C (10-33),Manufacturing,A-E,Production sector
24,Manufacture of basic metals,C (10-33),Manufacturing,A-E,Production sector
25,Manufacture of fabricated metal products,C (10-33),Manufacturing,A-E,Production sector
CI (26),"Manufacture of computer, electronic and optical products",C (10-33),Manufacturing,A-E,Production sector
CJ (27),Manufacture of electrical equipment,C (10-33),Manufacturing,A-E,Production sector
CK (28),Manufacture of machinery and equipment,C (10-33),Manufacturing,A-E,Production sector
29,Manufacture of motor vehicles,C (10-33),Manufacturing,A-E,Production sector
30,Manufacture of other transport equipment,C (10-33),Manufacturing,A-E,Production sector
31,Manufacture of furniture,C (10-33),Manufacturing,A-E,Production sector
32,Other manufacturing,C (10-33),Manufacturing,A-E,Production sector
33,Repair and installation of machinery and equipment,C (10-33),Manufacturing,A-E,Production sector
D (35),"Electricity, gas, steam and air conditioning supply",D (35),"Electricity, gas, steam and air conditioning supply",A-E,Production sector
E (36-39),Water supply; sewerage and waste management,E (36-39),Water supply; sewerage and waste management,A-E,Production sector
41,Construction of buildings,F (41-43),Construction,F (41-43),Construction
42,Civil engineering,F (41-43),Construction,F (41-43),Construction
43,Specialised construction activities,F (41-43),Construction,F (41-43),Construction
45,Motor trades,G (45-47),Wholesale and retail trade; repair of motor vehicles,G-T,Services sector
46,Wholesale trade,G (45-47),Wholesale and retail trade; repair of motor vehicles,G-T,Services sector
47,Retail trade,G (45-47),Wholesale and retail trade; repair of motor vehicles,G-T,Services sector
49,Land transport,H (49-53),Transportation and storage,G-T,Services sector
50-51,Water and air transport,H (49-53),Transportation and storage,G-T,Services sector
52,Warehousing and transport support activities,H (49-53),Transportation and storage,G-T,Services sector
53,Postal and courier activities,H (49-53),Transportation and storage,G-T,Services sector
55,Accommodation,I (55-56),Accommodation and food service activities,G-T,Services sector
56,Food and beverage service activities,I (55-56),Accommodation and food service activities,G-T,Services sector
58,Publishing activities,J (58-63),Information and communication,G-T,Services sector
59-60,"Film and TV production, programming and broadcasting",J (58-63),Information and communication,G-T,Services sector
